# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.665439164795008198e-01,4.707621367853238592e-01,9.435647567020992721e-01,9.879035070211575897e-01,6.637826191728297687e-01,8.739592328651898390e-01,1.494813881597157890e-01,5.961017713194968204e-01,8.551940493166159118e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.298599256230423160e-01,5.953762022966047063e-03,6.313548256004386516e-01,1.000000000000000000e+00,9.706953577182597659e-02,9.709439659906284881e-01,-1.750599582667300425e-02
7.665439164795008198e-01,1.110223024625156540e-16,8.054425553285141648e-01,7.027739535882346900e-01,9.304045824159730138e-01,3.416743889247366717e-01,8.795692671216207570e-01,8.090316278790353755e-01,2.215126059340263298e-01,8.752665315533408874e-01,1.000000000000000000e+00,9.343843255085764188e-01,8.479506702232839643e-01,8.286190085561073726e-01,8.167593617668944539e-01,9.574323797543741188e-01,1.000000000000000000e+00,7.848476409650489982e-01,9.163079443000120561e-01,9.784509384308642810e-01
4.707621367853238592e-01,8.054425553285141648e-01,0.000000000000000000e+00,8.718276728722346158e-01,1.000000000000000000e+00,5.946557521479005626e-01,8.708789236118794630e-01,1.104272758237780927e-01,8.298393573796836176e-01,8.016272815595161250e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.866318492466484846e-01,-7.796801917701712270e-02,-7.406731088181417455e-02,5.124635570174340682e-01,1.000000000000000000e+00,4.880730176448399016e-01,9.520419738556956668e-01,3.580886789982226093e-01
9.435647567020992721e-01,7.027739535882346900e-01,8.718276728722346158e-01,0.000000000000000000e+00,9.536188164563181857e-01,5.598239398800637368e-01,9.513227618679789277e-01,8.363870512821075520e-01,6.697169712899018190e-01,9.191595822865398224e-01,9.602443881170765749e-01,8.982135741375310012e-01,8.829052974318910563e-01,9.315167798144761147e-01,8.670104117196243410e-01,9.333624609939480399e-01,1.000000000000000000e+00,9.442302450223565291e-01,9.586136933921302061e-01,7.710220006133334802e-01
9.879035070211575897e-01,9.304045824159730138e-01,1.000000000000000000e+00,9.536188164563181857e-01,3.273750127777993457e-01,9.762266650354957109e-01,9.866420838786086334e-01,9.855636765223924067e-01,9.554578252303292940e-01,9.046912635007684500e-01,9.671820770016426039e-01,1.000000000000000000e+00,9.822649156852495400e-01,9.988968598443580538e-01,9.897855203713260552e-01,1.000000000000000000e+00,9.417376912413173429e-01,9.602444058148948969e-01,8.408571315495612097e-01,1.000000000000000000e+00
6.637826191728297687e-01,3.416743889247366717e-01,5.946557521479005626e-01,5.598239398800637368e-01,9.762266650354957109e-01,0.000000000000000000e+00,8.329444754960170227e-01,7.876998242232623459e-01,3.604350006025464070e-01,7.845790636839462540e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.273214684496379423e-01,7.346563483044468157e-01,7.039054746280744013e-01,6.286358945367133133e-01,1.000000000000000000e+00,7.265183660674694455e-01,9.897768253964013274e-01,7.460830677229334240e-01
8.739592328651898390e-01,8.795692671216207570e-01,8.708789236118794630e-01,9.513227618679789277e-01,9.866420838786086334e-01,8.329444754960170227e-01,0.000000000000000000e+00,8.618955961629354290e-01,8.706506381386819315e-01,8.083063046563886411e-01,5.777929882279477791e-01,8.913386660206834566e-01,9.249132171272258507e-01,8.555723834088573287e-01,8.543934733047207075e-01,8.786224445355862445e-01,5.787303662654060821e-01,8.615636130595838438e-01,9.327828351952675012e-01,8.467383649047238725e-01
1.494813881597157890e-01,8.090316278790353755e-01,1.104272758237780927e-01,8.363870512821075520e-01,9.855636765223924067e-01,7.876998242232623459e-01,8.618955961629354290e-01,0.000000000000000000e+00,7.077460638724366593e-01,8.537412227858842684e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.927255902424854117e-01,3.462753202783838136e-01,3.791116930535338714e-01,2.557750938926901529e-01,1.000000000000000000e+00,4.817929520363276596e-01,1.000000000000000000e+00,4.399085345845140660e-01
5.961017713194968204e-01,2.215126059340263298e-01,8.298393573796836176e-01,6.697169712899018190e-01,9.554578252303292940e-01,3.604350006025464070e-01,8.706506381386819315e-01,7.077460638724366593e-01,0.000000000000000000e+00,8.847364088028191187e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.542835110464886306e-01,6.969622542470357285e-01,7.082692683172904236e-01,6.356261958268950574e-01,1.000000000000000000e+00,9.384293556746937659e-01,9.255594770409341088e-01,9.788662367520062357e-01
8.551940493166159118e-01,8.752665315533408874e-01,8.016272815595161250e-01,9.191595822865398224e-01,9.046912635007684500e-01,7.845790636839462540e-01,8.083063046563886411e-01,8.537412227858842684e-01,8.847364088028191187e-01,0.000000000000000000e+00,9.793645078651465052e-01,1.000000000000000000e+00,9.311336336791252721e-01,7.694964800639731983e-01,8.202579868783329564e-01,8.498175038039834650e-01,1.000000000000000000e+00,8.389685318211188569e-01,9.502817412745961922e-01,7.602589214732679013e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.602443881170765749e-01,9.671820770016426039e-01,1.000000000000000000e+00,5.777929882279477791e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.793645078651465052e-01,0.000000000000000000e+00,9.089440557765432471e-01,9.301884277292327141e-01,8.850820586746683816e-01,9.832694883890398252e-01,1.000000000000000000e+00,6.743438566207772267e-01,1.000000000000000000e+00,9.385712309440652490e-01,9.660528245614303788e-01
1.000000000000000000e+00,9.343843255085764188e-01,1.000000000000000000e+00,8.982135741375310012e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.913386660206834566e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.089440557765432471e-01,0.000000000000000000e+00,9.550239451394638701e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.469457130383178711e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.179103012360444902e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.479506702232839643e-01,9.866318492466484846e-01,8.829052974318910563e-01,9.822649156852495400e-01,8.273214684496379423e-01,9.249132171272258507e-01,9.927255902424854117e-01,6.542835110464886306e-01,9.311336336791252721e-01,9.301884277292327141e-01,9.550239451394638701e-01,2.818287007720985393e-01,9.506926007310521065e-01,9.881246549288223990e-01,8.330501197519067924e-01,9.214081387457924155e-01,1.000000000000000000e+00,9.736525962783229016e-01,9.933376298091437517e-01
4.298599256230423160e-01,8.286190085561073726e-01,-7.796801917701712270e-02,9.315167798144761147e-01,9.988968598443580538e-01,7.346563483044468157e-01,8.555723834088573287e-01,3.462753202783838136e-01,6.969622542470357285e-01,7.694964800639731983e-01,8.850820586746683816e-01,1.000000000000000000e+00,9.506926007310521065e-01,0.000000000000000000e+00,3.145310444120978932e-01,8.304329681065136803e-02,1.000000000000000000e+00,3.855169630325409047e-01,9.787479530287453988e-01,2.233103194174441697e-01
5.953762022966047063e-03,8.167593617668944539e-01,-7.406731088181417455e-02,8.670104117196243410e-01,9.897855203713260552e-01,7.039054746280744013e-01,8.543934733047207075e-01,3.791116930535338714e-01,7.082692683172904236e-01,8.202579868783329564e-01,9.832694883890398252e-01,1.000000000000000000e+00,9.881246549288223990e-01,3.145310444120978932e-01,2.220446049250313081e-16,4.683407787331104188e-01,1.000000000000000000e+00,3.596712464546995003e-01,1.000000000000000000e+00,2.086308529408592571e-01
6.313548256004386516e-01,9.574323797543741188e-01,5.124635570174340682e-01,9.333624609939480399e-01,1.000000000000000000e+00,6.286358945367133133e-01,8.786224445355862445e-01,2.557750938926901529e-01,6.356261958268950574e-01,8.498175038039834650e-01,1.000000000000000000e+00,9.469457130383178711e-01,8.330501197519067924e-01,8.304329681065136803e-02,4.683407787331104188e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.528203511687107108e-01,1.000000000000000000e+00,8.142763123983509654e-02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.417376912413173429e-01,1.000000000000000000e+00,5.787303662654060821e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.743438566207772267e-01,1.000000000000000000e+00,9.214081387457924155e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.706953577182597659e-02,7.848476409650489982e-01,4.880730176448399016e-01,9.442302450223565291e-01,9.602444058148948969e-01,7.265183660674694455e-01,8.615636130595838438e-01,4.817929520363276596e-01,9.384293556746937659e-01,8.389685318211188569e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.855169630325409047e-01,3.596712464546995003e-01,2.528203511687107108e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.927600401430107802e-01,-3.993256976125336699e-02
9.709439659906284881e-01,9.163079443000120561e-01,9.520419738556956668e-01,9.586136933921302061e-01,8.408571315495612097e-01,9.897768253964013274e-01,9.327828351952675012e-01,1.000000000000000000e+00,9.255594770409341088e-01,9.502817412745961922e-01,9.385712309440652490e-01,7.179103012360444902e-01,9.736525962783229016e-01,9.787479530287453988e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.927600401430107802e-01,0.000000000000000000e+00,1.000000000000000000e+00
-1.750599582667300425e-02,9.784509384308642810e-01,3.580886789982226093e-01,7.710220006133334802e-01,1.000000000000000000e+00,7.460830677229334240e-01,8.467383649047238725e-01,4.399085345845140660e-01,9.788662367520062357e-01,7.602589214732679013e-01,9.660528245614303788e-01,1.000000000000000000e+00,9.933376298091437517e-01,2.233103194174441697e-01,2.086308529408592571e-01,8.142763123983509654e-02,1.000000000000000000e+00,-3.993256976125336699e-02,1.000000000000000000e+00,0.000000000000000000e+00
