# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.596518762400030544e-01,9.328988839422787116e-01,9.073509808289528245e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.731531944421796254e-01,8.208454581703050756e-01,9.096747981202284450e-01,9.867898012795138785e-01,8.507974408869339866e-01,8.479068968531420225e-01,8.138738654124669791e-01,7.317185542951714083e-01,6.912980372112219607e-01,9.086777028431293202e-01,9.560960513352182444e-01,7.228754365336836907e-01,9.756827069203901637e-01,7.089383124869476083e-01
8.596518762400030544e-01,2.220446049250313081e-16,8.708805718107081040e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.269336996259755157e-01,9.946597299570881789e-01,9.434364252140126084e-01,9.732288111225736449e-01,9.614289210180599898e-01,1.000000000000000000e+00,9.392246656029867857e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.491307052361048990e-01,8.814408787016830837e-01,9.364486231752672252e-01,7.674007686728550048e-01,5.309065306238494042e-01,9.704923775358494931e-01
9.328988839422787116e-01,8.708805718107081040e-01,2.945827164317620372e-01,9.370517133191531567e-01,9.889858876130435128e-01,1.000000000000000000e+00,9.750286837797714767e-01,9.528997044783326098e-01,9.891492293737451647e-01,9.672932086464433032e-01,9.452775585278512249e-01,8.915649014942266248e-01,8.343658282293940909e-01,9.289537957926499168e-01,9.872937442636046113e-01,1.000000000000000000e+00,9.559291920352868122e-01,9.840194079702241359e-01,9.446506149943025843e-01,9.749331876607290059e-01
9.073509808289528245e-01,1.000000000000000000e+00,9.370517133191531567e-01,0.000000000000000000e+00,8.887717745214985809e-01,1.000000000000000000e+00,9.765958124194094037e-01,1.000000000000000000e+00,9.280744319952238808e-01,9.844296371776765087e-01,8.183109930789654873e-01,9.416339555055373012e-01,6.576354721188990560e-01,9.178107649791164002e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.624908350272115554e-01,8.746443272622541620e-01,9.663540239806900356e-01,9.092376270946701533e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.889858876130435128e-01,8.887717745214985809e-01,0.000000000000000000e+00,8.962176065394590330e-01,8.990420345881066089e-01,1.000000000000000000e+00,9.721051263300037881e-01,9.559699771782584898e-01,9.862871648902629129e-01,9.756502843049021934e-01,8.987527009079092633e-01,9.022322580666294334e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.471929470198150680e-01,1.000000000000000000e+00,8.036912326832182929e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.269336996259755157e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.962176065394590330e-01,3.704629375986793205e-01,1.000000000000000000e+00,9.599278529663026749e-01,6.085375837786154429e-01,9.867579277544537009e-01,1.000000000000000000e+00,9.770054751985953745e-01,6.120540458459292621e-01,1.000000000000000000e+00,9.817067288019147853e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.370634187774427470e-01,1.000000000000000000e+00
9.731531944421796254e-01,9.946597299570881789e-01,9.750286837797714767e-01,9.765958124194094037e-01,8.990420345881066089e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.445140884980552043e-01,8.708695832797042069e-01,9.684324121021758991e-01,9.396011322740214222e-01,9.743335464271694057e-01,9.215110523507725748e-01,9.587126401889619620e-01,8.490112945612441342e-01,9.004512371128743364e-01,9.302619660204838326e-01,9.078683477935360902e-01,9.076670970786766546e-01,9.452086883927018901e-01
8.208454581703050756e-01,9.434364252140126084e-01,9.528997044783326098e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.599278529663026749e-01,8.445140884980552043e-01,0.000000000000000000e+00,9.087886583202953172e-01,8.666903782341026652e-01,9.186209431045041507e-01,9.926174269842999998e-01,9.785893151498932241e-01,8.822848390784152617e-01,6.458212572682437980e-01,8.892873571973270996e-01,9.979019923290841643e-01,9.788025484106266383e-01,1.000000000000000000e+00,9.220713493760772650e-01
9.096747981202284450e-01,9.732288111225736449e-01,9.891492293737451647e-01,9.280744319952238808e-01,9.721051263300037881e-01,6.085375837786154429e-01,8.708695832797042069e-01,9.087886583202953172e-01,5.000000000000000000e-01,9.623814327626323273e-01,9.279925474756069992e-01,8.926753932041499029e-01,9.624199376093851566e-01,9.108686798249397976e-01,8.361526907765274297e-01,9.547069904466367607e-01,1.000000000000000000e+00,7.864816814646520271e-01,1.000000000000000000e+00,9.394608921376417232e-01
9.867898012795138785e-01,9.614289210180599898e-01,9.672932086464433032e-01,9.844296371776765087e-01,9.559699771782584898e-01,9.867579277544537009e-01,9.684324121021758991e-01,8.666903782341026652e-01,9.623814327626323273e-01,2.220446049250313081e-16,9.542663092925204316e-01,9.795659277799528830e-01,9.447410413994385969e-01,9.663988390007983709e-01,8.651504182931892828e-01,5.227959271124034135e-01,9.766406257756211629e-01,9.225172214894692413e-01,6.690124649049327132e-01,1.000000000000000000e+00
