# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.880214093209067405e-01,9.687798726472802713e-01,1.026303337898375911e+00,1.234307873720856819e+00,1.138832974770316753e+00,1.043357407135139914e+00,1.065865329267553729e+00,7.331198376845748932e-01,1.083116123916959328e+00,1.190803186096611510e+00,1.226477570533337502e+00,1.117319267681421202e+00,1.218612095598651024e+00,1.125723435169003306e+00,1.114601820425774825e+00,1.129579225915066765e+00,1.046688987352266009e+00,8.725743766229915321e-01,1.177270513541391228e+00,1.084905973457090944e+00
9.687798726472802713e-01,0.000000000000000000e+00,8.353972531542503965e-01,9.771810553028834612e-01,1.027179802924816254e+00,6.019947743178944988e-01,8.597657321139049458e-01,9.623515446753888591e-01,1.095371158152957491e+00,9.040434786947787460e-01,9.068707400477230562e-01,9.624607276115145771e-01,9.723330353115788860e-01,9.007834547344769627e-01,8.995422422522911798e-01,7.948854375950926698e-01,9.744832201491226975e-01,8.168767917129727829e-01,9.070908843749995176e-01,9.184053296017158363e-01
1.026303337898375911e+00,8.353972531542503965e-01,1.110223024625156540e-16,8.836821022048206853e-01,1.155053535433951728e+00,7.286333784284260151e-01,9.625576416925096801e-01,9.945921932722420200e-01,1.000239325501018905e+00,9.721742464188700694e-01,8.542624403316440018e-01,8.588507821392155073e-01,8.915675612338430644e-01,8.923065677921352412e-01,8.975830097785200135e-01,8.842012897780394676e-01,9.587918263922583506e-01,9.589311627640835223e-01,9.529752154380647378e-01,9.468305160634952200e-01
1.234307873720856819e+00,9.771810553028834612e-01,8.836821022048206853e-01,2.220446049250313081e-16,1.214007935971742835e+00,9.774178071965742287e-01,9.815616437392142846e-01,1.345561357058281393e+00,1.324392127561557775e+00,9.750844127848957710e-01,9.802297828034192140e-01,9.494331337055480491e-01,7.850046738632496801e-01,9.459937833469994617e-01,9.456592704483516298e-01,9.754311479204959001e-01,9.764490353238938214e-01,1.137408930380132466e+00,7.950805978172846844e-01,9.662606967628071253e-01
1.138832974770316753e+00,1.027179802924816254e+00,1.155053535433951728e+00,1.214007935971742835e+00,1.110223024625156540e-16,9.893401534652213059e-01,1.021533802614561726e+00,9.274081222977464956e-01,1.368203674309192763e+00,1.181163237927618903e+00,1.320221160020401907e+00,1.122798866858753408e+00,1.274511347864881294e+00,1.065201583871194568e+00,1.064418982581170292e+00,1.201888981690431013e+00,9.993657794741914735e-01,1.025838320754048683e+00,1.153389720206796420e+00,1.012239222775339398e+00
1.043357407135139914e+00,6.019947743178944988e-01,7.286333784284260151e-01,9.774178071965742287e-01,9.893401534652213059e-01,2.220446049250313081e-16,9.087633574634542688e-01,9.380690964940554544e-01,8.546146897641229145e-01,9.459014480922256496e-01,9.554217046222645005e-01,9.057755368278715968e-01,8.754765672100195406e-01,8.795281302926198919e-01,8.109268364562405296e-01,9.907191374060482225e-01,9.597150547973903878e-01,9.251723914712650654e-01,9.567623561686091627e-01,7.884411322467521632e-01
1.065865329267553729e+00,8.597657321139049458e-01,9.625576416925096801e-01,9.815616437392142846e-01,1.021533802614561726e+00,9.087633574634542688e-01,0.000000000000000000e+00,1.096328609009795452e+00,1.115814760304445707e+00,8.565192920863757831e-01,1.000000000000000000e+00,8.747664711849203467e-01,9.676264649675023755e-01,8.929694648345477548e-01,9.222032561973004805e-01,9.326129419015630750e-01,1.000000000000000000e+00,9.330515582553188247e-01,8.559145046872267404e-01,9.178706335207050815e-01
7.331198376845748932e-01,9.623515446753888591e-01,9.945921932722420200e-01,1.345561357058281393e+00,9.274081222977464956e-01,9.380690964940554544e-01,1.096328609009795452e+00,0.000000000000000000e+00,9.816590164270927454e-01,1.198856794053133834e+00,1.268191412646368033e+00,1.154825871180819252e+00,1.223524829480856724e+00,1.168633586776311128e+00,1.133461972004037754e+00,1.234697543101802353e+00,1.023499538922646446e+00,8.295374116031443146e-01,1.142109254809644314e+00,1.105347840191498454e+00
1.083116123916959328e+00,1.095371158152957491e+00,1.000239325501018905e+00,1.324392127561557775e+00,1.368203674309192763e+00,8.546146897641229145e-01,1.115814760304445707e+00,9.816590164270927454e-01,-2.220446049250313081e-16,1.172790629944965746e+00,1.183202336404080901e+00,1.195132997380107698e+00,1.207302478180682259e+00,9.897993546418168975e-01,9.464698833763878216e-01,1.224890444248376786e+00,1.124616837618506393e+00,1.036363194600844251e+00,1.200802399224534467e+00,9.786074459627728261e-01
1.190803186096611510e+00,9.040434786947787460e-01,9.721742464188700694e-01,9.750844127848957710e-01,1.181163237927618903e+00,9.459014480922256496e-01,8.565192920863757831e-01,1.198856794053133834e+00,1.172790629944965746e+00,2.220446049250313081e-16,1.000000000000000000e+00,8.964579772810268299e-01,9.710986066421537499e-01,9.558537492047364248e-01,9.910501123964061687e-01,9.601819390520921482e-01,1.000000000000000000e+00,9.783738882524259939e-01,9.904253555501941753e-01,9.691569810939789642e-01
