# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.099977208068110723e-01,9.839713565582953736e-01,9.720408554841256654e-01,1.000000000000000000e+00,9.167104910088971215e-01,9.282770421126914639e-01,4.026980018956324292e-01,1.059731761041778020e+00,8.291622173384692873e-01,1.167024803957575463e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.635849385706132253e-01,7.195174361609650848e-01,9.952005629077481652e-01,1.168670552611416946e+00,8.558420303646439020e-01,9.887712274298224857e-01,9.578894116974375761e-01
9.099977208068110723e-01,5.000000000000000000e-01,9.830529498328355320e-01,9.593427717765407037e-01,9.128099473821970067e-01,9.963507171483324543e-01,9.159630790239551290e-01,8.875176489808929148e-01,8.490975725395449869e-01,8.179144802322032559e-01,1.064619035467633923e+00,9.266198425992820953e-01,8.979541112097139122e-01,9.240730428401493501e-01,1.146714185992821378e+00,9.467850064773144503e-01,1.112413417123567783e+00,1.085324486787861975e+00,9.135619027992268881e-01,9.457601622251898821e-01
9.839713565582953736e-01,9.830529498328355320e-01,6.119396505475791503e-01,1.101664544162007431e+00,9.628749286534163954e-01,1.056198907992598190e+00,1.079255969789276515e+00,8.961415860915981080e-01,1.116119447256727071e+00,1.008858390478709843e+00,1.062545293779839417e+00,1.079524020999124367e+00,1.063229082315093610e+00,9.786029115693924973e-01,8.958210416024030565e-01,9.912487618518046606e-01,1.134557720448106100e+00,9.016193079170138347e-01,1.101258781957079824e+00,1.009306689499937626e+00
9.720408554841256654e-01,9.593427717765407037e-01,1.101664544162007431e+00,1.110223024625156540e-16,8.407726635216185018e-01,9.338216396526327623e-01,9.144120673053269810e-01,9.954731501653196757e-01,1.030729527126192480e+00,9.440753804299826246e-01,1.171930785601684288e+00,9.244411634865208338e-01,7.427255818501061757e-01,9.166961938275289823e-01,1.203402444543427707e+00,1.000000000000000000e+00,1.224661585947109943e+00,1.172858476302868880e+00,9.280347748864570256e-01,9.351178039191084812e-01
1.000000000000000000e+00,9.128099473821970067e-01,9.628749286534163954e-01,8.407726635216185018e-01,2.220446049250313081e-16,9.979192665264514650e-01,8.935718270079984205e-01,9.986923733773386269e-01,1.064138977732972169e+00,8.208105408321173524e-01,1.036202274357432618e+00,9.762739176920463002e-01,6.368195791667489170e-01,9.259775702047265966e-01,1.112048954215751007e+00,1.000000000000000000e+00,1.046295560564169280e+00,8.813367621158755272e-01,8.918579609731603908e-01,9.275515136855095877e-01
9.167104910088971215e-01,9.963507171483324543e-01,1.056198907992598190e+00,9.338216396526327623e-01,9.979192665264514650e-01,0.000000000000000000e+00,9.922880147433572606e-01,9.715120387865321394e-01,1.054261403188419211e+00,1.000000000000000000e+00,1.105121517705383027e+00,9.908597240504384285e-01,9.939727094743424640e-01,1.000000000000000000e+00,1.121063409380568698e+00,1.000000000000000000e+00,1.157592555273548651e+00,1.134269584489275395e+00,9.935271284499938016e-01,1.000000000000000000e+00
9.282770421126914639e-01,9.159630790239551290e-01,1.079255969789276515e+00,9.144120673053269810e-01,8.935718270079984205e-01,9.922880147433572606e-01,0.000000000000000000e+00,9.063321040808001161e-01,1.049092898651220462e+00,8.954226038808061894e-01,9.657187775685559528e-01,1.000000000000000000e+00,9.748594458615580383e-01,9.103745947671640915e-01,1.179020101586996105e+00,8.959587913339988052e-01,1.007182643656773013e+00,1.236455788896137831e+00,7.259964803557401591e-01,9.657196612862789520e-01
4.026980018956324292e-01,8.875176489808929148e-01,8.961415860915981080e-01,9.954731501653196757e-01,9.986923733773386269e-01,9.715120387865321394e-01,9.063321040808001161e-01,2.220446049250313081e-16,1.029653528114614636e+00,8.174386134378759383e-01,1.092475487392016831e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.830530000386286327e-01,6.641437692949758720e-01,8.476639792254848649e-01,1.100010017363560300e+00,8.000962814141839852e-01,9.391312080316589483e-01,8.378435548260303456e-01
1.059731761041778020e+00,8.490975725395449869e-01,1.116119447256727071e+00,1.030729527126192480e+00,1.064138977732972169e+00,1.054261403188419211e+00,1.049092898651220462e+00,1.029653528114614636e+00,6.454681702243980634e-01,8.854451272961123554e-01,1.030364518477901559e+00,1.017605631755645001e+00,1.088511664274495860e+00,1.003774900158223016e+00,1.131947679882651769e+00,1.066297306751457619e+00,1.122278535510333519e+00,1.100886469069750406e+00,1.073176996206195888e+00,1.033475394210003451e+00
8.291622173384692873e-01,8.179144802322032559e-01,1.008858390478709843e+00,9.440753804299826246e-01,8.208105408321173524e-01,1.000000000000000000e+00,8.954226038808061894e-01,8.174386134378759383e-01,8.854451272961123554e-01,1.110223024625156540e-16,1.033041088628311677e+00,8.968583671895387077e-01,8.700427508851945602e-01,8.434851134610638068e-01,1.011949004296180510e+00,1.000000000000000000e+00,1.035662293345761320e+00,1.016607473529319128e+00,9.139118267220781577e-01,9.898837991606939113e-01
1.167024803957575463e+00,1.064619035467633923e+00,1.062545293779839417e+00,1.171930785601684288e+00,1.036202274357432618e+00,1.105121517705383027e+00,9.657187775685559528e-01,1.092475487392016831e+00,1.030364518477901559e+00,1.033041088628311677e+00,1.110223024625156540e-16,9.100879508676382734e-01,1.170451866818594144e+00,9.448250101286579383e-01,1.042915928826307459e+00,9.850993292263472423e-01,9.467687960499304722e-01,1.100869180198152053e+00,1.051499475850237397e+00,1.069318252498570043e+00
1.000000000000000000e+00,9.266198425992820953e-01,1.079524020999124367e+00,9.244411634865208338e-01,9.762739176920463002e-01,9.908597240504384285e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.017605631755645001e+00,8.968583671895387077e-01,9.100879508676382734e-01,3.257168166151081512e-01,9.690870245539457972e-01,9.807074266456448086e-01,1.228861829254247695e+00,9.917062939281868772e-01,7.796205444944930285e-01,1.209080805047920038e+00,9.534616323163429552e-01,9.805857199391155854e-01
