# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,9.885253593922032067e-01,7.451839679285583440e-01,9.895960866834779823e-01,9.945606757843440393e-01,8.684055047633733038e-01,1.000000000000000000e+00,3.380186195515597625e-01,8.649646845564518127e-01,1.000000000000000000e+00,9.521572196595495807e-01,9.672318633026419921e-01,1.000000000000000000e+00,5.428523120774972899e-01,2.440461061271486098e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.709671623297720933e-01,9.213817397188317493e-01,6.679431821480663611e-01
9.885253593922032067e-01,5.000000000000000000e-01,8.345377448428477063e-01,9.502646254924536073e-01,8.438658253860394920e-01,8.543245795187770497e-01,8.879471483951661970e-01,7.264694518536485290e-01,8.675607823355196979e-01,8.876383347309702021e-01,9.850713450979216024e-01,8.598194826404350621e-01,9.416728014738133812e-01,9.889763444680146343e-01,9.986047129474431294e-01,8.928042072571111820e-01,9.424403115056048108e-01,9.438046482087428801e-01,9.860820788814621540e-01,1.081412654838924015e+00
7.451839679285583440e-01,8.345377448428477063e-01,0.000000000000000000e+00,8.301478066663012800e-01,6.969304408131418160e-01,9.678261183897758357e-01,9.403087156290048654e-01,5.652322478036315712e-01,9.600597949480154103e-01,5.980900599412768415e-01,1.000000000000000000e+00,8.960336472234182725e-01,8.436837775411307749e-01,1.000000000000000000e+00,7.003001226952222380e-01,9.764703142123648538e-01,1.000000000000000000e+00,6.043682690189879914e-01,1.000000000000000000e+00,9.466773586527347240e-01
9.895960866834779823e-01,9.502646254924536073e-01,8.301478066663012800e-01,0.000000000000000000e+00,8.536745585266408698e-01,9.869850729086958596e-01,9.645389185010579958e-01,7.476304228227447224e-01,9.599927265992407310e-01,8.572579815008324333e-01,9.364087403351847305e-01,9.060973362302031653e-01,5.635122953869012852e-01,8.818056721968189349e-01,8.537668514684718657e-01,7.764431245737788423e-01,9.073258304690321463e-01,8.853067249753322487e-01,9.640063096806295029e-01,1.014347325858728999e+00
9.945606757843440393e-01,8.438658253860394920e-01,6.969304408131418160e-01,8.536745585266408698e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.119115178506107755e-01,8.388655293293864057e-01,1.000000000000000000e+00,6.738213811686428745e-01,1.000000000000000000e+00,9.434676362009586370e-01,8.807094164750515208e-01,9.805727935356677305e-01,1.000000000000000000e+00,9.252848918573525205e-01,9.173719935624838895e-01,8.757178413052724153e-01,9.513532861764644188e-01,1.075080940609072666e+00
8.684055047633733038e-01,8.543245795187770497e-01,9.678261183897758357e-01,9.869850729086958596e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.964590868652632993e-01,7.497454190873484858e-01,6.322821407782512892e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.979925987146204491e-01,7.423995956588420597e-01,6.878692539512654136e-01,9.006955995066563414e-01,9.326928173386552778e-01,1.000000000000000000e+00,8.598965973503732707e-01,9.892009466736328971e-01,1.066363137404856332e+00
1.000000000000000000e+00,8.879471483951661970e-01,9.403087156290048654e-01,9.645389185010579958e-01,8.119115178506107755e-01,9.964590868652632993e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.992071776080621248e-01,1.000000000000000000e+00,9.955723752339448174e-01,9.701292882784412486e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.678513792811603844e-01,1.000000000000000000e+00,1.084432269385645853e+00
3.380186195515597625e-01,7.264694518536485290e-01,5.652322478036315712e-01,7.476304228227447224e-01,8.388655293293864057e-01,7.497454190873484858e-01,1.000000000000000000e+00,1.110223024625156540e-16,7.520411122008254790e-01,8.428134019416928524e-01,1.000000000000000000e+00,8.720096375528689769e-01,8.418078660181578243e-01,1.000000000000000000e+00,4.143149925001793354e-01,9.567543540559946269e-01,8.755812686136669187e-01,2.821470445755340783e-01,1.000000000000000000e+00,8.253079195151090675e-01
8.649646845564518127e-01,8.675607823355196979e-01,9.600597949480154103e-01,9.599927265992407310e-01,1.000000000000000000e+00,6.322821407782512892e-01,8.992071776080621248e-01,7.520411122008254790e-01,0.000000000000000000e+00,9.911373273291906871e-01,9.321063234733732994e-01,8.786364975874632055e-01,9.438578809377674572e-01,8.023498918281624093e-01,8.828753706631807807e-01,9.074509919904339972e-01,9.875322393905926477e-01,8.086413738145357133e-01,9.770807533256510302e-01,1.038594944089106464e+00
1.000000000000000000e+00,8.876383347309702021e-01,5.980900599412768415e-01,8.572579815008324333e-01,6.738213811686428745e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.428134019416928524e-01,9.911373273291906871e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.888381940375613688e-01,8.460741161443681158e-01,9.048127064851183565e-01,1.000000000000000000e+00,9.808828339102738658e-01,9.671258712062993368e-01,8.905620888364275123e-01,9.954200361667018271e-01,1.084836221676509282e+00
