# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,1.029928076861602593e+00,7.563767334079194438e-01,9.516395560940557052e-01,9.210343241582029661e-01,9.627430789814424017e-01,8.950299813478045374e-01,4.514878703843420160e-01,1.143735186755599376e+00,9.802782335220865395e-01,9.850473567379816053e-01,9.884549641786900542e-01,9.763171237641621314e-01,9.535306648508861116e-01,1.367843979724814973e+00,9.450488207685643349e-01,9.333042176792502032e-01,3.929347780648955180e-01,9.901633662268831682e-01,9.506627301546202169e-01
1.029928076861602593e+00,6.146187522273895976e-01,1.009638975483749368e+00,1.046844293486715705e+00,9.949476504377816610e-01,6.975283448806163245e-01,9.600635061611294541e-01,9.865067935167749491e-01,9.891191022012238987e-01,9.675532934368749061e-01,1.072218186923739269e+00,1.045847452347458573e+00,1.042215267194039896e+00,1.014303824022835698e+00,1.174446508720358606e+00,1.031973840505907569e+00,1.042484114974442377e+00,9.871085645000974296e-01,1.021228758953830695e+00,9.887609904737121314e-01
7.563767334079194438e-01,1.009638975483749368e+00,4.481971316535197092e-01,9.385814030608894409e-01,8.503000899438369897e-01,9.741597420660518258e-01,9.284049492443418039e-01,6.688478041513874484e-01,1.083047819632270592e+00,9.464851755681789047e-01,1.000000000000000000e+00,9.969196034399866457e-01,9.261638843626464057e-01,7.450541499671621271e-01,1.250348508382308266e+00,9.629872118015865290e-01,8.767033452384194181e-01,6.124576411974879120e-01,9.229922959875914712e-01,7.907224314283425315e-01
9.516395560940557052e-01,1.046844293486715705e+00,9.385814030608894409e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.650404372810694742e-01,9.717874532530498266e-01,9.493003312861912901e-01,1.117524103180301598e+00,9.479062337709547315e-01,9.670818355250357934e-01,9.779170738246308892e-01,9.872106692742196321e-01,9.416720459215438543e-01,1.118911225285993183e+00,9.667214973252242771e-01,9.529502974037640239e-01,9.316758421933869494e-01,8.854861079909356336e-01,9.932707992079615744e-01
9.210343241582029661e-01,9.949476504377816610e-01,8.503000899438369897e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.823478403871962472e-01,8.560549371949404129e-01,8.451900967037834222e-01,1.110669245407079231e+00,8.954536203864653654e-01,9.297030051574337595e-01,9.835706058695554699e-01,9.533945503681657829e-01,9.506322296540477002e-01,1.282404618969672505e+00,1.000000000000000000e+00,8.913289419474685893e-01,8.348807837353127148e-01,9.367651657651239194e-01,9.493602114374205536e-01
9.627430789814424017e-01,6.975283448806163245e-01,9.741597420660518258e-01,9.650404372810694742e-01,9.823478403871962472e-01,0.000000000000000000e+00,9.762583609775550286e-01,9.673410798610818651e-01,9.006539710030618817e-01,9.203355140714488680e-01,9.863201759792393775e-01,9.882644342261254211e-01,9.834717398702966795e-01,9.785945905455292193e-01,1.336002190197940642e+00,9.513271692637578214e-01,9.747951745819709579e-01,9.764938326941069446e-01,9.824098756587299475e-01,9.519714772897316379e-01
8.950299813478045374e-01,9.600635061611294541e-01,9.284049492443418039e-01,9.717874532530498266e-01,8.560549371949404129e-01,9.762583609775550286e-01,0.000000000000000000e+00,8.615771729162031711e-01,1.109508895766871506e+00,9.202896617934698265e-01,9.234233592956613279e-01,1.000000000000000000e+00,9.426088628091536803e-01,9.400202934858841175e-01,1.121757299733914470e+00,9.420141304751181721e-01,9.920381813183472008e-01,8.753333194681846008e-01,7.670446798406491684e-01,9.476334489060150856e-01
4.514878703843420160e-01,9.865067935167749491e-01,6.688478041513874484e-01,9.493003312861912901e-01,8.451900967037834222e-01,9.673410798610818651e-01,8.615771729162031711e-01,2.220446049250313081e-16,1.033248348927688465e+00,9.288159572772415329e-01,9.861656235474351995e-01,9.958161650635708462e-01,8.066543921807330930e-01,9.032932679151673971e-01,1.278488859523321253e+00,9.951878756471627119e-01,8.895268096546778969e-01,2.458015677091922591e-01,9.253215168152417736e-01,9.471212904409870292e-01
1.143735186755599376e+00,9.891191022012236767e-01,1.083047819632270592e+00,1.117524103180301598e+00,1.110669245407079231e+00,9.006539710030618817e-01,1.109508895766871506e+00,1.033248348927688465e+00,5.097209040265573421e-01,1.106042427145377482e+00,1.126061781199917844e+00,1.124136216675525546e+00,1.109771925345959920e+00,1.128672167721318509e+00,1.248956330845541363e+00,1.101859453185729310e+00,1.133765182388564607e+00,1.161449504644241681e+00,1.180887486445964418e+00,1.078860826506141901e+00
9.802782335220865395e-01,9.675532934368749061e-01,9.464851755681789047e-01,9.479062337709547315e-01,8.954536203864653654e-01,9.203355140714488680e-01,9.202896617934698265e-01,9.288159572772415329e-01,1.106042427145377482e+00,3.330669073875469621e-16,9.457579249163766688e-01,1.000000000000000000e+00,9.919887107361632372e-01,9.365381312801890346e-01,1.277328299923939703e+00,9.897861036235497956e-01,9.905428597143741687e-01,9.152952857512244300e-01,9.592147522204905741e-01,9.392381369141962200e-01
9.850473567379816053e-01,1.072218186923739269e+00,1.000000000000000000e+00,9.670818355250357934e-01,9.297030051574337595e-01,9.863201759792393775e-01,9.234233592956613279e-01,9.861656235474351995e-01,1.126061781199917844e+00,9.457579249163766688e-01,0.000000000000000000e+00,9.824309462701039664e-01,9.911863796455453457e-01,9.266009975442837110e-01,1.284239083462100250e+00,9.366721333770390290e-01,9.795982499659758869e-01,9.673948122570267261e-01,9.731352967183657388e-01,7.550041827408212614e-01
9.884549641786900542e-01,1.045847452347458573e+00,9.969196034399866457e-01,9.779170738246308892e-01,9.835706058695554699e-01,9.882644342261254211e-01,1.000000000000000000e+00,9.958161650635708462e-01,1.124136216675525546e+00,1.000000000000000000e+00,9.824309462701039664e-01,0.000000000000000000e+00,8.779752737973679499e-01,9.658070407692987969e-01,1.264348839596495022e+00,1.000000000000000000e+00,9.895324538364654865e-01,9.001575190247299574e-01,9.160378834041560392e-01,1.000000000000000000e+00
9.763171237641621314e-01,1.042215267194039896e+00,9.261638843626464057e-01,9.872106692742196321e-01,9.533945503681657829e-01,9.834717398702966795e-01,9.426088628091536803e-01,8.066543921807330930e-01,1.109771925345959920e+00,9.919887107361632372e-01,9.911863796455453457e-01,8.779752737973679499e-01,-2.220446049250313081e-16,9.864139419716685397e-01,1.260020199235657890e+00,9.249468670979086315e-01,9.357743572894429152e-01,7.716901724656183292e-01,9.819601658190180160e-01,1.000000000000000000e+00
9.535306648508861116e-01,1.014303824022835698e+00,7.450541499671621271e-01,9.416720459215438543e-01,9.506322296540477002e-01,9.785945905455292193e-01,9.400202934858841175e-01,9.032932679151673971e-01,1.128672167721318509e+00,9.365381312801890346e-01,9.266009975442837110e-01,9.658070407692987969e-01,9.864139419716685397e-01,2.220446049250313081e-16,1.049431044953518688e+00,8.573144386825160002e-01,9.164834167950457466e-01,8.728517396092320135e-01,9.277899410278005465e-01,2.208992703444142558e-01
1.367843979724814973e+00,1.174446508720358606e+00,1.250348508382308266e+00,1.118911225285993183e+00,1.282404618969672505e+00,1.336002190197940642e+00,1.121757299733914470e+00,1.278488859523321253e+00,1.248956330845541363e+00,1.277328299923939703e+00,1.284239083462100250e+00,1.264348839596495022e+00,1.260020199235657890e+00,1.049431044953518688e+00,-2.220446049250313081e-16,1.210264862235733485e+00,1.353684165657680571e+00,1.255869410768198247e+00,1.287793960634453283e+00,9.907622170250409699e-01
9.450488207685643349e-01,1.031973840505907569e+00,9.629872118015865290e-01,9.667214973252242771e-01,1.000000000000000000e+00,9.513271692637578214e-01,9.420141304751181721e-01,9.951878756471627119e-01,1.101859453185729310e+00,9.897861036235497956e-01,9.366721333770390290e-01,1.000000000000000000e+00,9.249468670979086315e-01,8.573144386825160002e-01,1.210264862235733485e+00,-2.220446049250313081e-16,9.759191008325519556e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.690505675751262205e-01
