# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.542763459156910155e-01,8.748724601679228607e-01,9.847865719856832012e-01,8.575778071640678402e-01,9.978684463693191509e-01,7.019871134685503611e-01,9.284840080464589196e-01,9.922312353849661593e-01,7.973693671509156644e-01,9.634608560960676860e-01,6.191156759526186271e-01,1.000000000000000000e+00,8.824101875052025035e-01,9.773510775044764731e-01,2.816000241273056703e-01,9.380356599394582551e-01,7.999201855363757829e-01
8.542763459156910155e-01,0.000000000000000000e+00,9.701198716513108611e-01,9.958262125265739950e-01,5.402635905046212494e-01,9.844789840663598079e-01,9.675048072091818607e-01,5.408956571657159706e-01,1.000000000000000000e+00,9.606252940124488937e-01,9.324320273877134690e-01,1.000000000000000000e+00,9.938808978871539468e-01,9.406867321320698805e-01,1.000000000000000000e+00,7.271249225509217595e-01,1.000000000000000000e+00,9.434489899041498262e-01
8.748724601679228607e-01,9.701198716513108611e-01,2.220446049250313081e-16,9.795849381594096128e-01,9.588504293604354078e-01,9.834438902867868038e-01,8.802500338236930455e-01,8.644887613526825998e-01,9.777282937087030668e-01,1.000000000000000000e+00,9.816814787979434298e-01,8.850741194174596149e-01,9.064014032152316602e-01,8.870388613592607996e-01,9.630843904211420226e-01,8.358014587687174757e-01,8.989570193651353902e-01,8.805351202622058171e-01
9.847865719856832012e-01,9.958262125265739950e-01,9.795849381594096128e-01,9.975219077058899986e-02,8.663453792974178391e-01,9.824219316421267667e-01,9.798600832713770803e-01,9.829408980572013066e-01,7.705783515338008316e-01,9.243766156703365766e-01,5.773930898959730440e-01,8.598483730684222115e-01,9.273999336602243293e-01,7.755344049345280766e-01,7.320629834505902878e-01,9.666008136073889201e-01,9.034812541597591062e-01,7.036118510838840212e-01
8.575778071640678402e-01,5.402635905046212494e-01,9.588504293604354078e-01,8.663453792974178391e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.061250229736277362e-01,4.794554430342540252e-01,9.801150756708022493e-01,1.000000000000000000e+00,9.062596081270419823e-01,9.097085362518411156e-01,9.190693947692051280e-01,9.296376292081077741e-01,9.753081439566685384e-01,4.954092226244053432e-01,1.000000000000000000e+00,9.094292467210480790e-01
9.978684463693191509e-01,9.844789840663598079e-01,9.834438902867868038e-01,9.824219316421267667e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.701273176874903870e-01,1.000000000000000000e+00,9.108240072818845068e-01,7.947778223849668588e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.683922627625752844e-01,9.790892143651124258e-01,9.410999257367058668e-01,1.000000000000000000e+00,9.931104199719101855e-01,9.449805653196089450e-01
7.019871134685503611e-01,9.675048072091818607e-01,8.802500338236930455e-01,9.798600832713770803e-01,9.061250229736277362e-01,9.701273176874903870e-01,2.220446049250313081e-16,7.237736273154573574e-01,9.893739167089862230e-01,9.803469799096379278e-01,9.690977945132596139e-01,7.193346853551823017e-01,9.006047178422169619e-01,7.112852163156663243e-01,9.802010035219413941e-01,6.837804737425661195e-01,9.343924194517069237e-01,8.486368633157408414e-01
9.284840080464589196e-01,5.408956571657159706e-01,8.644887613526825998e-01,9.829408980572013066e-01,4.794554430342540252e-01,1.000000000000000000e+00,7.237736273154573574e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.565629075981212370e-01,9.018256882987760736e-01,8.889035900527341161e-01,9.490275607170485239e-01,9.773714204810116657e-01,8.558838236132915167e-01,9.389354015600065440e-01,9.449517348377486359e-01
9.922312353849661593e-01,1.000000000000000000e+00,9.777282937087030668e-01,7.705783515338008316e-01,9.801150756708022493e-01,9.108240072818845068e-01,9.893739167089862230e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.747503968305704092e-01,9.281447127855538826e-01,8.599716695897305918e-01,8.925524165190483750e-01,9.912450290216108240e-01,3.707742909164353229e-01,9.796459169152675894e-01,9.771573576010884610e-01,7.240411951861438489e-01
7.973693671509156644e-01,9.606252940124488937e-01,1.000000000000000000e+00,9.243766156703365766e-01,1.000000000000000000e+00,7.947778223849668588e-01,9.803469799096379278e-01,1.000000000000000000e+00,9.747503968305704092e-01,2.220446049250313081e-16,9.639490731665087964e-01,8.856079240536841590e-01,1.000000000000000000e+00,9.469063208917222196e-01,9.341044254005907987e-01,9.735759737754933196e-01,9.825661772467049193e-01,7.366177581490500614e-01
9.634608560960676860e-01,9.324320273877134690e-01,9.816814787979434298e-01,5.773930898959730440e-01,9.062596081270419823e-01,1.000000000000000000e+00,9.690977945132596139e-01,9.565629075981212370e-01,9.281447127855538826e-01,9.639490731665087964e-01,2.220446049250313081e-16,9.640126061261720114e-01,8.790334794079268654e-01,8.721470553923218461e-01,9.734622235735465035e-01,9.768778915328896195e-01,9.358614019706015252e-01,8.447652448341456122e-01
6.191156759526186271e-01,1.000000000000000000e+00,8.850741194174596149e-01,8.598483730684222115e-01,9.097085362518411156e-01,1.000000000000000000e+00,7.193346853551823017e-01,9.018256882987760736e-01,8.599716695897305918e-01,8.856079240536841590e-01,9.640126061261720114e-01,-2.220446049250313081e-16,8.957954410765028852e-01,9.176122353512934371e-01,9.095813058980740662e-01,5.545374191503172900e-01,9.708638915350209508e-01,5.087572805791893416e-01
