# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,9.961649913150395497e-01,8.199932085054945086e-01,1.000000000000000000e+00,9.636319858054680498e-01,4.043751304514114908e-01,1.000000000000000000e+00,7.867301876027175123e-01,1.000000000000000000e+00,9.851252442355322714e-01,5.864273141090659003e-02,2.723954920612624564e-01,8.608837001568604430e-01,8.479721101444908093e-01,1.000000000000000000e+00,9.632830495024138351e-01,6.354819723565547918e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.618311497578396763e-01,4.506020934057616278e-01,1.000000000000000000e+00,9.516103278438544644e-01,2.698127341853101546e-01,9.738835184169759573e-01,1.000000000000000000e+00,1.087407083688179066e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.345288683854189316e-01,9.795612172555265840e-01,9.835486191867549577e-01,9.840332992669331702e-01,1.000000000000000000e+00
9.961649913150395497e-01,1.000000000000000000e+00,4.554344875639596002e-01,1.000000000000000000e+00,9.755604419078810485e-01,8.476941798926760363e-01,8.503626714794699781e-01,1.000000000000000000e+00,9.366750848750298175e-01,9.035549697378764122e-01,1.051961998105327201e+00,9.060028184969433074e-01,5.962750662420257530e-01,9.637962755832464312e-01,9.859576959403069107e-01,1.000000000000000000e+00,9.427297325863301936e-01,7.431914199944003041e-01
8.199932085054945086e-01,9.618311497578396763e-01,1.000000000000000000e+00,0.000000000000000000e+00,7.311238959004495719e-01,9.681373519485855228e-01,7.875818598262434023e-01,1.000000000000000000e+00,9.715755744255373250e-01,1.000000000000000000e+00,1.025177372171879764e+00,1.000000000000000000e+00,8.952974930647391583e-01,9.772696568083949487e-01,9.812706523445789975e-01,9.286644126636640628e-01,9.816074594784989227e-01,9.072231903549401455e-01
1.000000000000000000e+00,4.506020934057616278e-01,9.755604419078810485e-01,7.311238959004495719e-01,0.000000000000000000e+00,9.931126238635487047e-01,9.666130693263421669e-01,3.314682586456249025e-01,9.665344074369265348e-01,1.000000000000000000e+00,1.025233545333259055e+00,1.000000000000000000e+00,9.417119789364440940e-01,9.396639779251928504e-01,9.826629468642092968e-01,8.549871485854864117e-01,9.602310222632791659e-01,9.187041918078980851e-01
9.636319858054680498e-01,1.000000000000000000e+00,8.476941798926760363e-01,9.681373519485855228e-01,9.931126238635487047e-01,1.110223024625156540e-16,8.557602126143377674e-01,1.000000000000000000e+00,9.294792011277157595e-01,9.897846180569608299e-01,9.946468957115991438e-01,9.590045743920033727e-01,9.675613052546594428e-01,9.721579881005315560e-01,8.472134426456501277e-01,1.000000000000000000e+00,9.566576263395799584e-01,8.252021663633214432e-01
4.043751304514114908e-01,9.516103278438544644e-01,8.503626714794699781e-01,7.875818598262434023e-01,9.666130693263421669e-01,8.557602126143377674e-01,2.469643029605184670e-01,1.000000000000000000e+00,8.890906230526001153e-01,1.000000000000000000e+00,9.464543659067050640e-01,7.829836003397516730e-01,3.913436519978830685e-01,8.587348621185914022e-01,9.090217483855390634e-01,7.138585063350177951e-01,9.567434526281684004e-01,4.331389065485132805e-01
1.000000000000000000e+00,2.698127341853101546e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.314682586456249025e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.695521541963713075e-01,1.000000000000000000e+00,1.107133122862217434e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.620164556401533673e-01,9.754605453901419310e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.867301876027175123e-01,9.738835184169759573e-01,9.366750848750298175e-01,9.715755744255373250e-01,9.665344074369265348e-01,9.294792011277157595e-01,8.890906230526001153e-01,9.695521541963713075e-01,0.000000000000000000e+00,9.352805443412436359e-01,1.101824382094041210e+00,1.000000000000000000e+00,8.065468731884277709e-01,8.528569066712667901e-01,6.819593729109583169e-01,9.338190182530821115e-01,9.355382882887260942e-01,9.560740868076463839e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.035549697378764122e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.897846180569608299e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.352805443412436359e-01,1.110223024625156540e-16,1.042328499410962062e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.603268711307799688e-01,9.583576627645685742e-01,9.214723672310651814e-01,9.609103261033873356e-01,1.000000000000000000e+00
9.851252442355322714e-01,1.087407083688179066e+00,1.051961998105327201e+00,1.025177372171879764e+00,1.025233545333259055e+00,9.946468957115991438e-01,9.464543659067050640e-01,1.107133122862217434e+00,1.101824382094041210e+00,1.042328499410962062e+00,0.000000000000000000e+00,9.941621078280123980e-01,1.045515221131180450e+00,1.007714107646225710e+00,1.119726931629145161e+00,1.128817837479951347e+00,1.085586315725075135e+00,9.934586638392418623e-01
5.864273141090659003e-02,1.000000000000000000e+00,9.060028184969433074e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.590045743920033727e-01,7.829836003397516730e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.941621078280123980e-01,1.110223024625156540e-16,7.309406893456862342e-01,8.960842440630962802e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.776349244013058382e-01,4.239878487568715659e-01
2.723954920612624564e-01,1.000000000000000000e+00,5.962750662420257530e-01,8.952974930647391583e-01,9.417119789364440940e-01,9.675613052546594428e-01,3.913436519978830685e-01,1.000000000000000000e+00,8.065468731884277709e-01,1.000000000000000000e+00,1.045515221131180450e+00,7.309406893456862342e-01,1.110223024625156540e-16,8.509469546603928292e-01,8.759806379936014853e-01,9.842651272674111107e-01,9.916537081263661069e-01,8.743030171306416243e-01
8.608837001568604430e-01,9.345288683854189316e-01,9.637962755832464312e-01,9.772696568083949487e-01,9.396639779251928504e-01,9.721579881005315560e-01,8.587348621185914022e-01,9.620164556401533673e-01,8.528569066712667901e-01,9.603268711307799688e-01,1.007714107646225710e+00,8.960842440630962802e-01,8.509469546603928292e-01,1.110223024625156540e-16,8.917689941318940328e-01,1.000000000000000000e+00,9.724450338601610122e-01,9.677233806865469523e-01
