# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.201732461369417360e-01,7.628338057856408616e-01,9.315348843428540304e-01,8.117748080714105585e-01,8.864214914963582936e-01,8.902582548993828171e-01,8.890660472382045931e-01,9.827539817703446756e-01,9.658177280913221585e-01,1.000000000000000000e+00,6.649798669665517581e-01,3.487734545786106422e-01,8.628360124160370237e-01,9.932560156948055941e-01,5.301179490137107875e-01,8.916526684307138906e-01,6.252435924067258899e-01
9.201732461369417360e-01,0.000000000000000000e+00,9.125011386677737146e-01,1.000000000000000000e+00,5.283881450481953124e-01,9.047674506468047495e-01,7.434874033045770769e-01,7.208965326910083959e-01,8.168300041391889366e-01,9.477837848745728211e-01,1.000000000000000000e+00,9.338271790689818275e-01,9.520729924151193346e-01,9.134243895847075079e-01,9.436974437416335570e-01,8.010618287698743067e-01,1.000000000000000000e+00,8.349294912055800211e-01
7.628338057856408616e-01,9.125011386677737146e-01,4.936511047348917103e-01,9.534576754773029794e-01,8.567335368152528829e-01,8.862680760874752650e-01,9.437801944445313174e-01,7.890164364124694352e-01,9.721183229452887709e-01,1.014400115265218449e+00,9.842813855745546903e-01,8.748056188002493183e-01,7.601979651010297712e-01,8.894809147100971591e-01,9.064558577111798687e-01,7.655513829865673303e-01,9.620495607762367118e-01,8.205670014857651129e-01
9.315348843428540304e-01,1.000000000000000000e+00,9.534576754773029794e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.793738249681775088e-01,9.368199679260678092e-01,9.739837883293274157e-01,9.709380980962381003e-01,9.299384505693154557e-01,1.000000000000000000e+00,9.582183453746420110e-01,8.927863585973916383e-01,9.205926955386917188e-01,8.337523889734832494e-01,9.574380509101660941e-01,9.897498168892998605e-01,9.713115579515041453e-01
8.117748080714105585e-01,5.283881450481953124e-01,8.567335368152528829e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.161211501652662959e-01,9.425302590456094975e-01,5.677693429720169771e-01,9.870298219114436167e-01,9.600484301642180363e-01,1.000000000000000000e+00,8.688117816114631076e-01,8.209993305320428814e-01,8.980145576504996452e-01,1.000000000000000000e+00,8.464286803718331642e-01,9.802791405277813119e-01,8.542931833033378108e-01
8.864214914963582936e-01,9.047674506468047495e-01,8.862680760874752650e-01,8.793738249681775088e-01,9.161211501652662959e-01,0.000000000000000000e+00,9.192546837182620223e-01,9.259213642687311729e-01,9.217744243637923107e-01,9.836260351404563229e-01,9.916035135560535840e-01,8.164617524510663360e-01,8.494229649214741773e-01,7.618977555140276081e-01,9.532824602213318954e-01,8.918898404441633065e-01,9.455894806124899299e-01,8.487789667897734924e-01
8.902582548993828171e-01,7.434874033045770769e-01,9.437801944445313174e-01,9.368199679260678092e-01,9.425302590456094975e-01,9.192546837182620223e-01,0.000000000000000000e+00,9.548032213262280798e-01,9.768922487092193130e-01,1.005074628079890786e+00,8.200887326204134853e-01,9.188079140555756030e-01,8.556618831041880036e-01,9.278603105993794564e-01,9.795492519414861210e-01,9.063777112698095939e-01,9.198201008623468899e-01,8.838495469475544652e-01
8.890660472382045931e-01,7.208965326910083959e-01,7.890164364124694352e-01,9.739837883293274157e-01,5.677693429720169771e-01,9.259213642687311729e-01,9.548032213262280798e-01,5.000000000000000000e-01,7.954558478479725192e-01,9.791137168404416835e-01,9.663328430919706502e-01,9.149452060577213386e-01,9.422788496427869642e-01,8.885364220230443921e-01,9.584825021117038268e-01,9.008601448746152984e-01,9.912247514468448539e-01,9.048823296255662507e-01
9.827539817703446756e-01,8.168300041391889366e-01,9.721183229452887709e-01,9.709380980962381003e-01,9.870298219114436167e-01,9.217744243637923107e-01,9.768922487092193130e-01,7.954558478479725192e-01,0.000000000000000000e+00,9.990797166292262332e-01,9.494345476375540827e-01,9.550229094194943036e-01,9.382924778111783048e-01,7.640921545890639877e-01,8.002310580765646941e-01,9.780784411585845550e-01,1.000000000000000000e+00,8.610552472833441495e-01
9.658177280913221585e-01,9.477837848745728211e-01,1.014400115265218449e+00,9.299384505693154557e-01,9.600484301642180363e-01,9.836260351404563229e-01,1.005074628079890786e+00,9.791137168404416835e-01,9.990797166292262332e-01,5.161499219319343190e-01,9.386609088142859880e-01,9.962799421485913909e-01,9.285438555078466827e-01,9.669562405225117230e-01,1.089347113711351289e+00,9.847344493643039876e-01,9.931834051873787983e-01,9.966994824019606014e-01
