# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,6.739370082562716746e-01,7.902296035354035020e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.531183088635455380e-01,1.124139396659408208e-01,7.633912901917658811e-01,1.000000000000000000e+00,8.204899586801056577e-01,1.000000000000000000e+00,9.186383339080450572e-02,9.527642813559009660e-01,7.994606254584407656e-01,7.773621346180363822e-01,1.196121336930072721e-01,1.000000000000000000e+00,1.653201389281919731e-01
6.739370082562716746e-01,0.000000000000000000e+00,8.857204140482428656e-01,9.981983733834876027e-01,5.398787509707057009e-01,1.000000000000000000e+00,6.316521057138433370e-01,2.243736448808418826e-01,1.000000000000000000e+00,8.335762327037348207e-01,1.000000000000000000e+00,6.836068772392824844e-01,9.009993504914158846e-01,9.953747055387973663e-01,6.723657848066789677e-01,5.280752397992034552e-01,1.000000000000000000e+00,7.315751928110878488e-01
7.902296035354035020e-01,8.857204140482428656e-01,0.000000000000000000e+00,6.735972570644919166e-01,7.945346052044075513e-01,7.346220094384106059e-01,7.825293692130264045e-01,8.502339891871171229e-01,9.648038423780376238e-01,8.054286234397662891e-01,6.964657671971272723e-01,8.533018477619591646e-01,7.129267827878458252e-01,6.241031527369749199e-01,8.783161391410514440e-01,8.039938465037833604e-01,9.042475028763131695e-01,7.842471589487890471e-01
1.000000000000000000e+00,9.981983733834876027e-01,6.735972570644919166e-01,0.000000000000000000e+00,9.745529278088941316e-01,7.848654337829421568e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.867513772984791709e-01,9.258006983870914475e-01,3.745793224715731062e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.941275662137569080e-01,6.111736319034184461e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.398787509707057009e-01,7.945346052044075513e-01,9.745529278088941316e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.851554743551582671e-01,5.210764574512387615e-01,1.000000000000000000e+00,7.122032045337208794e-01,9.694513578230166129e-01,1.000000000000000000e+00,8.234562083755918582e-01,9.457794521207583127e-01,6.743604033241246132e-01,9.678733824003531439e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.531183088635455380e-01,1.000000000000000000e+00,7.346220094384106059e-01,7.848654337829421568e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.881208729127091139e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.916367382180704126e-01,8.003104088851055176e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.043556384735344178e-01,1.000000000000000000e+00,9.081771646330603076e-01,9.607228165350464311e-01,1.000000000000000000e+00
1.124139396659408208e-01,6.316521057138433370e-01,7.825293692130264045e-01,1.000000000000000000e+00,9.851554743551582671e-01,9.881208729127091139e-01,0.000000000000000000e+00,6.564416034654390053e-01,1.000000000000000000e+00,6.522613815554004768e-01,1.000000000000000000e+00,2.661913327146425701e-01,9.320289523326720227e-01,9.289677828263901427e-01,8.205474551540417050e-01,1.687753277776707916e-01,9.940380916918349907e-01,2.391303506732400663e-01
7.633912901917658811e-01,2.243736448808418826e-01,8.502339891871171229e-01,1.000000000000000000e+00,5.210764574512387615e-01,1.000000000000000000e+00,6.564416034654390053e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.364651328406182973e-01,1.000000000000000000e+00,7.142600471868728595e-01,9.316918738904624853e-01,9.366719886652261629e-01,6.690890671360604225e-01,6.378467432369712142e-01,1.000000000000000000e+00,7.901597062129223081e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.648038423780376238e-01,9.867513772984791709e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.447832347884481896e-01,8.195637460466981272e-01,9.710751069303441563e-01,1.000000000000000000e+00,7.678845095777577789e-01,1.000000000000000000e+00
8.204899586801056577e-01,8.335762327037348207e-01,8.054286234397662891e-01,9.258006983870914475e-01,7.122032045337208794e-01,9.916367382180704126e-01,6.522613815554004768e-01,8.364651328406182973e-01,1.000000000000000000e+00,4.564286656592741465e-01,8.957317885509767930e-01,8.195831217994031803e-01,8.234822702327697641e-01,8.469253237676392931e-01,7.909527969967518057e-01,8.301468069152445617e-01,9.600636292795556859e-01,7.497047825282308064e-01
