# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.538366804944011790e-01,8.838382553953377796e-01,1.000000000000000000e+00,9.355171615611288516e-01,1.201762151864953276e+00,2.869502510408991069e-01,9.563713706606972176e-01,1.117833714645979581e+00,9.102008764210857139e-01,nan,9.057932168193787437e-01,2.320232672931655804e-01,8.571606273616525495e-01,9.594631717134645132e-01,2.208442572458841902e-01,9.271417443447654838e-01,9.181984251063866065e-01
9.538366804944011790e-01,1.110223024625156540e-16,8.753974114383136218e-01,9.398603546326268487e-01,9.936161034394384028e-01,1.200327162517159874e+00,9.471490697366634626e-01,1.748014912219000294e-01,1.000034478645614122e+00,8.402826395438507401e-01,nan,8.828487914713679663e-01,9.364817038008295125e-01,9.533322249871454268e-01,1.000000000000000000e+00,9.483629474213788324e-01,9.711408985268711325e-01,9.234356527641822687e-01
8.838382553953377796e-01,8.753974114383136218e-01,0.000000000000000000e+00,9.755086032150745989e-01,9.262603894771933577e-01,1.178892927467810825e+00,8.896953891781309576e-01,9.340016274332502144e-01,1.060467340499549715e+00,8.703181232075989371e-01,nan,9.768518169895108461e-01,9.245546888563840326e-01,9.154203650058939656e-01,1.000000000000000000e+00,8.040159826006314514e-01,9.664977433599162282e-01,9.280597761178077665e-01
1.000000000000000000e+00,9.398603546326268487e-01,9.755086032150745989e-01,1.118696616054727921e-01,1.000000000000000000e+00,1.252627919197685236e+00,9.895292221724880655e-01,9.487063749698090298e-01,1.188182421568269476e+00,9.289151821301346867e-01,nan,9.645507925183220976e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.716874225513226104e-01,9.629350844265054388e-01
9.355171615611288516e-01,9.936161034394384028e-01,9.262603894771933577e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.303613441085975211e-01,1.000000000000000000e+00,9.341835551500032864e-01,1.065356472669568788e+00,9.218493638924034617e-01,nan,7.774541672945023407e-01,1.000000000000000000e+00,7.863914092302031200e-01,1.000000000000000000e+00,9.764695120641455617e-01,1.000000000000000000e+00,9.808774280136371981e-01
1.201762151864953276e+00,1.200327162517159874e+00,1.178892927467810825e+00,1.252627919197685236e+00,8.303613441085975211e-01,3.330669073875469621e-16,1.114322032501318782e+00,1.220908060682364127e+00,1.196189645257183409e+00,1.184162671841222592e+00,nan,9.390227924878490340e-01,1.188415873686760937e+00,1.129302790736841589e+00,6.847340616713200045e-01,1.213968912666291144e+00,1.191142297589096621e+00,1.155396827446238506e+00
2.869502510408991069e-01,9.471490697366634626e-01,8.896953891781309576e-01,9.895292221724880655e-01,1.000000000000000000e+00,1.114322032501318782e+00,1.110223024625156540e-16,9.457082550117845710e-01,1.116947050622899562e+00,9.778977347032014045e-01,nan,9.148132979346731419e-01,3.825692577359981472e-01,7.495266800520026251e-01,1.000000000000000000e+00,3.519366258989665708e-01,9.464019681209218104e-01,8.870255104201103524e-01
9.563713706606972176e-01,1.748014912219000294e-01,9.340016274332502144e-01,9.487063749698090298e-01,9.341835551500032864e-01,1.220908060682364127e+00,9.457082550117845710e-01,0.000000000000000000e+00,9.965419013641998447e-01,9.320752117924268054e-01,nan,8.902026471692219278e-01,9.541661639118387273e-01,9.496201497843538286e-01,1.000000000000000000e+00,9.512678288590371567e-01,7.955471998768102182e-01,9.233316166567824279e-01
1.117833714645979581e+00,1.000034478645614122e+00,1.060467340499549715e+00,1.188182421568269476e+00,1.065356472669568788e+00,1.196189645257183409e+00,1.116947050622899562e+00,9.965419013641998447e-01,1.110223024625156540e-16,1.065423403761119880e+00,nan,9.788638881827977922e-01,8.751267475867049450e-01,9.505094486259687558e-01,1.152709391978018916e+00,1.152475747194470213e+00,1.197409568568542193e+00,1.048517962126886527e+00
9.102008764210857139e-01,8.402826395438507401e-01,8.703181232075989371e-01,9.289151821301346867e-01,9.218493638924034617e-01,1.184162671841222592e+00,9.778977347032014045e-01,9.320752117924268054e-01,1.065423403761119880e+00,1.110223024625156540e-16,nan,8.911858245795890587e-01,8.905486816969303554e-01,9.671684159455076202e-01,9.785887051198727260e-01,8.327409556310791938e-01,8.787498225968836119e-01,9.640331066269833826e-01
