# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.055726600743143839e-01,8.217748577394340392e-01,8.568248426662663508e-01,8.560121415100515607e-01,8.528272691980331999e-01,2.394396281921408187e-01,8.378536091019277432e-01,8.559362368060097204e-01,1.000000000000000000e+00,9.408740881737674977e-01,9.431375493619083006e-01,1.896715271846051154e-01,8.217625232134149194e-01,8.057243312710824501e-01,-5.636030258969704221e-02,8.531427152868200636e-01,9.764717289982959292e-01
8.055726600743143839e-01,0.000000000000000000e+00,9.836855472197260086e-01,8.043403169378700035e-01,7.844782221410409040e-01,9.182353470969402132e-01,8.418359216098521003e-01,8.463019970569363171e-01,9.690716033166220100e-01,8.276326754774010475e-01,9.048105999857056769e-01,7.794556219508872452e-01,8.104537047196276323e-01,8.079607828847319428e-01,9.826987116367830177e-01,8.093671536152058366e-01,9.097637234528002104e-01,9.624450946659858230e-01
8.217748577394340392e-01,9.836855472197260086e-01,0.000000000000000000e+00,8.073948339430276899e-01,9.245099780691458102e-01,1.000000000000000000e+00,8.367462654254119725e-01,7.519155836194024722e-01,1.000000000000000000e+00,9.595149239536798769e-01,1.000000000000000000e+00,9.564909567227961595e-01,8.472584754784913130e-01,9.501694616345172095e-01,9.350101870534301973e-01,8.015592424579862652e-01,1.000000000000000000e+00,9.462102993689718300e-01
8.568248426662663508e-01,8.043403169378700035e-01,8.073948339430276899e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.663205833594420646e-01,8.195917523355636947e-01,8.392409461110378333e-01,9.615411422128885555e-01,4.063556070768155060e-01,9.996329318904476624e-01,8.827017523444489200e-01,8.277382349715391996e-01,9.435569105691690162e-01,8.471326898208335621e-01,8.442938634948304877e-01,8.187974202971810556e-01,9.743951694358616855e-01
8.560121415100515607e-01,7.844782221410409040e-01,9.245099780691458102e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.043051206012976406e-01,8.820919067895708343e-01,8.732911299394960913e-01,8.019406616864070969e-01,9.761264206873480065e-01,9.249800759680346651e-01,7.705392962619108665e-01,8.725289730522137743e-01,8.931499487404876980e-01,9.979099212381664641e-01,8.698716568400870486e-01,9.161211808668017209e-01,8.685775609639192485e-01
8.528272691980331999e-01,9.182353470969402132e-01,1.000000000000000000e+00,8.663205833594420646e-01,9.043051206012976406e-01,0.000000000000000000e+00,5.758758544668358681e-01,9.800112050564915300e-01,5.213838967254257328e-01,9.976060063246293685e-01,1.000000000000000000e+00,9.104967266058676678e-01,8.348593293968874507e-01,9.670936561913271445e-01,3.513462221221581583e-01,8.550295916859796952e-01,6.568835038945767257e-01,9.401122873796889934e-01
2.394396281921408187e-01,8.418359216098521003e-01,8.367462654254119725e-01,8.195917523355636947e-01,8.820919067895708343e-01,5.758758544668358681e-01,1.110223024625156540e-16,9.234212124263063703e-01,8.724198810705071638e-01,9.621279360926369151e-01,9.715561034208582969e-01,9.521910930736938727e-01,2.434874381883319616e-01,8.478028090094839042e-01,8.620763294115459940e-01,-2.286538151145944830e-02,8.188132999920868516e-01,9.835932161745989388e-01
8.378536091019277432e-01,8.463019970569363171e-01,7.519155836194024722e-01,8.392409461110378333e-01,8.732911299394960913e-01,9.800112050564915300e-01,9.234212124263063703e-01,4.999999999999999445e-01,9.789648537998016931e-01,6.175747844374394058e-01,9.443625457761198883e-01,9.169072750342376343e-01,8.973842062690562393e-01,9.992802549886594665e-01,8.727926711504728763e-01,9.362141221679973757e-01,9.905810993613064497e-01,9.187688895756609408e-01
8.559362368060097204e-01,9.690716033166220100e-01,1.000000000000000000e+00,9.615411422128885555e-01,8.019406616864070969e-01,5.213838967254257328e-01,8.724198810705071638e-01,9.789648537998016931e-01,0.000000000000000000e+00,9.400020582654736723e-01,1.000000000000000000e+00,9.111495382047056779e-01,8.554818853194843253e-01,1.000000000000000000e+00,5.666732500128619510e-01,8.581132599245515635e-01,8.559085728737345633e-01,9.394345179582229699e-01
1.000000000000000000e+00,8.276326754774010475e-01,9.595149239536798769e-01,4.063556070768155060e-01,9.761264206873480065e-01,9.976060063246293685e-01,9.621279360926369151e-01,6.175747844374394058e-01,9.400020582654736723e-01,1.110223024625156540e-16,4.078138179727228696e-01,9.302294256152394691e-01,9.744074144367433910e-01,9.584907210858772952e-01,9.686533118018011423e-01,1.000000000000000000e+00,9.911520527590065299e-01,9.598738236486031861e-01
9.408740881737674977e-01,9.048105999857056769e-01,1.000000000000000000e+00,9.996329318904476624e-01,9.249800759680346651e-01,1.000000000000000000e+00,9.715561034208582969e-01,9.443625457761198883e-01,1.000000000000000000e+00,4.078138179727228696e-01,0.000000000000000000e+00,9.112452555710186530e-01,1.000000000000000000e+00,9.050798915629092445e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.743886313639431584e-01
9.431375493619083006e-01,7.794556219508872452e-01,9.564909567227961595e-01,8.827017523444489200e-01,7.705392962619108665e-01,9.104967266058676678e-01,9.521910930736938727e-01,9.169072750342377454e-01,9.111495382047056779e-01,9.302294256152394691e-01,9.112452555710186530e-01,5.000000000000000000e-01,9.609235990014376450e-01,8.381087006790656213e-01,9.457813921040785221e-01,9.457912623226137905e-01,9.453302335612614460e-01,9.670071704057723316e-01
1.896715271846051154e-01,8.104537047196276323e-01,8.472584754784913130e-01,8.277382349715391996e-01,8.725289730522137743e-01,8.348593293968874507e-01,2.434874381883319616e-01,8.973842062690562393e-01,8.554818853194843253e-01,9.744074144367433910e-01,1.000000000000000000e+00,9.609235990014376450e-01,3.330669073875469621e-16,8.694215373802125502e-01,8.242122415586403683e-01,3.437784393827408858e-01,8.077754853038210392e-01,9.494513019419416056e-01
8.217625232134149194e-01,8.079607828847319428e-01,9.501694616345172095e-01,9.435569105691690162e-01,8.931499487404876980e-01,9.670936561913271445e-01,8.478028090094839042e-01,9.992802549886594665e-01,1.000000000000000000e+00,9.584907210858772952e-01,9.050798915629092445e-01,8.381087006790656213e-01,8.694215373802125502e-01,0.000000000000000000e+00,9.998870340706726978e-01,8.388862238718793884e-01,1.000000000000000000e+00,9.683358791759903994e-01
8.057243312710824501e-01,9.826987116367830177e-01,9.350101870534301973e-01,8.471326898208335621e-01,9.979099212381664641e-01,3.513462221221581583e-01,8.620763294115459940e-01,8.727926711504728763e-01,5.666732500128619510e-01,9.686533118018011423e-01,1.000000000000000000e+00,9.457813921040785221e-01,8.242122415586403683e-01,9.998870340706726978e-01,0.000000000000000000e+00,5.671548897471245798e-01,6.404654607723849757e-01,9.622961625724819612e-01
-5.636030258969704221e-02,8.093671536152058366e-01,8.015592424579862652e-01,8.442938634948304877e-01,8.698716568400870486e-01,8.550295916859796952e-01,-2.286538151145944830e-02,9.362141221679973757e-01,8.581132599245515635e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.457912623226137905e-01,3.437784393827408858e-01,8.388862238718793884e-01,5.671548897471245798e-01,1.110223024625156540e-16,8.334385497918969099e-01,9.875312853279956116e-01
8.531427152868200636e-01,9.097637234528002104e-01,1.000000000000000000e+00,8.187974202971810556e-01,9.161211808668017209e-01,6.568835038945767257e-01,8.188132999920868516e-01,9.905810993613064497e-01,8.559085728737345633e-01,9.911520527590065299e-01,1.000000000000000000e+00,9.453302335612614460e-01,8.077754853038210392e-01,1.000000000000000000e+00,6.404654607723849757e-01,8.334385497918969099e-01,0.000000000000000000e+00,9.467436350654000465e-01
