# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.691338606661312749e-01,7.415935116690566264e-01,8.878876031029321325e-01,8.185646341587740071e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.663798002821662347e-01,9.090457940235002754e-01,9.631424051595944835e-01,nan,1.000000000000000000e+00,9.751784219680328381e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.598694093925859150e-01
9.691338606661312749e-01,4.999999999999999445e-01,9.835229637097486766e-01,9.588350715293603166e-01,1.000000000000000000e+00,9.876957706555902217e-01,9.577774453305178959e-01,9.826622329587756388e-01,1.000000000000000000e+00,9.622013241299791630e-01,nan,9.717301999382126354e-01,9.335390287148865873e-01,9.628656064015228555e-01,9.963896707608517200e-01,9.464793241647462274e-01,9.924715744773870973e-01,9.591223294402917432e-01
7.415935116690566264e-01,9.835229637097486766e-01,0.000000000000000000e+00,7.942763369636562931e-01,6.336278826565776567e-01,1.000000000000000000e+00,7.742803998171936541e-01,7.628452418122786405e-01,1.000000000000000000e+00,9.366213316077649509e-01,nan,1.000000000000000000e+00,8.693902311667148775e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.056079673110406514e-01,9.969949650154470433e-01,8.282398528260251913e-01
8.878876031029321325e-01,9.588350715293603166e-01,7.942763369636562931e-01,0.000000000000000000e+00,5.482773503339908316e-01,9.784035009513817327e-01,9.860804556800770726e-01,9.893880905205076903e-01,9.198121521648723320e-01,8.496143982514154924e-01,nan,8.631036799952019889e-01,8.995655526669508184e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.978712811449467202e-01,9.355152708461365041e-01,6.956412003342868910e-01
8.185646341587740071e-01,1.000000000000000000e+00,6.336278826565776567e-01,5.482773503339908316e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.023272887401917464e-01,6.326259659267146063e-01,1.000000000000000000e+00,8.598991030462125318e-01,nan,1.000000000000000000e+00,8.628247337969278119e-01,8.894670749600677162e-01,1.000000000000000000e+00,5.445850672652322588e-01,9.994044532530166336e-01,7.043151289446190066e-01
1.000000000000000000e+00,9.876957706555902217e-01,1.000000000000000000e+00,9.784035009513817327e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.700181700356740322e-01,8.797519595719021090e-01,3.982563030017820527e-01,9.503213456842678486e-01,nan,1.000000000000000000e+00,9.750822377108206984e-01,9.629533105023526662e-01,9.892566116225709472e-01,8.575639423022740626e-01,4.427857844655768149e-01,9.811650212614815292e-01
1.000000000000000000e+00,9.577774453305178959e-01,7.742803998171936541e-01,9.860804556800770726e-01,9.023272887401917464e-01,9.700181700356740322e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.874647027136465249e-01,9.118372647947988741e-01,nan,7.923302006387452634e-01,1.000000000000000000e+00,9.441286128510348874e-01,9.116370664579666050e-01,9.379376321704536723e-01,8.385372272785676095e-01,9.567938676559605282e-01
7.663798002821662347e-01,9.826622329587756388e-01,7.628452418122786405e-01,9.893880905205076903e-01,6.326259659267146063e-01,8.797519595719021090e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.962942863132798754e-01,9.601485799670992360e-01,nan,9.739023983294293751e-01,8.473456999127475520e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.227870207994913754e-01,9.847933672010866779e-01,8.885183140659180800e-01
9.090457940235002754e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.198121521648723320e-01,1.000000000000000000e+00,3.982563030017820527e-01,8.874647027136465249e-01,9.962942863132798754e-01,0.000000000000000000e+00,9.652385880424552145e-01,nan,9.604199274352139826e-01,8.843359495226755795e-01,8.623949506585661950e-01,9.453006137930050068e-01,8.815354735724877377e-01,3.836412745786063061e-01,9.133677035002133460e-01
9.631424051595944835e-01,9.622013241299791630e-01,9.366213316077649509e-01,8.496143982514154924e-01,8.598991030462125318e-01,9.503213456842678486e-01,9.118372647947988741e-01,9.601485799670992360e-01,9.652385880424552145e-01,4.957098119513644874e-01,nan,1.000000000000000000e+00,9.299946119634638908e-01,9.626159990852298787e-01,9.889939399298037781e-01,8.886071305621758842e-01,9.447519163786779473e-01,7.481782505004475059e-01
