# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,8.575265623053690556e-01,8.999669411646088468e-01,8.394004697803435500e-01,8.977722494151092469e-01,9.226109753926068358e-01,9.805008175235210288e-01,9.316109368655427492e-01,9.440979979048924609e-01,9.112148528697333605e-01,9.115424891141988839e-01,9.820430894870544325e-01,9.810680188732012752e-01,9.414053566403733919e-01,9.577662426200124202e-01,5.545207945624835988e-01,9.700564313827622076e-01,8.325646081687394506e-01
8.575265623053690556e-01,0.000000000000000000e+00,8.469407163537429062e-01,7.974988525879155299e-01,8.666303915257310697e-01,9.260595742848991563e-01,8.572319784877890925e-01,9.022215458911319041e-01,9.199880458583296061e-01,9.597575476478951151e-01,9.896301975588857047e-01,7.972047664795827160e-01,8.259163201032596602e-01,9.560477042075720133e-01,1.000000000000000000e+00,8.433201354324597609e-01,1.000000000000000000e+00,8.565085055471349795e-01
8.999669411646088468e-01,8.469407163537429062e-01,-2.220446049250313081e-16,9.515880292648861705e-01,9.746926428621057736e-01,9.878879847035270112e-01,5.953963679500628992e-01,9.700338176268080703e-01,8.857121734425303927e-01,9.621070061088748959e-01,8.602532256258075272e-01,1.000000000000000000e+00,7.496162271676498623e-01,7.671263634809826204e-01,9.456381872511039344e-01,8.200614017958686164e-01,7.672432202869878815e-01,7.079738070256413884e-01
8.394004697803435500e-01,7.974988525879155299e-01,9.515880292648861705e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.214238421446350191e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.754070793796383310e-01,9.615843375208328325e-01,9.592213799746773795e-01,9.511325438715452218e-01,9.052246812709405788e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.717783588089093039e-01,9.601808278577192990e-01,8.421083107648321686e-01
8.977722494151092469e-01,8.666303915257310697e-01,9.746926428621057736e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.748174758184413591e-01,1.000000000000000000e+00,2.417597905580803896e-01,9.978799111983573944e-01,9.832766020623077141e-01,9.104520534528380837e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.933192055346414806e-01,1.000000000000000000e+00,8.711748328834595378e-01,9.726844117642069465e-01,7.123401888714282482e-01
9.226109753926068358e-01,9.260595742848991563e-01,9.878879847035270112e-01,9.214238421446350191e-01,9.748174758184413591e-01,3.330669073875469621e-16,9.792667296066444038e-01,9.987860534783860045e-01,8.045263470384695914e-01,9.788275412788186580e-01,8.690499677365923770e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.876146208200877963e-01,8.768261394174268197e-01,1.000000000000000000e+00,9.146266548212902414e-01,9.524981590236659690e-01
9.805008175235210288e-01,8.572319784877890925e-01,5.953963679500628992e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.792667296066444038e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.659952067051246205e-01,9.799527140296118155e-01,8.983855299283892704e-01,8.497458664054602373e-01,3.269503945458879235e-01,8.315736694403477181e-01,1.000000000000000000e+00,9.671954393761954538e-01,9.293433112577383914e-01,6.373707062210010044e-01
9.316109368655427492e-01,9.022215458911319041e-01,9.700338176268080703e-01,1.000000000000000000e+00,2.417597905580803896e-01,9.987860534783860045e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.636765552876649377e-01,1.000000000000000000e+00,9.098204784331060946e-01,1.000000000000000000e+00,9.856429563781481384e-01,9.892341396082959815e-01,1.000000000000000000e+00,8.763059913411608282e-01,9.961621966615973323e-01,7.635064057310945174e-01
9.440979979048924609e-01,9.199880458583296061e-01,8.857121734425303927e-01,9.754070793796383310e-01,9.978799111983573944e-01,8.045263470384695914e-01,9.659952067051246205e-01,9.636765552876649377e-01,0.000000000000000000e+00,9.903712208322659194e-01,1.000000000000000000e+00,9.799461807630386323e-01,8.926613024619552972e-01,8.165028179533588837e-01,8.137683156064116075e-01,1.000000000000000000e+00,9.917602921618915435e-01,9.638828486239821025e-01
9.112148528697333605e-01,9.597575476478951151e-01,9.621070061088748959e-01,9.615843375208328325e-01,9.832766020623077141e-01,9.788275412788186580e-01,9.799527140296118155e-01,1.000000000000000000e+00,9.903712208322659194e-01,0.000000000000000000e+00,9.858912731014336517e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.614845100299360903e-01,9.960663624636018065e-01,8.693635395143918254e-01,9.908041002195913105e-01,9.415271772127746797e-01
