# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,7.016657627023961119e-01,9.766372827698752701e-01,9.416484565551594965e-01,9.586418910286010897e-01,9.762932428107864435e-01,1.000000000000000000e+00,9.520449254349160340e-01,9.345117835889156233e-01,7.386004507538621588e-01,8.656740319317434151e-01,8.694063894167225470e-01,1.000000000000000000e+00,9.793662589189587875e-01,1.000000000000000000e+00,9.800065770383014074e-01,9.392352194750657191e-01
1.000000000000000000e+00,1.110223024625156540e-16,9.762812885694736043e-01,8.131547000703966965e-01,3.858872370437302912e-01,7.595609395297946431e-01,8.685404077013219037e-01,6.643919385762733221e-01,9.701702243019170169e-01,8.458815080077195514e-01,9.076931125161170621e-01,8.193397836916957999e-01,8.918796463590999979e-01,8.019955720282351264e-01,1.000000000000000000e+00,7.773142652819082787e-01,9.768953751052206202e-01,8.493638730321625419e-01
7.016657627023961119e-01,9.762812885694736043e-01,1.110223024625156540e-16,9.495300512929336634e-01,9.771417952541581187e-01,9.101105357234756665e-01,9.688808866300169242e-01,9.843192480326159455e-01,9.779758467408183886e-01,9.655283393932783120e-01,9.191657323148176850e-01,7.705193875698309602e-01,6.129940184831477179e-01,1.000000000000000000e+00,9.851414409993770605e-01,8.186070754634163782e-01,8.636999533700195908e-01,9.054115798944469828e-01
9.766372827698752701e-01,8.131547000703966965e-01,9.495300512929336634e-01,1.110223024625156540e-16,8.955505628152814479e-01,9.060885970089304076e-01,8.881190861529686398e-01,9.335507877475611727e-01,1.000000000000000000e+00,7.566045685394504616e-01,6.453154992556260350e-01,9.034091100524619389e-01,9.514821909557172885e-01,9.692716359614615973e-01,1.000000000000000000e+00,9.839982600860468498e-01,6.435638342829508307e-01,8.841859753551188916e-01
9.416484565551594965e-01,3.858872370437302912e-01,9.771417952541581187e-01,8.955505628152814479e-01,0.000000000000000000e+00,7.094225311322890359e-01,6.784236420953289048e-01,7.527827457102819197e-01,1.000000000000000000e+00,8.305595548561617303e-01,7.830211761155230210e-01,8.676663343732320399e-01,8.571066822969020116e-01,8.161668904089192100e-01,1.000000000000000000e+00,7.644796676130696245e-01,8.802083338815394065e-01,8.439522786643010033e-01
9.586418910286010897e-01,7.595609395297946431e-01,9.101105357234756665e-01,9.060885970089304076e-01,7.094225311322890359e-01,0.000000000000000000e+00,7.597564378254488826e-01,9.117398407667572924e-01,9.243280320687288221e-01,9.779710317540910580e-01,9.413702047213859947e-01,8.632364283550755246e-01,9.813613190864654001e-01,8.345815906883855551e-01,1.000000000000000000e+00,7.905138448680870678e-01,5.375929163801687061e-01,8.886547183619004642e-01
9.762932428107864435e-01,8.685404077013219037e-01,9.688808866300169242e-01,8.881190861529686398e-01,6.784236420953289048e-01,7.597564378254488826e-01,2.220446049250313081e-16,9.511856419325509515e-01,8.454996706550446106e-01,9.944466823474310546e-01,8.475547063926531788e-01,8.797085149002750182e-01,1.000000000000000000e+00,9.344692791440898372e-01,8.815125635279414951e-01,7.476956463774681039e-01,8.969355108345544725e-01,7.798747781088084530e-01
1.000000000000000000e+00,6.643919385762733221e-01,9.843192480326159455e-01,9.335507877475611727e-01,7.527827457102819197e-01,9.117398407667572924e-01,9.511856419325509515e-01,4.127040440003714727e-01,9.966198458501973612e-01,9.189179425339673024e-01,9.623410362893849435e-01,9.252643751203182276e-01,9.515109057643116319e-01,8.788724466425221760e-01,1.000000000000000000e+00,8.906661517814424833e-01,9.519603446528872581e-01,8.389432772617220202e-01
9.520449254349160340e-01,9.701702243019170169e-01,9.779758467408183886e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.243280320687288221e-01,8.454996706550446106e-01,9.966198458501973612e-01,1.110223024625156540e-16,9.517236179238455218e-01,8.890602884330806033e-01,9.722874038653199769e-01,9.809632140246897780e-01,9.890887156917189671e-01,9.193480898701662518e-01,1.000000000000000000e+00,8.878464636321489190e-01,9.760332101712614339e-01
9.345117835889156233e-01,8.458815080077195514e-01,9.655283393932783120e-01,7.566045685394504616e-01,8.305595548561617303e-01,9.779710317540910580e-01,9.944466823474310546e-01,9.189179425339673024e-01,9.517236179238455218e-01,5.000000000000001110e-01,8.802468972745001174e-01,9.843175020430929845e-01,9.748278186478158691e-01,9.948329352420316463e-01,9.366832383681399365e-01,1.000000000000000000e+00,8.996374207701469672e-01,8.742482387023631230e-01
