# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.958852337928583154e-01,1.195125260374949816e+00,9.883906082469648968e-01,1.000000000000000000e+00,9.858497521389725238e-01,6.122668436291247573e-01,9.771432566103404049e-01,1.000000000000000000e+00,nan,1.000000000000000000e+00,7.748867033686177574e-01,4.321415458388044861e-01,9.988062754733821880e-01,9.984933605751777907e-01,2.794838316460215299e-01,1.000000000000000000e+00,8.257784248298071228e-01
9.958852337928583154e-01,4.927053196783170996e-01,9.864598002233393448e-01,9.697900205317917521e-01,9.065718343472766172e-01,8.843823311054491709e-01,8.824187844199689046e-01,5.800426957037700948e-01,9.395511525580211298e-01,nan,9.398527995945318292e-01,1.069462786866914206e+00,9.057779550498724630e-01,9.807793919530918281e-01,9.973960022329859676e-01,9.581055794868319486e-01,9.276446901578843107e-01,9.778582180209631769e-01
1.195125260374949816e+00,9.864598002233393448e-01,-2.220446049250313081e-16,1.210926452307394374e+00,1.204808407338763043e+00,1.301476467272172366e+00,1.169980637228676290e+00,1.208244811464159296e+00,1.513157649820631834e+00,nan,1.233668226156893422e+00,1.194947900355779025e+00,1.177935490113709349e+00,1.275835902601453409e+00,1.299313559159315457e+00,1.229694649145054441e+00,1.297284765249224758e+00,1.054573936229949993e+00
9.883906082469648968e-01,9.697900205317917521e-01,1.210926452307394374e+00,2.220446049250313081e-16,5.467165441189210107e-01,9.753017208565343266e-01,1.000000000000000000e+00,9.776965408325278828e-01,1.000000000000000000e+00,nan,3.994317160709760506e-01,9.823226751824163383e-01,1.000000000000000000e+00,9.171978624516708978e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.516398621949287984e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.065718343472766172e-01,1.204808407338763043e+00,5.467165441189210107e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.208395478341503626e-01,1.000000000000000000e+00,nan,4.734882016120361969e-01,9.890841119815405591e-01,1.000000000000000000e+00,9.152400468573159698e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.568064996765631713e-01,1.000000000000000000e+00
9.858497521389725238e-01,8.843823311054491709e-01,1.301476467272172366e+00,9.753017208565343266e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.158004689460106373e-01,9.137118213451942417e-01,1.000000000000000000e+00,nan,1.000000000000000000e+00,1.219382665748335759e+00,9.376886438377692867e-01,9.549132908860564761e-01,9.771931536723027500e-01,9.860500443302887552e-01,4.971203034011895117e-01,8.905093843143876420e-01
6.122668436291247573e-01,8.824187844199689046e-01,1.169980637228676290e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.158004689460106373e-01,2.220446049250313081e-16,9.989174854298540351e-01,9.856904916581543663e-01,nan,7.962701190861872780e-01,6.789742065541064520e-01,5.236112450472143465e-01,8.506893985478253262e-01,9.962108529220325970e-01,5.943211388875526691e-01,1.000000000000000000e+00,9.767541794115599529e-01
9.771432566103404049e-01,5.800426957037700948e-01,1.208244811464159296e+00,9.776965408325278828e-01,8.208395478341503626e-01,9.137118213451942417e-01,9.989174854298540351e-01,0.000000000000000000e+00,1.000000000000000000e+00,nan,9.588952972587510004e-01,1.019115780900184509e+00,6.866158265543295114e-01,9.780773067325031489e-01,1.000000000000000000e+00,9.859985005909959188e-01,9.095630717892293493e-01,9.890488686158086518e-01
1.000000000000000000e+00,9.395511525580211298e-01,1.513157649820631834e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.856904916581543663e-01,1.000000000000000000e+00,1.110223024625156540e-16,nan,9.841913789550958969e-01,1.483059701912086803e+00,9.908192749786405296e-01,9.990124056479793291e-01,9.708363939812030274e-01,1.000000000000000000e+00,9.488686347025409029e-01,9.910645748137849598e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
