# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,7.549760647593956042e-01,9.760338936348638139e-01,9.212856562360652868e-01,9.915117488773456111e-01,9.797630378994915956e-01,1.000000000000000000e+00,9.597409895554896986e-01,nan,9.451546137521360524e-01,1.155512448830256611e+00,9.681022865041539749e-01,1.000000000000000000e+00,1.194604708455955233e+00,8.376645720476303403e-01,1.000000000000000000e+00,9.840460835427236042e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.089978703653720959e+00,1.000000000000000000e+00,7.992103040018221360e-01,9.552695669455995020e-01,8.584412577855708992e-01,7.053499211512372913e-01,1.000000000000000000e+00,nan,1.000000000000000000e+00,1.134673779731870003e+00,8.562720690142182622e-01,9.506029528630990377e-01,1.079306349823506261e+00,9.295767966486050415e-01,1.000000000000000000e+00,7.333936135164849102e-01
7.549760647593956042e-01,1.089978703653720959e+00,-2.220446049250313081e-16,1.230300297823395894e+00,9.930610050023593871e-01,1.198262831445582766e+00,1.042213565227117611e+00,1.173533386026488268e+00,1.162618641560043020e+00,nan,1.101872972217458058e+00,1.172503046435406926e+00,1.115880080773840488e+00,1.113318745918401298e+00,1.229225646324994869e+00,1.125856542923286074e+00,1.067052176464320601e+00,1.178060505800473168e+00
9.760338936348638139e-01,1.000000000000000000e+00,1.230300297823395894e+00,1.110223024625156540e-16,1.012807929954883335e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.443178730851520264e-01,nan,9.606936201033076106e-01,1.218537330215721193e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.151515513998200735e+00,9.944602312587835780e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.212856562360652868e-01,7.992103040018221360e-01,9.930610050023593871e-01,1.012807929954883335e+00,4.859883608440617730e-01,1.059520780482334557e+00,1.024206201823029350e+00,7.371632792265722101e-01,1.173843110103361953e+00,nan,9.372620646919334053e-01,1.147766385015004609e+00,1.025435855100916172e+00,1.044449212180755371e+00,1.219144979476861845e+00,1.060841403040121644e+00,1.099658931818221497e+00,9.340658537437263043e-01
9.915117488773456111e-01,9.552695669455995020e-01,1.198262831445582766e+00,1.000000000000000000e+00,1.059520780482334557e+00,1.110223024625156540e-16,1.000000000000000000e+00,8.000637306864486487e-01,8.135158057404404675e-01,nan,9.514430110777797323e-01,1.219496865539355213e+00,1.000000000000000000e+00,9.570837986638464079e-01,9.233094142869137100e-01,9.687315863913288361e-01,3.763852436411634361e-01,1.000000000000000000e+00
9.797630378994915956e-01,8.584412577855708992e-01,1.042213565227117611e+00,1.000000000000000000e+00,1.024206201823029350e+00,1.000000000000000000e+00,2.220446049250313081e-16,8.963502994698533399e-01,1.000000000000000000e+00,nan,8.554617890067962582e-01,1.151491730862625795e+00,2.721733594493795927e-01,1.000000000000000000e+00,1.162476236829160792e+00,7.936256821684317675e-01,1.000000000000000000e+00,5.406289802128818600e-01
1.000000000000000000e+00,7.053499211512372913e-01,1.173533386026488268e+00,1.000000000000000000e+00,7.371632792265722101e-01,8.000637306864486487e-01,8.963502994698533399e-01,0.000000000000000000e+00,9.625619316027757000e-01,nan,8.576446663279684302e-01,1.038701395016845774e+00,8.923402279699784723e-01,9.591537737287201271e-01,1.119478943707753693e+00,9.488137400201025473e-01,8.458892996218724258e-01,9.154093980165619593e-01
9.597409895554896986e-01,1.000000000000000000e+00,1.162618641560043020e+00,9.443178730851520264e-01,1.173843110103361953e+00,8.135158057404404675e-01,1.000000000000000000e+00,9.625619316027757000e-01,0.000000000000000000e+00,nan,1.000000000000000000e+00,1.264792092144465974e+00,8.642269346236080008e-01,8.463210193628291078e-01,9.447558972375971198e-01,9.901264719570286310e-01,9.295811999696412808e-01,9.288749716187550964e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
