# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.068567969222894876e+00,8.445915425000396493e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.542041193278166800e-01,2.235283046495458725e-01,9.682886658342946262e-01,1.000000000000000000e+00,9.682592883237480796e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.682098835176179863e-01,9.856388394835365885e-01,1.000000000000000000e+00,3.140963707794759419e-01,9.938021344445659988e-01,1.000000000000000000e+00
1.068567969222894876e+00,6.677535953075406372e-01,9.604921974096760628e-01,1.061975444602520247e+00,8.695401788209281557e-01,1.042157779848649435e+00,1.074325143018557194e+00,8.619787787852950522e-01,1.066035330555658467e+00,8.342821584373895094e-01,9.302772160688798087e-01,9.359794436723163358e-01,1.037917793906165453e+00,9.363918187084276923e-01,1.037886359078878939e+00,9.486513838669017318e-01,1.067144375258592071e+00,9.962732572555385024e-01
8.445915425000396493e-01,9.604921974096760628e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.183794198657715402e-01,9.469091955546722339e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.400965893080589497e-01,1.000000000000000000e+00,7.818211947786430915e-01,1.000000000000000000e+00,8.467848783224538600e-01
1.000000000000000000e+00,1.061975444602520247e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.887139515417578961e-01,1.000000000000000000e+00,9.517041029474175851e-01,9.632263402856831025e-01,9.594058073760027838e-01,9.576225018079485007e-01,9.184451987719014499e-01,8.521698536559443315e-01,9.591721252724701996e-01,8.204351079259062374e-01,9.474039855353324491e-01,9.441726744166485386e-01,9.302094550569076636e-01
1.000000000000000000e+00,8.695401788209281557e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.233501636701738624e-01,1.000000000000000000e+00,8.124505007594303718e-01,8.607722783965623403e-01,8.584956052149794736e-01,1.000000000000000000e+00,9.130402431317594658e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.873171781589278329e-01,9.432413566655573067e-01
9.542041193278166800e-01,1.042157779848649435e+00,9.183794198657715402e-01,9.887139515417578961e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.653962372684314897e-01,9.653386500761226285e-01,1.000000000000000000e+00,9.217518473598688145e-01,9.583450674702784777e-01,1.000000000000000000e+00,8.231415225856892892e-01,9.712478030495503845e-01,1.000000000000000000e+00,8.949989532063489239e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.235283046495458725e-01,1.074325143018557194e+00,9.469091955546722339e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.653962372684314897e-01,2.220446049250313081e-16,9.646374144907645665e-01,1.000000000000000000e+00,9.855993789027631680e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.473432873873723015e-01,9.872767709290438676e-01,1.000000000000000000e+00,3.568965577653574472e-01,9.728998945296208900e-01,1.000000000000000000e+00
9.682886658342946262e-01,8.619787787852950522e-01,1.000000000000000000e+00,9.517041029474175851e-01,9.233501636701738624e-01,9.653386500761226285e-01,9.646374144907645665e-01,4.850073723782165058e-01,1.000000000000000000e+00,8.029906043453884923e-01,7.825932025652613255e-01,8.454709082377831475e-01,9.740888024614577922e-01,9.987527752061355901e-01,9.183930095295628204e-01,9.662910293646992388e-01,9.790213566687482327e-01,9.617123075120980191e-01
1.000000000000000000e+00,1.066035330555658467e+00,1.000000000000000000e+00,9.632263402856831025e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.282075693191306209e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.701052565089056667e-01,1.000000000000000000e+00,3.888534787175418339e-01,1.000000000000000000e+00
9.682592883237480796e-01,8.342821584373895094e-01,1.000000000000000000e+00,9.594058073760027838e-01,8.124505007594303718e-01,9.217518473598688145e-01,9.855993789027631680e-01,8.029906043453884923e-01,9.282075693191306209e-01,3.330669073875469621e-16,1.000000000000000000e+00,8.890771953851116516e-01,1.000000000000000000e+00,9.543561717699901026e-01,9.988675127135276943e-01,9.811789776521263606e-01,8.856433799532887896e-01,9.209714448594824576e-01
