# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,7.867980020875200431e-01,9.724808378696154776e-01,9.829541691328239628e-01,8.851867265861979028e-01,9.625612343520861813e-01,6.438421722896097155e-01,9.155003696790222634e-01,9.234353206933046954e-01,9.261823658305056162e-01,9.730423512122191587e-01,9.793612311241574053e-01,9.707914528417347366e-01,9.532500776478555204e-01,9.574153743258883020e-01,2.063862611211043641e-01,7.898717969618692658e-01,9.698740237415622856e-01
7.867980020875200431e-01,1.110223024625156540e-16,9.778590407873882784e-01,9.609053389871164974e-01,9.447370526504333954e-01,1.000000000000000000e+00,9.417969173988048892e-01,1.000000000000000000e+00,9.573894733716730165e-01,9.573639951162137285e-01,1.011795643612284357e+00,9.108463263616821681e-01,9.169631838654185296e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.308247786782820832e-01,9.811201822634225689e-01,9.031047064865949103e-01
9.724808378696154776e-01,9.778590407873882784e-01,0.000000000000000000e+00,9.754205342881607788e-01,1.000000000000000000e+00,9.808495021795367030e-01,9.278870961799460249e-01,9.116497624887682782e-01,1.000000000000000000e+00,8.549677469992595924e-01,1.248916094707209767e+00,9.381862478425683216e-01,8.896354215741921756e-01,9.998202037221908256e-01,1.000000000000000000e+00,9.730843792015395621e-01,9.802752818084574660e-01,9.668932184706924282e-01
9.829541691328239628e-01,9.609053389871164974e-01,9.754205342881607788e-01,0.000000000000000000e+00,9.441745481137395757e-01,9.198553148831597470e-01,9.722848458544920414e-01,7.626040390924654355e-01,9.796315545875389219e-01,8.663379583763454184e-01,1.097973592189695147e+00,1.000000000000000000e+00,9.777470207722817053e-01,9.862610737678924044e-01,9.890275638025014526e-01,9.848534810868986300e-01,9.438034350975802456e-01,1.000000000000000000e+00
8.851867265861979028e-01,9.447370526504333954e-01,1.000000000000000000e+00,9.441745481137395757e-01,-2.220446049250313081e-16,9.413671028501451321e-01,1.000000000000000000e+00,9.894976768901114772e-01,1.000000000000000000e+00,9.572645191873169201e-01,1.273826565687098178e+00,9.679148595922824061e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.867580353252447756e-01,9.690028839847143471e-01,1.000000000000000000e+00
9.625612343520861813e-01,1.000000000000000000e+00,9.808495021795367030e-01,9.198553148831597470e-01,9.413671028501451321e-01,0.000000000000000000e+00,9.332601907728771407e-01,7.323039852219114243e-01,9.498383429709053027e-01,9.684632545423236261e-01,1.155154580201920300e+00,1.000000000000000000e+00,8.256318071089239208e-01,8.469816373696141820e-01,9.436964921899624326e-01,9.321888264343318742e-01,9.157076679990201473e-01,1.000000000000000000e+00
6.438421722896097155e-01,9.417969173988048892e-01,9.278870961799460249e-01,9.722848458544920414e-01,1.000000000000000000e+00,9.332601907728771407e-01,0.000000000000000000e+00,9.587219858353253077e-01,9.305722953525550345e-01,9.355893502971368569e-01,1.006728649281421362e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.388223593054344729e-01,1.000000000000000000e+00,6.919138954447709988e-01,9.441541103460153739e-01,1.000000000000000000e+00
9.155003696790222634e-01,1.000000000000000000e+00,9.116497624887682782e-01,7.626040390924654355e-01,9.894976768901114772e-01,7.323039852219114243e-01,9.587219858353253077e-01,1.110223024625156540e-16,9.831962420892325083e-01,8.817060393187196032e-01,1.077738820515880436e+00,8.912240437072591615e-01,7.605911083761504043e-01,9.107213432955911792e-01,8.924205216840053190e-01,9.382049266945235999e-01,8.088610125807986773e-01,9.048419757991685852e-01
9.234353206933046954e-01,9.573894733716730165e-01,1.000000000000000000e+00,9.796315545875389219e-01,1.000000000000000000e+00,9.498383429709053027e-01,9.305722953525550345e-01,9.831962420892325083e-01,2.220446049250313081e-16,9.823319548979329019e-01,1.349512142642330881e+00,9.413301362883197410e-01,9.807976052052920224e-01,9.949158510541826761e-01,9.601408983235835137e-01,9.516494981940581965e-01,6.050771029520218836e-01,9.338363501770116093e-01
9.261823658305056162e-01,9.573639951162137285e-01,8.549677469992595924e-01,8.663379583763454184e-01,9.572645191873169201e-01,9.684632545423236261e-01,9.355893502971368569e-01,8.817060393187196032e-01,9.823319548979329019e-01,6.482892561707704893e-01,1.146763551684133686e+00,9.982309212668550868e-01,9.292885578962112314e-01,9.612809717076519211e-01,9.493464684353553062e-01,9.495925957226862835e-01,9.379019144911344696e-01,9.799845033295405683e-01
9.730423512122191587e-01,1.011795643612284357e+00,1.248916094707209767e+00,1.097973592189695147e+00,1.273826565687098178e+00,1.155154580201920300e+00,1.006728649281421362e+00,1.077738820515880436e+00,1.349512142642330881e+00,1.146763551684133686e+00,3.330669073875469621e-16,1.188208986580653770e+00,1.266897676171702569e+00,1.200102656340500840e+00,1.389830152145288267e+00,9.631590942721002246e-01,1.159592212556421087e+00,1.256081442442254836e+00
