# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.841987138004850699e-01,6.404275245197342814e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.013647160991005824e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.873845835744492483e-01,8.759122016080764794e-01,5.148749018066673955e-01,5.690202456598474345e-01,7.136943249759127861e-01,1.000000000000000000e+00,2.533602220328823318e-01,1.000000000000000000e+00,7.481258918051045814e-01
9.841987138004850699e-01,-2.220446049250313081e-16,9.334742979615435754e-01,1.000000000000000000e+00,9.189665131591335800e-01,9.965611670471760108e-01,8.888042854408817472e-01,1.000000000000000000e+00,9.736097825670487760e-01,9.520972395292814916e-01,9.141624282388192135e-01,9.401653093071099532e-01,9.665401472579155939e-01,9.444643349906793883e-01,9.047497171829057550e-01,9.658048237189802432e-01,9.952185208117390047e-01,9.899157049038418421e-01
6.404275245197342814e-01,9.334742979615435754e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.412639346180596833e-01,4.497968834574026520e-01,9.444970769745455463e-01,9.616271442540962333e-01,6.914618638084062408e-01,8.560382078278575557e-01,1.742829253420403735e-01,7.109269068254272517e-01,5.599298524073244021e-01,1.000000000000000000e+00,1.934958567234323912e-01,1.000000000000000000e+00,9.045400449867992965e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.999516671146566615e-01,9.722818050540490420e-01,9.766995674366771851e-01,9.350655632718825050e-01,1.000000000000000000e+00,7.607326606752540243e-01,8.764932472206735659e-01,9.921862084911765578e-01,9.691584783701772121e-01,9.935506361424475408e-01,1.000000000000000000e+00,9.290569682908883520e-01,9.855829018929963548e-01,9.768063467644483300e-01
1.000000000000000000e+00,9.189665131591335800e-01,1.000000000000000000e+00,9.999516671146566615e-01,0.000000000000000000e+00,9.633201065342910097e-01,1.000000000000000000e+00,8.120565380484097151e-01,9.418572013100534601e-01,9.081416921205383019e-01,9.931870408564636987e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.100191027846714631e-01,7.660579447137360054e-01,9.796632461032155348e-01,9.925956980643917404e-01
1.000000000000000000e+00,9.965611670471760108e-01,9.412639346180596833e-01,9.722818050540490420e-01,9.633201065342910097e-01,0.000000000000000000e+00,9.682808413672867598e-01,9.463275959300492257e-01,8.959936345556147597e-01,9.650284322150756156e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.455816882800681666e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.433863486684403998e-01,8.988849982143489736e-01
6.013647160991005824e-01,8.888042854408817472e-01,4.497968834574026520e-01,9.766995674366771851e-01,1.000000000000000000e+00,9.682808413672867598e-01,0.000000000000000000e+00,9.676538886482173307e-01,9.654001447030647887e-01,9.349429815045289249e-01,7.796792864690957892e-01,6.241245868142020203e-01,3.554802621303888577e-01,1.828531802305641829e-01,1.000000000000000000e+00,1.018964077985321515e-01,9.783852299881736769e-01,8.572936323501088030e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.444970769745455463e-01,9.350655632718825050e-01,8.120565380484097151e-01,9.463275959300492257e-01,9.676538886482173307e-01,4.999999999999999445e-01,9.578487815467477962e-01,9.221716871559137996e-01,1.000000000000000000e+00,8.939680113397153738e-01,9.363457578871943188e-01,1.000000000000000000e+00,9.581081558778301588e-01,9.722780527931553785e-01,9.497739034868663000e-01,9.541964694730338259e-01
1.000000000000000000e+00,9.736097825670487760e-01,9.616271442540962333e-01,1.000000000000000000e+00,9.418572013100534601e-01,8.959936345556147597e-01,9.654001447030647887e-01,9.578487815467477962e-01,0.000000000000000000e+00,9.511519963384083010e-01,9.159802105221838131e-01,1.000000000000000000e+00,9.234131515299109916e-01,1.000000000000000000e+00,4.466197571860085480e-01,9.244367006218963123e-01,9.785871452447578722e-01,9.577175402308706342e-01
9.873845835744492483e-01,9.520972395292814916e-01,6.914618638084062408e-01,7.607326606752540243e-01,9.081416921205383019e-01,9.650284322150756156e-01,9.349429815045289249e-01,9.221716871559137996e-01,9.511519963384083010e-01,4.935599730839024812e-01,7.656466369884569190e-01,9.359359094846060323e-01,9.041208666955762308e-01,9.537875361490593118e-01,9.227192940322566095e-01,6.626389032481592167e-01,9.398992207151439793e-01,9.010222881318314947e-01
