# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.078120450972889888e-01,8.870069660148550694e-01,1.000000000000000000e+00,9.315989605755848890e-01,8.877679154431523667e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.804221773947287222e-01,9.375636471911696912e-01,9.671935285590433917e-01,1.000000000000000000e+00,6.814091326606905863e-01,6.011362408869393992e-01,8.709322116453128704e-01,8.754635735661173701e-01,1.000000000000000000e+00
8.078120450972889888e-01,5.000000000000000000e-01,8.377247571652765012e-01,9.858975382153545297e-01,9.757726148378835784e-01,9.258048155091679332e-01,9.793975421891568667e-01,8.587653100036550802e-01,9.875440588510668860e-01,9.417093022723707074e-01,8.836315443735285324e-01,9.516342892204696646e-01,9.910807566192751938e-01,7.843608531535631867e-01,8.874481623476655479e-01,7.691017286453057933e-01,9.124472145662709810e-01,9.835002002597617032e-01
8.870069660148550694e-01,8.377247571652765012e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.517551099059496922e-01,7.544234632021712406e-01,8.899215895324847914e-01,7.760774344997753982e-01,1.000000000000000000e+00,9.880723032920368798e-01,7.266961888129757074e-01,6.499203898941839919e-01,1.000000000000000000e+00,8.833627125991152518e-01,1.000000000000000000e+00,9.624410492788000315e-01,9.694872637874929477e-01,8.426179312259367560e-01
1.000000000000000000e+00,9.858975382153545297e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.882923808764733087e-01,1.000000000000000000e+00,9.406332284749940875e-01,9.881292694236588625e-01,9.375532070903269677e-01,9.024043807852332177e-01,1.000000000000000000e+00,9.136547000794769113e-01,7.709384364133156087e-01,1.000000000000000000e+00,9.847261556345305866e-01,1.000000000000000000e+00,9.507910986137227960e-01,1.000000000000000000e+00
9.315989605755848890e-01,9.757726148378835784e-01,9.517551099059496922e-01,9.882923808764733087e-01,0.000000000000000000e+00,9.939448049683416997e-01,9.171966360585261935e-01,9.463526098729005964e-01,1.000000000000000000e+00,9.918807525720008123e-01,9.882314862271250888e-01,1.000000000000000000e+00,9.114077915111704620e-01,9.339116145573902461e-01,9.758219310566443871e-01,1.000000000000000000e+00,9.843885575456068349e-01,1.000000000000000000e+00
8.877679154431523667e-01,9.258048155091679332e-01,7.544234632021712406e-01,1.000000000000000000e+00,9.939448049683416997e-01,0.000000000000000000e+00,8.728625461976053934e-01,9.846500009869307846e-01,9.902349739903463233e-01,9.591097707112385962e-01,8.975544893749627384e-01,8.750439848253265263e-01,9.281563381253608025e-01,8.689074433310790546e-01,9.864042463735260835e-01,1.000000000000000000e+00,9.970302774570110049e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.793975421891568667e-01,8.899215895324847914e-01,9.406332284749940875e-01,9.171966360585261935e-01,8.728625461976053934e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.871789372752586278e-01,9.127943853796119944e-01,9.542309028336248833e-01,9.482271811028052388e-01,9.698423020003729134e-01,9.862950095521511029e-01,9.622421056506900161e-01,9.207554586698849519e-01,8.642976870629357489e-01,9.894091987417045209e-01
1.000000000000000000e+00,8.587653100036550802e-01,7.760774344997753982e-01,9.881292694236588625e-01,9.463526098729005964e-01,9.846500009869307846e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.778411455354265813e-01,9.948737531852709370e-01,8.932908121648762689e-01,9.196568321738787244e-01,1.000000000000000000e+00,8.089151665784758416e-01,9.595707475886454674e-01,1.000000000000000000e+00,9.681487362872940317e-01,8.456342191268596542e-01
1.000000000000000000e+00,9.875440588510668860e-01,1.000000000000000000e+00,9.375532070903269677e-01,1.000000000000000000e+00,9.902349739903463233e-01,9.871789372752586278e-01,8.778411455354265813e-01,2.220446049250313081e-16,9.936341956179278734e-01,9.277142129830356909e-01,9.372788194039317622e-01,8.880533895128158717e-01,9.316930797252814811e-01,9.250952516706278939e-01,1.000000000000000000e+00,8.998303257572631830e-01,9.739286927911503522e-01
8.804221773947287222e-01,9.417093022723707074e-01,9.880723032920368798e-01,9.024043807852332177e-01,9.918807525720008123e-01,9.591097707112385962e-01,9.127943853796119944e-01,9.948737531852709370e-01,9.936341956179278734e-01,1.110223024625156540e-16,9.981545852077287062e-01,7.212755352500942463e-01,8.713547594671695595e-01,9.354516407366577635e-01,8.647724760271607858e-01,9.196431227757448923e-01,9.568859004985459382e-01,1.000000000000000000e+00
9.375636471911696912e-01,8.836315443735285324e-01,7.266961888129757074e-01,1.000000000000000000e+00,9.882314862271250888e-01,8.975544893749627384e-01,9.542309028336248833e-01,8.932908121648762689e-01,9.277142129830356909e-01,9.981545852077287062e-01,0.000000000000000000e+00,8.475240130244448000e-01,1.000000000000000000e+00,9.358825041578318071e-01,9.721532313378596912e-01,1.000000000000000000e+00,9.762746414415242047e-01,8.312063538191626355e-01
9.671935285590433917e-01,9.516342892204696646e-01,6.499203898941839919e-01,9.136547000794769113e-01,1.000000000000000000e+00,8.750439848253265263e-01,9.482271811028052388e-01,9.196568321738787244e-01,9.372788194039317622e-01,7.212755352500942463e-01,8.475240130244448000e-01,4.934243193067475164e-01,9.579000842333673660e-01,9.564324784794300260e-01,9.992770439542563166e-01,1.000000000000000000e+00,9.985743406464746563e-01,8.111422469656029977e-01
1.000000000000000000e+00,9.910807566192751938e-01,1.000000000000000000e+00,7.709384364133156087e-01,9.114077915111704620e-01,9.281563381253608025e-01,9.698423020003729134e-01,1.000000000000000000e+00,8.880533895128158717e-01,8.713547594671695595e-01,1.000000000000000000e+00,9.579000842333673660e-01,1.110223024625156540e-16,9.142860637158269910e-01,8.321026489049094810e-01,1.000000000000000000e+00,9.537237171625529975e-01,9.571278603937432017e-01
6.814091326606905863e-01,7.843608531535631867e-01,8.833627125991152518e-01,1.000000000000000000e+00,9.339116145573902461e-01,8.689074433310790546e-01,9.862950095521511029e-01,8.089151665784758416e-01,9.316930797252814811e-01,9.354516407366577635e-01,9.358825041578318071e-01,9.564324784794300260e-01,9.142860637158269910e-01,1.110223024625156540e-16,9.973176975980360126e-01,7.285498219807557962e-01,8.713098644308653329e-01,9.269475505304506369e-01
6.011362408869393992e-01,8.874481623476655479e-01,1.000000000000000000e+00,9.847261556345305866e-01,9.758219310566443871e-01,9.864042463735260835e-01,9.622421056506900161e-01,9.595707475886454674e-01,9.250952516706278939e-01,8.647724760271607858e-01,9.721532313378596912e-01,9.992770439542563166e-01,8.321026489049094810e-01,9.973176975980360126e-01,0.000000000000000000e+00,8.626495907080500292e-01,8.348489430812072731e-01,1.000000000000000000e+00
8.709322116453128704e-01,7.691017286453057933e-01,9.624410492788000315e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.207554586698849519e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.196431227757448923e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.285498219807557962e-01,8.626495907080500292e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.466031455579831055e-01
