# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.161966853338801009e-01,9.492756401099599062e-01,6.238854012072860833e-01,9.576239825437059539e-01,9.594886122758962133e-01,9.951537339130199777e-01,9.006116898255158709e-01,9.882791731628092213e-01,1.005869832140223741e+00,8.407033721084420375e-01,1.000000000000000000e+00,9.807404319813826099e-01,1.000000000000000000e+00,9.856740394989269571e-01,9.541551467068472014e-01,8.755778179229369851e-01,9.570093648912866291e-01
9.161966853338801009e-01,-2.220446049250313081e-16,9.116883062542904259e-01,1.000000000000000000e+00,8.395714463398119554e-01,9.619751061750329013e-01,8.039908466786593877e-01,8.553056623187387242e-01,8.669029139438686471e-01,1.006729647046237908e+00,8.677145036919065024e-01,7.549332242409504401e-01,7.396479115427281315e-01,9.496500083284360461e-01,1.000000000000000000e+00,8.978069342004579845e-01,8.689308144113649934e-01,6.496895359934447001e-01
9.492756401099599062e-01,9.116883062542904259e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.980418208467492169e-01,1.000000000000000000e+00,7.700392739196438852e-01,9.898228089795558793e-01,1.000000000000000000e+00,9.487547291053080034e-01,7.662590046661357235e-01,3.957333159801977862e-01,3.731512933987111147e-01,1.000000000000000000e+00,9.960116685184962071e-01,3.210659619561739841e-01,1.000000000000000000e+00,3.889480940646473650e-01
6.238854012072860833e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.527147707659918696e-01,8.887283332844952977e-01,9.638991671442488363e-01,9.371616015866363059e-01,9.959485460107734278e-01,9.673793249659200510e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.352377278237868907e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.444201866035485393e-01,9.792046364233089051e-01
9.576239825437059539e-01,8.395714463398119554e-01,8.980418208467492169e-01,9.527147707659918696e-01,0.000000000000000000e+00,8.976018566286636524e-01,8.988846843721740587e-01,6.475486050253392856e-01,9.050159714456937898e-01,1.017089651667720140e+00,1.000000000000000000e+00,8.700414998610324080e-01,8.813433074530363509e-01,7.238942484546359024e-01,9.566639402073221499e-01,8.753904431225993932e-01,8.785656244479361776e-01,8.960414150731521588e-01
9.594886122758962133e-01,9.619751061750329013e-01,1.000000000000000000e+00,8.887283332844952977e-01,8.976018566286636524e-01,2.220446049250313081e-16,9.856087688852097628e-01,9.083927076352984464e-01,2.919359613791998598e-01,1.090245439217752965e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.822499297628806136e-01,9.863728524651006468e-01,8.966998424215165686e-01,1.000000000000000000e+00,4.167123589981174270e-01,1.000000000000000000e+00
9.951537339130199777e-01,8.039908466786593877e-01,7.700392739196438852e-01,9.638991671442488363e-01,8.988846843721740587e-01,9.856087688852097628e-01,4.999999999999999445e-01,9.353811680682844187e-01,9.705367630513093147e-01,1.026355432946629120e+00,9.108936630581578875e-01,7.945136458659147749e-01,7.423198155626107297e-01,9.589490998591492232e-01,9.882742116746551231e-01,7.013777300730736908e-01,9.674848114434204671e-01,7.537812066447218129e-01
9.006116898255158709e-01,8.553056623187387242e-01,9.898228089795558793e-01,9.371616015866363059e-01,6.475486050253392856e-01,9.083927076352984464e-01,9.353811680682844187e-01,0.000000000000000000e+00,8.970640478437291732e-01,1.062019641466505293e+00,9.152515119364658114e-01,9.632965634242663944e-01,9.906224373633468749e-01,9.884986699235269736e-01,1.000000000000000000e+00,9.536461312597734885e-01,9.603348750900628783e-01,7.526213027870323202e-01
9.882791731628092213e-01,8.669029139438686471e-01,1.000000000000000000e+00,9.959485460107734278e-01,9.050159714456937898e-01,2.919359613791998598e-01,9.705367630513093147e-01,8.970640478437291732e-01,0.000000000000000000e+00,1.077062654110349627e+00,7.340350171205187735e-01,9.629707489557243205e-01,9.984411242239381590e-01,9.876220027355472331e-01,8.743863210074253045e-01,1.000000000000000000e+00,4.404942222684460340e-01,9.914367045553995617e-01
1.005869832140223741e+00,1.006729647046237908e+00,9.487547291053080034e-01,9.673793249659200510e-01,1.017089651667720140e+00,1.090245439217752965e+00,1.026355432946629120e+00,1.062019641466505293e+00,1.077062654110349627e+00,4.554076262380372109e-01,1.128357270606267004e+00,1.014853273602016603e+00,9.870685413134727693e-01,1.147853251662143581e+00,9.690413288940601388e-01,9.849443801835999768e-01,1.010913511287955036e+00,9.540004078061227188e-01
8.407033721084420375e-01,8.677145036919065024e-01,7.662590046661357235e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.108936630581578875e-01,9.152515119364658114e-01,7.340350171205187735e-01,1.128357270606267004e+00,-2.220446049250313081e-16,9.933937452371869314e-01,9.462888209657326355e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.175499116516012688e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.549332242409504401e-01,3.957333159801977862e-01,1.000000000000000000e+00,8.700414998610324080e-01,1.000000000000000000e+00,7.945136458659147749e-01,9.632965634242663944e-01,9.629707489557243205e-01,1.014853273602016603e+00,9.933937452371869314e-01,-2.220446049250313081e-16,2.056633701673505898e-01,9.874644901655881268e-01,9.920229046732025324e-01,3.059668115086070506e-01,9.937141636503500353e-01,1.901550323543776955e-01
9.807404319813826099e-01,7.396479115427281315e-01,3.731512933987111147e-01,9.352377278237868907e-01,8.813433074530363509e-01,9.822499297628806136e-01,7.423198155626107297e-01,9.906224373633468749e-01,9.984411242239381590e-01,9.870685413134727693e-01,9.462888209657326355e-01,2.056633701673505898e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.994115088802914659e-01,9.771456328229830568e-01,2.370038217619002685e-01
1.000000000000000000e+00,9.496500083284360461e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.238942484546359024e-01,9.863728524651006468e-01,9.589490998591492232e-01,9.884986699235269736e-01,9.876220027355472331e-01,1.147853251662143581e+00,1.000000000000000000e+00,9.874644901655881268e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.804004281519766995e-01,1.000000000000000000e+00
9.856740394989269571e-01,1.000000000000000000e+00,9.960116685184962071e-01,1.000000000000000000e+00,9.566639402073221499e-01,8.966998424215165686e-01,9.882742116746551231e-01,1.000000000000000000e+00,8.743863210074253045e-01,9.690413288940601388e-01,1.000000000000000000e+00,9.920229046732025324e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.889597559027540008e-01,9.962361760778726261e-01
9.541551467068472014e-01,8.978069342004579845e-01,3.210659619561739841e-01,1.000000000000000000e+00,8.753904431225993932e-01,1.000000000000000000e+00,7.013777300730736908e-01,9.536461312597734885e-01,1.000000000000000000e+00,9.849443801835999768e-01,9.175499116516012688e-01,3.059668115086070506e-01,1.994115088802914659e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.430137701559296870e-01,2.752248357237647713e-01
8.755778179229369851e-01,8.689308144113649934e-01,1.000000000000000000e+00,9.444201866035485393e-01,8.785656244479361776e-01,4.167123589981174270e-01,9.674848114434204671e-01,9.603348750900628783e-01,4.404942222684460340e-01,1.010913511287955036e+00,1.000000000000000000e+00,9.937141636503500353e-01,9.771456328229830568e-01,9.804004281519766995e-01,8.889597559027540008e-01,9.430137701559296870e-01,1.110223024625156540e-16,9.851080334502164693e-01
9.570093648912866291e-01,6.496895359934447001e-01,3.889480940646473650e-01,9.792046364233089051e-01,8.960414150731521588e-01,1.000000000000000000e+00,7.537812066447218129e-01,7.526213027870323202e-01,9.914367045553995617e-01,9.540004078061227188e-01,1.000000000000000000e+00,1.901550323543776955e-01,2.370038217619002685e-01,1.000000000000000000e+00,9.962361760778726261e-01,2.752248357237647713e-01,9.851080334502164693e-01,-2.220446049250313081e-16
