# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.026751600625260608e+00,9.950885571935529361e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.040719571322852088e-01,1.000000000000000000e+00,9.625799849393870122e-01,9.154757908744316497e-01,1.000000000000000000e+00,5.769671187922873479e-01,3.078084897013856347e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.603336227989304863e-02,1.000000000000000000e+00,8.682030839032949254e-01
1.026751600625260608e+00,2.990254709578579195e-01,9.921686968251330896e-01,1.064164376882010155e+00,5.468473595713926327e-01,1.068284896873930245e+00,1.034525758677129925e+00,6.089474600485440536e-01,1.101479741672478863e+00,1.077132351862965409e+00,1.041834111013026920e+00,1.064782499251537340e+00,1.035123721521733486e+00,9.989477180212594787e-01,9.970469652750347800e-01,1.068892090775472425e+00,1.102807873434575647e+00,9.557081474929277620e-01
9.950885571935529361e-01,9.921686968251330896e-01,0.000000000000000000e+00,8.258094053274935842e-01,9.224862997669438514e-01,9.908971315457851814e-01,9.016897638093934741e-01,9.347187329561423841e-01,9.938680994325063134e-01,9.045301973761092906e-01,7.930648167026238538e-01,8.338137805217433751e-01,1.000000000000000000e+00,6.459245016593314626e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.091409505450720907e-01
1.000000000000000000e+00,1.064164376882010155e+00,8.258094053274935842e-01,0.000000000000000000e+00,9.145151697467435170e-01,9.763924129153017661e-01,1.000000000000000000e+00,9.581375164356519258e-01,9.816929525917088561e-01,9.516136639374370709e-01,6.258357739678801490e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.254524152682805038e-01,9.804367305345703665e-01,1.000000000000000000e+00,8.892225515674674341e-01,9.391087834983040672e-01
1.000000000000000000e+00,5.468473595713926327e-01,9.224862997669438514e-01,9.145151697467435170e-01,-2.220446049250313081e-16,8.182464424860197427e-01,9.525359391398351416e-01,5.851286111007711899e-01,9.373601050440081295e-01,9.216472404252932238e-01,9.292625760637696075e-01,1.000000000000000000e+00,9.512273405200789567e-01,9.439242680535306906e-01,9.498240096581366254e-01,9.937575248596726141e-01,9.842537472295553869e-01,9.569334285319309741e-01
1.000000000000000000e+00,1.068284896873930245e+00,9.908971315457851814e-01,9.763924129153017661e-01,8.182464424860197427e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.659689279219794145e-01,3.832302668318969818e-01,9.578866108228163423e-01,1.000000000000000000e+00,9.594112904132220399e-01,9.848051162283769644e-01,9.353101216257844186e-01,6.164135290945471635e-01,1.000000000000000000e+00,7.456505451521138195e-01,1.000000000000000000e+00
2.040719571322852088e-01,1.034525758677129925e+00,9.016897638093934741e-01,1.000000000000000000e+00,9.525359391398351416e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.707951698644308403e-01,9.396949368452307549e-01,9.228229493984213549e-01,2.517265493119306141e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.138224008855317049e-01,1.000000000000000000e+00,8.868343889672001268e-01
1.000000000000000000e+00,6.089474600485440536e-01,9.347187329561423841e-01,9.581375164356519258e-01,5.851286111007711899e-01,9.659689279219794145e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.197376547500998312e-01,1.000000000000000000e+00,9.834215823942238366e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.562415812443386676e-01,9.728395203943267511e-01,1.000000000000000000e+00,9.528530564758489474e-01,9.075043113671040773e-01
9.625799849393870122e-01,1.101479741672478863e+00,9.938680994325063134e-01,9.816929525917088561e-01,9.373601050440081295e-01,3.832302668318969818e-01,1.000000000000000000e+00,9.197376547500998312e-01,1.110223024625156540e-16,9.650932209226141811e-01,9.963291605242834414e-01,1.000000000000000000e+00,9.424127893328049232e-01,9.421410684317061968e-01,3.019396954255284538e-01,9.647236727816079771e-01,6.183648294578205640e-01,1.000000000000000000e+00
9.154757908744316497e-01,1.077132351862965409e+00,9.045301973761092906e-01,9.516136639374370709e-01,9.216472404252932238e-01,9.578866108228163423e-01,8.707951698644308403e-01,1.000000000000000000e+00,9.650932209226141811e-01,5.000000000000001110e-01,8.936822261997046102e-01,9.890066495637828137e-01,9.411923087676632438e-01,1.000000000000000000e+00,9.362914132962306679e-01,8.859149834959656467e-01,1.000000000000000000e+00,9.645389631210169457e-01
