# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.000000000000000000e+00,8.950533025217124461e-01,9.793621792651414637e-01,8.672503276654508486e-01,1.000000000000000000e+00,9.725426384375718269e-01,9.133822054323548212e-01,1.000000000000000000e+00,9.201038901711859896e-01,9.860514868725117621e-01,9.000145003982267244e-01,7.843300998074422825e-01,9.900134892705934053e-01,9.601176250995626660e-01,8.630050305278753608e-01,9.651931966659915707e-01,1.000000000000000000e+00
1.000000000000000000e+00,-4.440892098500626162e-16,9.286452821769326516e-01,8.399726276151142645e-01,1.000000000000000000e+00,8.682559539395358073e-01,6.428939973637384231e-01,7.230374605736216154e-01,8.903897158451206106e-01,6.988638571876295558e-01,9.429575079688647943e-01,1.000000000000000000e+00,9.423794670597462897e-01,7.297235958639269882e-01,9.721907206206121810e-01,9.907758126430273871e-01,9.068361890362770517e-01,9.231933061773583971e-01
8.950533025217124461e-01,9.286452821769326516e-01,-2.220446049250313081e-16,1.087318088443497421e+00,1.008124983547629361e+00,1.059099103974312950e+00,8.407599486292699487e-01,9.613794876793485544e-01,1.066978756890355706e+00,9.719784124096707556e-01,1.168369273727106528e+00,1.043583178919239129e+00,1.037946862239490287e+00,1.091014454039382020e+00,1.128182428919659586e+00,1.087993881240585159e+00,1.089554944560100713e+00,1.083768013380649764e+00
9.793621792651414637e-01,8.399726276151142645e-01,1.087318088443497421e+00,1.110223024625156540e-16,8.971450158191559554e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.412183638461212531e-01,1.000000000000000000e+00,8.946018240350639417e-01,8.214566642330877189e-01,1.000000000000000000e+00,9.472440102676001894e-01,7.750891585624172242e-01,1.000000000000000000e+00,9.802047572448133739e-01,9.059673708428828132e-01,5.734847380158598629e-01
8.672503276654508486e-01,1.000000000000000000e+00,1.008124983547629361e+00,8.971450158191559554e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.223705650442559634e-01,6.448924497263410771e-01,1.000000000000000000e+00,9.189396934404743256e-01,9.946710751089722358e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.467467195656013024e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.310250883806590494e-01
1.000000000000000000e+00,8.682559539395358073e-01,1.059099103974312950e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.358813797177155891e-01,9.546047758223077384e-01,3.509938485840274902e-01,9.382571398233297000e-01,1.000000000000000000e+00,8.535445869412707776e-01,8.047035622461868876e-01,9.845820304929975286e-01,9.860404214855664762e-01,8.557592229978757681e-01,2.835618664270868061e-01,8.335132344013718164e-01
9.725426384375718269e-01,6.428939973637384231e-01,8.407599486292699487e-01,1.000000000000000000e+00,9.223705650442559634e-01,8.358813797177155891e-01,1.110223024625156540e-16,8.642823060204599672e-01,8.645215910097541201e-01,8.320338198712529110e-01,8.953392725905937599e-01,8.483413604158858146e-01,9.028704566271593679e-01,8.270527983185136378e-01,9.451752894190480481e-01,9.583508061675358736e-01,8.495486154758696840e-01,8.778965381196111029e-01
9.133822054323548212e-01,7.230374605736216154e-01,9.613794876793485544e-01,8.412183638461212531e-01,6.448924497263410771e-01,9.546047758223077384e-01,8.642823060204599672e-01,4.960879734647795636e-01,9.464129533081910850e-01,7.973417190222602535e-01,8.345389227545600974e-01,9.625147800753028893e-01,9.771256532814051043e-01,7.954738287149795140e-01,1.000000000000000000e+00,9.736385324072980296e-01,9.412428346911887456e-01,9.321198684451762473e-01
1.000000000000000000e+00,8.903897158451206106e-01,1.066978756890355706e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.509938485840274902e-01,8.645215910097541201e-01,9.464129533081910850e-01,1.110223024625156540e-16,9.049232460405360889e-01,9.800483336668098788e-01,8.569060300307809186e-01,8.102850160221144460e-01,1.000000000000000000e+00,9.615797156137595447e-01,8.479132080628984935e-01,3.404001274470468408e-01,8.365833621646815432e-01
9.201038901711859896e-01,6.988638571876295558e-01,9.719784124096707556e-01,8.946018240350639417e-01,9.189396934404743256e-01,9.382571398233297000e-01,8.320338198712529110e-01,7.973417190222602535e-01,9.049232460405360889e-01,4.324006980728637983e-01,8.674874961950237440e-01,7.879753271160565564e-01,9.816328321251084343e-01,9.901248352519389506e-01,9.593121496375502932e-01,9.913792781876505922e-01,8.966520396838195683e-01,9.330830654046711192e-01
