# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,8.693833419503258497e-01,1.000000000000000000e+00,8.804493876449727141e-01,1.000000000000000000e+00,9.341402316719435994e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.175632272685194879e-01,7.411568153368153222e-01,9.127534981050500207e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.761750194100542455e-01,5.702797897701062935e-01,1.188038398651759753e+00,8.345542048446400463e-01
8.693833419503258497e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.593373139275868322e-01,8.909771597703352031e-01,8.759970200634409343e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.613592194696760851e-01,8.615769540256950076e-01,6.790376670632001233e-01,1.000000000000000000e+00,9.363507600931272323e-01,1.000000000000000000e+00,8.256694697594906263e-01,1.233389984407968765e+00,6.395887909463151555e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.699827992597790383e-01,9.783849281402398068e-01,9.470904149936754113e-01,6.360468956896363490e-01,9.801776543516059759e-01,9.527148992063987354e-01,8.484560467014655716e-01,9.904423731410458842e-01,9.023077553763673153e-01,5.154137546628543287e-01,9.931178919417206208e-01,9.712486065686697367e-01,9.691068040289859686e-01,1.138407542525937011e+00,1.000000000000000000e+00
8.804493876449727141e-01,8.593373139275868322e-01,9.699827992597790383e-01,0.000000000000000000e+00,7.287106767816233788e-01,8.307498352641091710e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.712468861297693934e-01,8.604094739469387854e-01,5.665063712087972103e-01,8.306958161177633304e-01,9.692622571698656930e-01,9.578521027188847681e-01,8.497730363732720615e-01,9.330295402953439066e-01,1.056544352570626844e+00,7.592403449624351985e-01
1.000000000000000000e+00,8.909771597703352031e-01,9.783849281402398068e-01,7.287106767816233788e-01,0.000000000000000000e+00,8.728911625376739591e-01,9.092293076817506980e-01,8.237594475936880212e-01,8.902739915974953178e-01,7.826973383947809504e-01,9.084191838957216270e-01,9.664353624180671565e-01,8.952080053680450122e-01,8.127881815020397971e-01,9.725526645354732880e-01,9.365607345245777760e-01,9.501762549306268513e-01,6.884950795649766864e-01
9.341402316719435994e-01,8.759970200634409343e-01,9.470904149936754113e-01,8.307498352641091710e-01,8.728911625376739591e-01,-2.220446049250313081e-16,8.371819594024267897e-01,9.555331624045370065e-01,7.164099390372652421e-01,8.868886384622637342e-01,7.745061993658558519e-01,9.819885304285337346e-01,9.705023888549189071e-01,8.990289513399191135e-01,9.453287770961374958e-01,8.799124678811418576e-01,1.178594323805416844e+00,8.470011365098357725e-01
1.000000000000000000e+00,1.000000000000000000e+00,6.360468956896363490e-01,1.000000000000000000e+00,9.092293076817506980e-01,8.371819594024267897e-01,0.000000000000000000e+00,9.650526985078889952e-01,1.000000000000000000e+00,9.054823054170126895e-01,9.475647315576597451e-01,9.101931174960906645e-01,9.428790143293308557e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.011103035712679343e-01,1.049807963795695409e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.801776543516059759e-01,1.000000000000000000e+00,8.237594475936880212e-01,9.555331624045370065e-01,9.650526985078889952e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.995257575142149076e-01,9.878780189792455424e-01,1.000000000000000000e+00,9.049698926583057412e-01,9.333468170764116500e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.155021599954411338e+00,8.982742997080422898e-01
8.175632272685194879e-01,1.000000000000000000e+00,9.527148992063987354e-01,9.712468861297693934e-01,8.902739915974953178e-01,7.164099390372652421e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,9.999272299896744265e-01,9.008653291369612681e-01,9.758899547963467702e-01,9.713392087419755461e-01,9.685495432055656329e-01,9.784977616109773457e-01,9.091078378098544910e-01,1.174636290223342261e+00,8.807881376634829618e-01
7.411568153368153222e-01,8.613592194696760851e-01,8.484560467014655716e-01,8.604094739469387854e-01,7.826973383947809504e-01,8.868886384622637342e-01,9.054823054170126895e-01,9.995257575142149076e-01,9.999272299896744265e-01,3.524303849016343637e-01,8.899885279958993367e-01,9.812098099321997502e-01,8.207107250081062677e-01,7.363266039612539338e-01,8.533951486144442100e-01,9.185061135231430418e-01,9.969535584958342245e-01,8.034257399645196029e-01
9.127534981050500207e-01,8.615769540256950076e-01,9.904423731410458842e-01,5.665063712087972103e-01,9.084191838957216270e-01,7.745061993658558519e-01,9.475647315576597451e-01,9.878780189792455424e-01,9.008653291369612681e-01,8.899885279958993367e-01,0.000000000000000000e+00,9.514914046424425287e-01,9.703988915045832497e-01,8.552544298655881949e-01,9.119347383282000452e-01,9.125920502690199054e-01,1.224741134866111247e+00,8.389167795354126600e-01
1.000000000000000000e+00,6.790376670632001233e-01,9.023077553763673153e-01,8.306958161177633304e-01,9.664353624180671565e-01,9.819885304285337346e-01,9.101931174960906645e-01,1.000000000000000000e+00,9.758899547963467702e-01,9.812098099321997502e-01,9.514914046424425287e-01,0.000000000000000000e+00,5.061856959159223290e-01,9.769909186204689400e-01,9.850907285351657716e-01,8.642353855861573120e-01,1.156743334628110631e+00,1.000000000000000000e+00
