# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,3.318451209869137664e-01,9.326074647494304592e-01,1.000000000000000000e+00,4.294342185999309169e-01,9.105958212216782588e-01,9.693682469992752626e-01,4.866940549732519106e-01,9.208969399197017847e-01,1.030087274668435304e+00,8.782592170703611423e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.079677768646959857e-01,8.695921821269387841e-01,1.043977333461484358e-01,9.869979034757203618e-01,9.839539141656492571e-01
3.318451209869137664e-01,0.000000000000000000e+00,9.141297331952434879e-01,1.000000000000000000e+00,2.789800470994089343e-01,9.182319551904218891e-01,9.236349228219514762e-01,2.193332442351166867e-01,9.993692733435785014e-01,1.023927808309676557e+00,8.490003936022274544e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.520443406319193391e-01,9.347655489117681071e-01,4.618255422279486933e-01,9.556645139430454128e-01,9.409469498259048770e-01
9.326074647494304592e-01,9.141297331952434879e-01,4.999999999999999445e-01,9.648063797692680854e-01,7.793101650036502459e-01,9.088260841283357649e-01,9.850047827612324891e-01,7.781312648532927589e-01,9.736567922691534704e-01,1.029016215572027271e+00,9.350474180349228615e-01,9.957688851340498193e-01,1.000000000000000000e+00,9.306348344318349231e-01,1.031032182222176630e+00,8.114557524473744454e-01,9.798298895148933596e-01,9.269475948733747472e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.648063797692680854e-01,1.901198541589522450e-01,1.000000000000000000e+00,8.919926578206147649e-01,9.660656785266266144e-01,9.537842253523923786e-01,9.703238586796492093e-01,1.035313921098823808e+00,9.515196477781027173e-01,9.937760156936774614e-01,9.576084443569051752e-01,1.000000000000000000e+00,1.175981514986193410e+00,1.000000000000000000e+00,9.557078638351150790e-01,9.104164561884398044e-01
4.294342185999309169e-01,2.789800470994089343e-01,7.793101650036502459e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.321907353961851328e-01,9.461917633481818912e-01,2.475983555548935122e-01,9.628954485441160172e-01,9.310801195990214829e-01,8.856615659774138560e-01,9.724338023360759031e-01,9.801878461093144201e-01,4.747738748845133916e-01,9.239912083130507048e-01,4.414251581786504675e-01,9.673218289652000257e-01,9.458617697116477041e-01
9.105958212216782588e-01,9.182319551904218891e-01,9.088260841283357649e-01,8.919926578206147649e-01,9.321907353961851328e-01,1.110223024625156540e-16,9.128843838434150815e-01,9.342330163823178157e-01,8.051705670966340378e-01,1.099141343523608594e+00,9.482138939495146079e-01,9.825160163824169235e-01,1.000000000000000000e+00,9.817561002695234240e-01,1.085671731101397475e+00,9.034944932938262507e-01,7.144215460134366591e-01,9.855750159075478134e-01
9.693682469992752626e-01,9.236349228219514762e-01,9.850047827612324891e-01,9.660656785266266144e-01,9.461917633481818912e-01,9.128843838434150815e-01,2.220446049250313081e-16,9.152797769463106858e-01,1.000000000000000000e+00,8.770773657279753444e-01,9.710731552718199211e-01,5.859527444923091632e-01,8.699104257328833523e-01,9.135983135655623144e-01,1.178349460993668885e+00,1.000000000000000000e+00,9.892049868815198099e-01,8.887727639860583118e-01
4.866940549732519106e-01,2.193332442351166867e-01,7.781312648532927589e-01,9.537842253523923786e-01,2.475983555548935122e-01,9.342330163823178157e-01,9.152797769463106858e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.797938232928378177e-01,9.018325461158265277e-01,9.910610834604178798e-01,1.000000000000000000e+00,4.571230788784488297e-01,9.938669082305302549e-01,4.416917891312399647e-01,1.000000000000000000e+00,8.161169698598524924e-01
9.208969399197017847e-01,9.993692733435785014e-01,9.736567922691534704e-01,9.703238586796492093e-01,9.628954485441160172e-01,8.051705670966340378e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.190169664897658297e+00,8.815414794369986762e-01,1.000000000000000000e+00,9.218134418905856720e-01,1.000000000000000000e+00,1.300417682969273070e+00,9.213407115187702834e-01,6.824341978353409832e-01,9.894837852761559915e-01
1.030087274668435304e+00,1.023927808309676557e+00,1.029016215572027271e+00,1.035313921098823808e+00,9.310801195990214829e-01,1.099141343523608594e+00,8.770773657279753444e-01,9.797938232928378177e-01,1.190169664897658297e+00,2.016966773952390268e-01,8.754586481115402830e-01,1.029419024686259121e+00,1.043620034955236697e+00,9.180217422335078536e-01,1.018348063885258892e+00,1.025807187311301716e+00,9.880922107878242766e-01,9.333305379606831043e-01
8.782592170703611423e-01,8.490003936022274544e-01,9.350474180349228615e-01,9.515196477781027173e-01,8.856615659774138560e-01,9.482138939495146079e-01,9.710731552718199211e-01,9.018325461158265277e-01,8.815414794369986762e-01,8.754586481115402830e-01,5.000000000000000000e-01,9.291045276210823101e-01,9.732083235779328545e-01,8.819605579896538927e-01,1.095691150375411649e+00,8.724710198655857285e-01,9.939669360638860862e-01,9.592266351864573437e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.957688851340498193e-01,9.937760156936774614e-01,9.724338023360759031e-01,9.825160163824169235e-01,5.859527444923091632e-01,9.910610834604178798e-01,1.000000000000000000e+00,1.029419024686259121e+00,9.291045276210823101e-01,1.110223024625156540e-16,6.782762815486308439e-01,9.771525036798592856e-01,1.210215793790584637e+00,9.986947875699923038e-01,1.000000000000000000e+00,6.943637946264691330e-01
