# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.776257543278365159e-01,6.811069730266907651e-01,9.315348843428540304e-01,1.000000000000000000e+00,9.631236897369386263e-01,7.561976515759495365e-01,9.831071595529746743e-01,8.633386789590655752e-01,9.226442787909722165e-01,nan,8.196482549133721207e-01,9.433732311007100302e-01,8.556398196241288279e-01,1.000000000000000000e+00,1.748425169642918720e-01,9.699986450967460483e-01,8.908491815830144045e-01
8.776257543278365159e-01,5.000000000000000000e-01,9.362140936195891827e-01,9.739051871266517502e-01,9.434763985406962039e-01,9.867984758098053977e-01,9.474759158044707696e-01,9.372029261310311776e-01,8.704974784889423223e-01,8.955833160102107948e-01,nan,6.986242553731245586e-01,9.564479100037677206e-01,8.914451922703391373e-01,9.885850190202685184e-01,3.601940812891203381e-01,9.857435880106075743e-01,8.789585112809338296e-01
6.811069730266907651e-01,9.362140936195891827e-01,-2.220446049250313081e-16,9.915676648343608734e-01,9.980220469972912456e-01,1.000000000000000000e+00,5.921135127087362449e-01,9.820473352867177264e-01,7.323685911185774389e-01,1.027734534757449358e+00,nan,8.826058909347453962e-01,9.036468842937066537e-01,1.000000000000000000e+00,9.470831770560987906e-01,6.895301775710421799e-01,1.000000000000000000e+00,7.636373113822185754e-01
9.315348843428540304e-01,9.739051871266517502e-01,9.915676648343608734e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.140312028540858114e-01,9.494294897805634070e-01,9.842261777476591922e-01,9.473449056346365804e-01,9.515325592764556362e-01,nan,1.000000000000000000e+00,7.654930880719589270e-01,9.392162753303219258e-01,8.537085165178015522e-01,9.148761018203321882e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.434763985406962039e-01,9.980220469972912456e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000860713528134882e+00,nan,9.782372736041290429e-01,9.216543247480502021e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.589130091110636300e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.631236897369386263e-01,9.867984758098053977e-01,1.000000000000000000e+00,8.140312028540858114e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.537779080612506233e-01,9.433459572632846291e-01,1.000000000000000000e+00,1.060929732903737488e+00,nan,9.912155414152336030e-01,1.000000000000000000e+00,9.564885630009047901e-01,7.913021370932006304e-01,9.316619543830161332e-01,8.644466510500529166e-01,9.781413557226116273e-01
7.561976515759495365e-01,9.474759158044707696e-01,5.921135127087362449e-01,9.494294897805634070e-01,1.000000000000000000e+00,9.537779080612506233e-01,0.000000000000000000e+00,9.987678072385850481e-01,9.828217004501650367e-01,1.016550407779081677e+00,nan,9.553206451639677521e-01,9.569052244910163374e-01,9.738711401400667045e-01,9.551541707683726123e-01,7.496286761654351594e-01,1.000000000000000000e+00,8.832437959513489423e-01
9.831071595529746743e-01,9.372029261310311776e-01,9.820473352867177264e-01,9.842261777476591922e-01,1.000000000000000000e+00,9.433459572632846291e-01,9.987678072385850481e-01,0.000000000000000000e+00,9.893129322674908410e-01,1.062539367691722747e+00,nan,9.712712287310701909e-01,9.566423994690052002e-01,9.745415185507863010e-01,9.607146729153065445e-01,9.709127492194847830e-01,9.756257873286439120e-01,1.000000000000000000e+00
8.633386789590655752e-01,8.704974784889423223e-01,7.323685911185774389e-01,9.473449056346365804e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.828217004501650367e-01,9.893129322674908410e-01,0.000000000000000000e+00,9.565494844780128014e-01,nan,7.182301843904441707e-01,9.027085113998338795e-01,9.548187220208776971e-01,9.661072398809098516e-01,8.499506684250665023e-01,1.000000000000000000e+00,9.301618841780223690e-01
9.226442787909722165e-01,8.955833160102107948e-01,1.027734534757449358e+00,9.515325592764556362e-01,1.000860713528134882e+00,1.060929732903737488e+00,1.016550407779081677e+00,1.062539367691722747e+00,9.565494844780128014e-01,6.024926167197962590e-01,nan,9.634300148228361893e-01,9.645031197463023176e-01,8.240007926922211512e-01,1.072886452083083642e+00,9.353577559342558523e-01,1.070281368630017882e+00,9.316521929479697484e-01
