# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.099549588898363517e-01,9.106543021547789385e-01,8.617533397102894455e-01,9.751220394674383618e-01,9.768135555548415061e-01,2.349944276649232888e-01,9.875693043264073268e-01,1.000000000000000000e+00,8.440407873844932851e-01,nan,9.681648089314929262e-01,4.038249464798278066e-01,8.766253093960021392e-01,9.778324787463850143e-01,7.355099175840051906e-02,9.768662107093271096e-01,9.529308898647363968e-01
9.099549588898363517e-01,4.728525294585675942e-01,9.218009789084464778e-01,9.967580277247658493e-01,9.503549930272211510e-01,9.966642196218289396e-01,8.921221205233920148e-01,9.524358510174872894e-01,9.532744159490798008e-01,9.613959231815066842e-01,nan,9.573542310653297971e-01,9.692027339885203041e-01,9.390544688620297009e-01,9.607812368852095553e-01,8.873145146382638293e-01,9.998609715340582849e-01,7.203105352069751888e-01
9.106543021547789385e-01,9.218009789084464778e-01,-2.220446049250313081e-16,9.922664175510960138e-01,9.635515870784238102e-01,9.114950889808964840e-01,9.137104492319058080e-01,1.000000000000000000e+00,9.098559110924689941e-01,8.830374916254190021e-01,nan,8.533758819566075182e-01,7.088535888161278109e-01,8.426292660343467356e-01,8.063251220546520104e-01,8.689563762030521055e-01,1.000000000000000000e+00,8.669210813916233827e-01
8.617533397102894455e-01,9.967580277247658493e-01,9.922664175510960138e-01,1.110223024625156540e-16,9.839599030598321638e-01,9.137833677293191181e-01,7.089037351369003037e-01,8.248801615257401743e-01,9.962851481662897690e-01,9.713407610955860916e-01,nan,9.666112613261758080e-01,9.416335834765124924e-01,9.434543620653195184e-01,9.675353031767411904e-01,9.061364070110224933e-01,9.285790838137889525e-01,9.801541803413506004e-01
9.751220394674383618e-01,9.503549930272211510e-01,9.635515870784238102e-01,9.839599030598321638e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.573136490123894671e-01,9.996026976171100697e-01,1.000000000000000000e+00,9.956677123015922337e-01,nan,1.000000000000000000e+00,1.000000000000000000e+00,9.988905720098918417e-01,8.787008496149735226e-01,7.696105696202780733e-01,9.933685992880334492e-01,9.890650878959843517e-01
9.768135555548415061e-01,9.966642196218289396e-01,9.114950889808964840e-01,9.137833677293191181e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.687180994194110051e-01,9.764863583012219905e-01,7.783679929966054178e-01,9.580294895450678361e-01,nan,9.130506163060043701e-01,9.866175452096095366e-01,9.910300980625956768e-01,8.461547240446577467e-01,9.725203443629120148e-01,5.262959169397405379e-01,9.555732569886262739e-01
2.349944276649232888e-01,8.921221205233920148e-01,9.137104492319058080e-01,7.089037351369003037e-01,9.573136490123894671e-01,9.687180994194110051e-01,0.000000000000000000e+00,9.688253091760866686e-01,9.593333459605570823e-01,8.380071249864058380e-01,nan,9.415009196861503504e-01,9.958901398627217905e-01,9.602089116408190073e-01,9.647303621985637845e-01,2.239939145399586495e-01,9.707776443389810606e-01,8.352113913664950262e-01
9.875693043264073268e-01,9.524358510174872894e-01,1.000000000000000000e+00,8.248801615257401743e-01,9.996026976171100697e-01,9.764863583012219905e-01,9.688253091760866686e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,nan,9.750089331276066140e-01,1.000000000000000000e+00,9.899148810801552401e-01,1.000000000000000000e+00,9.782550022572109594e-01,9.985731314852538398e-01,9.169809538535448334e-01
1.000000000000000000e+00,9.532744159490798008e-01,9.098559110924689941e-01,9.962851481662897690e-01,1.000000000000000000e+00,7.783679929966054178e-01,9.593333459605570823e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,nan,8.781370597427151647e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.853699678675438500e-01,1.000000000000000000e+00,9.256208725932993930e-01,9.917538581221614358e-01
8.440407873844932851e-01,9.613959231815066842e-01,8.830374916254190021e-01,9.713407610955860916e-01,9.956677123015922337e-01,9.580294895450678361e-01,8.380071249864058380e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,nan,9.401545357431382310e-01,6.837382785877119673e-01,7.702941518089807538e-01,7.829649152759137198e-01,8.292891731622308304e-01,9.802560520727937599e-01,9.280825020053493635e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
