# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.219465568894474883e-01,9.232364854185386438e-01,nan,1.063634538161749132e+00,7.531847828968872838e-01,8.151385879105164101e-01,8.023867440998382339e-01,9.433215275089504859e-01,9.426461187669945563e-01,nan,9.136093735132158056e-01,8.473066048451769472e-01,9.569580043921045442e-01,7.664553347208020728e-01,5.931454682007386570e-01,1.000000000000000000e+00,9.875704049795027695e-01
9.219465568894474883e-01,4.015746382563289418e-01,9.192787424017088149e-01,nan,1.234981438525887265e+00,1.000000000000000000e+00,9.084410953158099655e-01,9.990537598862320179e-01,9.730888061958937740e-01,9.514045367478619619e-01,nan,9.479980761111934662e-01,9.483503515167535092e-01,9.672564840533046659e-01,9.926350315170805461e-01,9.648648743735563915e-01,9.543326240640017666e-01,9.119065431035822122e-01
9.232364854185386438e-01,9.192787424017088149e-01,2.220446049250313081e-16,nan,1.235636930241887033e+00,8.389769490235202687e-01,7.309252346908062803e-01,8.738325275649119206e-01,9.692515119696883952e-01,9.506753255346558351e-01,nan,9.623968163822005373e-01,6.774933954218419485e-01,9.506261341210912041e-01,9.720660196433418276e-01,9.139024596128089151e-01,9.899019487724247668e-01,8.098808501206831156e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.063634538161749132e+00,1.234981438525887265e+00,1.235636930241887033e+00,nan,2.220446049250313081e-16,1.134257220252278042e+00,1.179251863587079674e+00,1.015135617316930361e+00,1.247014754078689780e+00,1.173431584614474943e+00,nan,1.090635145751205348e+00,1.145316997759555422e+00,1.257584996397840493e+00,1.261520649778331782e+00,1.028812717141851296e+00,1.307748390163482322e+00,1.083666874399165536e+00
7.531847828968872838e-01,1.000000000000000000e+00,8.389769490235202687e-01,nan,1.134257220252278042e+00,0.000000000000000000e+00,9.118013061427371335e-01,9.126635772809624791e-01,9.583557833760180111e-01,8.865115419965257093e-01,nan,8.915901418992039362e-01,8.873093337141881864e-01,8.328570055221452550e-01,9.477240931834481907e-01,9.747550269590065097e-01,8.753259894003472263e-01,8.629665015989118615e-01
8.151385879105164101e-01,9.084410953158099655e-01,7.309252346908062803e-01,nan,1.179251863587079674e+00,9.118013061427371335e-01,2.553110062997785423e-01,9.410214888334017536e-01,9.480077708926573088e-01,9.059402383659866942e-01,nan,7.389398085822503903e-01,4.362824971598541768e-01,9.702096344482558088e-01,1.000000000000000000e+00,9.616177077221252922e-01,9.964789119856674038e-01,7.792130570634268061e-01
8.023867440998382339e-01,9.990537598862320179e-01,8.738325275649119206e-01,nan,1.015135617316930361e+00,9.126635772809624791e-01,9.410214888334017536e-01,0.000000000000000000e+00,9.319613001292570420e-01,9.248821811538343596e-01,nan,9.821685199906554642e-01,9.887354186798724687e-01,9.944231298401772223e-01,9.952294204236831199e-01,9.505803504661377579e-01,9.269368694376278750e-01,8.751905295750590508e-01
9.433215275089504859e-01,9.730888061958937740e-01,9.692515119696883952e-01,nan,1.247014754078689780e+00,9.583557833760180111e-01,9.480077708926573088e-01,9.319613001292570420e-01,0.000000000000000000e+00,9.841695694714178710e-01,nan,8.825716593769046270e-01,8.968178602013281431e-01,1.000000000000000000e+00,9.956036320037202625e-01,9.798113069968061861e-01,8.349199579772096369e-01,1.000000000000000000e+00
9.426461187669945563e-01,9.514045367478619619e-01,9.506753255346558351e-01,nan,1.173431584614474943e+00,8.865115419965257093e-01,9.059402383659864721e-01,9.248821811538343596e-01,9.841695694714178710e-01,3.277975764156151883e-01,nan,9.093734756989901857e-01,9.514205369406696366e-01,9.078770168342693569e-01,8.986508759423226245e-01,1.000000000000000000e+00,9.506443020086187135e-01,9.284361206058948657e-01
