# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000001110e-01,9.616470747445193812e-01,9.792562344740783908e-01,9.831869272098057166e-01,9.741165983028873265e-01,9.744163283275064646e-01,8.397564608121268481e-01,9.456996722132358091e-01,1.000000000000000000e+00,9.390077712072431027e-01,9.447459625704826003e-01,7.878546479233002886e-01,7.308695256281608765e-01,7.764226428892780918e-01,8.981049336901194557e-01,5.459268344735532796e-01,9.965015458065180631e-01,9.278393113897966948e-01
9.616470747445193812e-01,0.000000000000000000e+00,6.265260556114007340e-01,8.097248206487196454e-01,1.000000000000000000e+00,8.898618573388712427e-01,8.524699576692611469e-01,1.000000000000000000e+00,9.559362157736966958e-01,7.558572168289993121e-01,7.767841090430942508e-01,8.272552180997500004e-01,9.054298639624975831e-01,8.126064356147684187e-01,8.886622482907552412e-01,9.100251321428185491e-01,8.848479638892878807e-01,8.580795514216834619e-01
9.792562344740783908e-01,6.265260556114007340e-01,0.000000000000000000e+00,8.230144337799365495e-01,1.000000000000000000e+00,8.694097759959391603e-01,9.087555674057602451e-01,1.000000000000000000e+00,9.802730816554956483e-01,6.403989298342553926e-01,7.475585642376190165e-01,6.996031945280131170e-01,1.000000000000000000e+00,7.539244975714745056e-01,9.461418864701532927e-01,9.442425733457315840e-01,8.417786075810261837e-01,7.328091246730022990e-01
9.831869272098056056e-01,8.097248206487196454e-01,8.230144337799365495e-01,4.167377922891076780e-01,1.000000000000000000e+00,9.520230540239003059e-01,9.787512226460943765e-01,1.000000000000000000e+00,9.459965200411968311e-01,8.882068510804570494e-01,7.843322157160483865e-01,9.193311016276333181e-01,9.490605214436942383e-01,8.965425409798137846e-01,9.042745978610957636e-01,9.864845537535711362e-01,9.669939615466139893e-01,9.862591500458774973e-01
9.741165983028873265e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.339841163124171786e-01,2.998035726043697391e-01,1.000000000000000000e+00,8.828533841929724346e-01,8.254096900867790021e-01,9.583796160379663975e-01,1.000000000000000000e+00,9.143129910426621709e-01,9.815829132935133261e-01,9.583084066396077016e-01,1.000000000000000000e+00,9.272687517134412527e-01
9.744163283275064646e-01,8.898618573388712427e-01,8.694097759959391603e-01,9.520230540239003059e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.405680896847645744e-01,1.000000000000000000e+00,5.597128152120771638e-01,8.987614350394761420e-01,9.901889362975409004e-01,1.000000000000000000e+00,9.657227426851257013e-01,1.000000000000000000e+00,8.617443697504051370e-01,9.951895522180878029e-01,5.092491160621499535e-01,1.000000000000000000e+00
8.397564608121268481e-01,8.524699576692611469e-01,9.087555674057602451e-01,9.787512226460943765e-01,9.339841163124171786e-01,9.405680896847645744e-01,7.963493090279181175e-01,9.206404909202348108e-01,1.002713081181936250e+00,8.519581504158297847e-01,8.458988486828126208e-01,8.067507240077175235e-01,9.387695057184647363e-01,8.626718134824112871e-01,8.888142319304849215e-01,8.629095174584771044e-01,9.466570621928578344e-01,8.788798103397159611e-01
9.456996722132358091e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.998035726043697391e-01,1.000000000000000000e+00,9.206404909202348108e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.357243226024885008e-01,8.713169491503649500e-01,9.019637215608253822e-01,9.882273384727932042e-01,8.983466337394294676e-01,9.981088855998679898e-01,9.512455397757209052e-01,1.000000000000000000e+00,7.763410203546338151e-01
1.000000000000000000e+00,9.559362157736966958e-01,9.802730816554956483e-01,9.459965200411968311e-01,1.000000000000000000e+00,5.597128152120771638e-01,1.002713081181936250e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.704670158041095673e-01,1.000000000000000000e+00,9.534929843816459805e-01,1.000000000000000000e+00,9.861211763032008415e-01,9.061512772984774422e-01,9.862066219714240578e-01,6.738519923269871148e-01,9.903894388955026828e-01
9.390077712072431027e-01,7.558572168289993121e-01,6.403989298342553926e-01,8.882068510804570494e-01,8.828533841929724346e-01,8.987614350394761420e-01,8.519581504158300067e-01,9.357243226024885008e-01,8.704670158041095673e-01,4.111112538213232970e-01,6.543266955361786152e-01,8.291681282213646531e-01,9.333855221089231158e-01,7.553748472460093399e-01,8.841261832128985976e-01,9.353098935351058518e-01,8.966729728642870434e-01,7.848464848044891529e-01
9.447459625704826003e-01,7.767841090430942508e-01,7.475585642376190165e-01,7.843322157160483865e-01,8.254096900867790021e-01,9.901889362975409004e-01,8.458988486828126208e-01,8.713169491503649500e-01,1.000000000000000000e+00,6.543266955361786152e-01,0.000000000000000000e+00,9.019592362621751125e-01,1.000000000000000000e+00,7.812168639912593360e-01,1.000000000000000000e+00,9.576761057017701972e-01,9.663618690627794328e-01,8.978605764264977473e-01
7.878546479233002886e-01,8.272552180997500004e-01,6.996031945280131170e-01,9.193311016276333181e-01,9.583796160379663975e-01,1.000000000000000000e+00,8.067507240077175235e-01,9.019637215608253822e-01,9.534929843816459805e-01,8.291681282213646531e-01,9.019592362621751125e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.992789449046648897e-01,1.000000000000000000e+00,8.951615948273964340e-01,7.935142452754345710e-01,2.557691445805121422e-02
7.308695256281608765e-01,9.054298639624975831e-01,1.000000000000000000e+00,9.490605214436942383e-01,1.000000000000000000e+00,9.657227426851257013e-01,9.387695057184647363e-01,9.882273384727932042e-01,1.000000000000000000e+00,9.333855221089231158e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.678697915839549193e-01,8.914818781401476766e-01,7.457429699949809088e-01,9.829982358929444386e-01,9.882659184418877141e-01
7.764226428892780918e-01,8.126064356147684187e-01,7.539244975714745056e-01,8.965425409798137846e-01,9.143129910426621709e-01,1.000000000000000000e+00,8.626718134824112871e-01,8.983466337394294676e-01,9.861211763032008415e-01,7.553748472460093399e-01,7.812168639912593360e-01,7.992789449046648897e-01,9.678697915839549193e-01,0.000000000000000000e+00,9.445676365346740155e-01,8.884859887332117179e-01,8.882775783047137663e-01,7.421826143301943901e-01
8.981049336901194557e-01,8.886622482907552412e-01,9.461418864701532927e-01,9.042745978610957636e-01,9.815829132935133261e-01,8.617443697504051370e-01,8.888142319304849215e-01,9.981088855998679898e-01,9.061512772984774422e-01,8.841261832128985976e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.914818781401476766e-01,9.445676365346740155e-01,1.110223024625156540e-16,8.787149091819910218e-01,8.017825899315034199e-01,1.000000000000000000e+00
5.459268344735533907e-01,9.100251321428185491e-01,9.442425733457315840e-01,9.864845537535711362e-01,9.583084066396077016e-01,9.951895522180878029e-01,8.629095174584771044e-01,9.512455397757209052e-01,9.862066219714240578e-01,9.353098935351058518e-01,9.576761057017701972e-01,8.951615948273964340e-01,7.457429699949809088e-01,8.884859887332117179e-01,8.787149091819910218e-01,4.858361991976267724e-01,9.612715084828858947e-01,9.131766913811976139e-01
