# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.836287436887211078e-01,8.529593550271248326e-01,9.226107858572548670e-01,8.578365835044241550e-01,8.433195091142228206e-01,5.964007710022571906e-01,9.727973942570242727e-01,8.843105700842265327e-01,9.544306696753244168e-01,6.035300043952458449e-01,8.029686146181367334e-01,7.522831088057172488e-01,8.892686675462778689e-01,8.616120518852318222e-01,-2.047097478526456182e-01,8.496781154749470932e-01,8.365493377966954913e-01
9.836287436887211078e-01,4.999999999999999445e-01,8.674669521242228676e-01,9.710188688638741183e-01,7.699341555819034788e-01,9.388747688981953221e-01,9.120709114606475598e-01,8.792966976712717209e-01,9.701583774758586465e-01,8.863949409866047624e-01,9.753674476754450318e-01,9.614298433709254077e-01,9.024626497603673858e-01,9.772849585416231166e-01,9.906873288696682600e-01,9.694829314477544369e-01,9.557130598767107355e-01,9.050265766424416825e-01
8.529593550271248326e-01,8.674669521242228676e-01,0.000000000000000000e+00,9.413001106127246720e-01,8.868834883911055345e-01,1.000000000000000000e+00,8.459294301988093956e-01,7.989926015393511438e-01,1.000000000000000000e+00,9.359584467036385913e-01,9.156591528067623553e-01,7.394146209127264724e-01,9.195871763718277414e-01,9.499640680562955186e-01,1.000000000000000000e+00,8.897924867875458554e-01,8.570530923105652565e-01,9.652349108732631855e-01
9.226107858572548670e-01,9.710188688638741183e-01,9.413001106127246720e-01,2.220446049250313081e-16,9.821733516195960689e-01,9.358386390242426911e-01,9.402346398042975562e-01,8.165233643481468739e-01,9.386464689015834306e-01,8.203648934977585405e-01,8.068015824771674893e-01,8.717682981418477528e-01,9.541317329290202043e-01,9.800989744089150246e-01,9.544073822511499605e-01,9.323215713124421988e-01,9.065387455364141145e-01,9.864634565692677048e-01
8.578365835044241550e-01,7.699341555819034788e-01,8.868834883911055345e-01,9.821733516195960689e-01,4.920427918858385485e-01,8.607611569888118375e-01,8.824128294752154877e-01,7.862616267262184655e-01,9.074423257510249030e-01,8.523748707136773461e-01,9.232077245502734453e-01,9.515873585429424075e-01,8.333777967385895824e-01,9.512601123555051164e-01,9.382551825117166899e-01,9.725315501466731405e-01,8.564639568134984060e-01,9.375085557522112589e-01
8.433195091142228206e-01,9.388747688981953221e-01,1.000000000000000000e+00,9.358386390242426911e-01,8.607611569888118375e-01,-2.220446049250313081e-16,9.110325358327098222e-01,9.442736407592570158e-01,6.304189313176438159e-01,8.843171351879202113e-01,8.801741987898518138e-01,9.074107428423632271e-01,8.362487534523379562e-01,8.806400285703792630e-01,6.353218652890036955e-01,8.649538570468167098e-01,4.575030786539110439e-01,8.637936174364475583e-01
5.964007710022571906e-01,9.120709114606475598e-01,8.459294301988093956e-01,9.402346398042975562e-01,8.824128294752154877e-01,9.110325358327098222e-01,4.753198019357796622e-01,8.647212805846272721e-01,9.444333834124687410e-01,8.251366106488760011e-01,9.343187279148118529e-01,8.617624768763811893e-01,6.752386353411771180e-01,8.222505163808081496e-01,9.379806878829070049e-01,3.938618877178357569e-01,8.662417322062079261e-01,8.171479427944723373e-01
9.727973942570242727e-01,8.792966976712717209e-01,7.989926015393511438e-01,8.165233643481468739e-01,7.862616267262184655e-01,9.442736407592570158e-01,8.647212805846272721e-01,5.000000000000000000e-01,9.773284520504954553e-01,8.781056537723905819e-01,9.815781121145135124e-01,9.622671132189001275e-01,8.067182749658770025e-01,9.147837450351106181e-01,9.699082965915077903e-01,9.396024338878357085e-01,9.580398046326068506e-01,9.682227287757668721e-01
8.843105700842265327e-01,9.701583774758586465e-01,1.000000000000000000e+00,9.386464689015834306e-01,9.074423257510249030e-01,6.304189313176438159e-01,9.444333834124687410e-01,9.773284520504954553e-01,0.000000000000000000e+00,9.283364899097756862e-01,8.895595000935992980e-01,8.372717169876586762e-01,9.314053872975054382e-01,9.244794303641385991e-01,3.154412912766560995e-01,8.823086477324515453e-01,5.631425704620209860e-01,9.254040011132425025e-01
9.544306696753244168e-01,8.863949409866047624e-01,9.359584467036385913e-01,8.203648934977585405e-01,8.523748707136773461e-01,8.843171351879202113e-01,8.251366106488760011e-01,8.781056537723905819e-01,9.283364899097756862e-01,4.836643766002721168e-01,7.217954930930301494e-01,9.161164554114680225e-01,7.485398635937370315e-01,8.606450810184425038e-01,9.146947545163812698e-01,9.342001596107769590e-01,8.978494285973366296e-01,9.511970558783267027e-01
