# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.695710725584828493e-01,9.893731511862114969e-01,9.927515184124244829e-01,1.000000000000000000e+00,9.634380862727722761e-01,7.816111857138958730e-01,1.000000000000000000e+00,8.738436690395003925e-01,1.000000000000000000e+00,nan,9.978484437214955038e-01,1.923660745014110773e-02,7.620131183767849814e-01,9.482026038904565191e-01,7.100979386145633843e-01,9.812335874822554205e-01,9.351292698625964794e-01
9.695710725584828493e-01,0.000000000000000000e+00,6.852532328119956828e-01,9.838321609087596897e-01,7.573372480800646400e-01,9.880154159670574421e-01,9.752836265209132716e-01,5.326537515994639316e-01,9.706300729694579132e-01,9.551542175251814815e-01,nan,1.000000000000000000e+00,9.942373738778487180e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.164553684619706209e-01,1.000000000000000000e+00,9.462910328829606810e-01
9.893731511862114969e-01,6.852532328119956828e-01,1.110223024625156540e-16,9.881145384212639549e-01,7.493480916380796941e-01,9.668090163262048620e-01,9.722043199300763883e-01,8.122377425073958879e-01,9.392613721986299291e-01,9.076434394104964110e-01,nan,1.000000000000000000e+00,9.217130404284509249e-01,9.615523786478420432e-01,8.892892282676609916e-01,9.707767149644888072e-01,9.869532281322400680e-01,8.916475913021901789e-01
9.927515184124244829e-01,9.838321609087596897e-01,9.881145384212639549e-01,4.393641062152686683e-01,8.964906276817425912e-01,8.757168049176579094e-01,9.516324788311599780e-01,8.510668008754196379e-01,9.566738346191812070e-01,8.936984813623218837e-01,nan,9.786041421140747598e-01,9.550212862941205305e-01,1.000000000000000000e+00,9.884583814190401885e-01,9.676115787629865350e-01,7.384476932159976803e-01,9.407977079260074760e-01
1.000000000000000000e+00,7.573372480800646400e-01,7.493480916380796941e-01,8.964906276817425912e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.760563027221913490e-01,9.621782375334758663e-01,1.000000000000000000e+00,1.000000000000000000e+00,nan,1.000000000000000000e+00,5.129560190265797237e-01,1.000000000000000000e+00,8.870207873442670365e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.200344120626853250e-01
9.634380862727722761e-01,9.880154159670574421e-01,9.668090163262048620e-01,8.757168049176579094e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.693410078944068031e-01,1.000000000000000000e+00,9.402285802743064469e-01,9.835345700451385564e-01,nan,8.951597534309063686e-01,9.381150782370252239e-01,9.111852833688032227e-01,9.654168856397884468e-01,9.673565956065697247e-01,2.778916696077444737e-01,9.890653400913690385e-01
7.816111857138958730e-01,9.752836265209132716e-01,9.722043199300763883e-01,9.516324788311599780e-01,9.760563027221913490e-01,9.693410078944068031e-01,4.639485710605381064e-01,1.000000000000000000e+00,9.543112040992471901e-01,9.724740321592751924e-01,nan,8.088142252382802821e-01,7.221539699050962824e-01,9.671206445905264903e-01,9.150901905304629214e-01,9.682485467214043684e-01,1.000000000000000000e+00,9.117382435368358573e-01
1.000000000000000000e+00,5.326537515994639316e-01,8.122377425073958879e-01,8.510668008754196379e-01,9.621782375334758663e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.108498062715230104e-01,8.129663998663126945e-01,nan,1.000000000000000000e+00,1.000000000000000000e+00,7.684665273339906788e-01,1.000000000000000000e+00,8.392593987383485388e-01,1.000000000000000000e+00,9.720146828230858960e-01
8.738436690395003925e-01,9.706300729694579132e-01,9.392613721986299291e-01,9.566738346191812070e-01,1.000000000000000000e+00,9.402285802743064469e-01,9.543112040992471901e-01,9.108498062715230104e-01,0.000000000000000000e+00,1.000000000000000000e+00,nan,1.000000000000000000e+00,9.054620888736710782e-01,9.961131808597646353e-01,1.000000000000000000e+00,8.275433894662542755e-01,9.591052005547343606e-01,9.643321718633954820e-01
1.000000000000000000e+00,9.551542175251814815e-01,9.076434394104964110e-01,8.936984813623218837e-01,1.000000000000000000e+00,9.835345700451385564e-01,9.724740321592751924e-01,8.129663998663126945e-01,1.000000000000000000e+00,0.000000000000000000e+00,nan,9.104627669348085428e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.784232710783916653e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.692426238847726694e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.978484437214955038e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.786041421140747598e-01,1.000000000000000000e+00,8.951597534309063686e-01,8.088142252382802821e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.104627669348085428e-01,nan,1.110223024625156540e-16,7.121745941900881061e-01,7.721027799483433096e-01,9.403335462617999907e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.167745135410913182e-01
1.923660745014110773e-02,9.942373738778487180e-01,9.217130404284509249e-01,9.550212862941205305e-01,5.129560190265797237e-01,9.381150782370252239e-01,7.221539699050962824e-01,1.000000000000000000e+00,9.054620888736710782e-01,1.000000000000000000e+00,nan,7.121745941900881061e-01,0.000000000000000000e+00,8.140896167358658841e-01,6.966825265497131880e-01,6.364880074828933587e-01,9.649448105778860585e-01,9.296221903183439217e-01
7.620131183767849814e-01,1.000000000000000000e+00,9.615523786478420432e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.111852833688032227e-01,9.671206445905264903e-01,7.684665273339906788e-01,9.961131808597646353e-01,1.000000000000000000e+00,nan,7.721027799483433096e-01,8.140896167358658841e-01,1.110223024625156540e-16,9.584824087566224948e-01,9.727148475205813494e-01,9.504187483054807872e-01,9.841815293754458960e-01
9.482026038904565191e-01,1.000000000000000000e+00,8.892892282676609916e-01,9.884583814190401885e-01,8.870207873442670365e-01,9.654168856397884468e-01,9.150901905304629214e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.784232710783916653e-01,nan,9.403335462617999907e-01,6.966825265497131880e-01,9.584824087566224948e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.802311819174321927e-01,9.389883792239905880e-01
7.100979386145633843e-01,9.164553684619706209e-01,9.707767149644888072e-01,9.676115787629865350e-01,1.000000000000000000e+00,9.673565956065697247e-01,9.682485467214043684e-01,8.392593987383485388e-01,8.275433894662542755e-01,1.000000000000000000e+00,nan,1.000000000000000000e+00,6.364880074828933587e-01,9.727148475205813494e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.762239791352409490e-01,9.670409445262813097e-01
9.812335874822554205e-01,1.000000000000000000e+00,9.869532281322400680e-01,7.384476932159976803e-01,1.000000000000000000e+00,2.778916696077444737e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.591052005547343606e-01,1.000000000000000000e+00,nan,1.000000000000000000e+00,9.649448105778860585e-01,9.504187483054807872e-01,9.802311819174321927e-01,9.762239791352409490e-01,0.000000000000000000e+00,9.824834407550780968e-01
9.351292698625964794e-01,9.462910328829606810e-01,8.916475913021901789e-01,9.407977079260074760e-01,9.200344120626853250e-01,9.890653400913690385e-01,9.117382435368358573e-01,9.720146828230858960e-01,9.643321718633954820e-01,9.692426238847726694e-01,nan,8.167745135410913182e-01,9.296221903183439217e-01,9.841815293754458960e-01,9.389883792239905880e-01,9.670409445262813097e-01,9.824834407550780968e-01,4.999999999999999445e-01
