# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
-2.220446049250313081e-16,8.435458846274248579e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.192798327527257563e-01,9.956472164532231828e-01,6.998545083893338292e-01,8.425487956500802289e-01,9.256395344970477224e-01,8.336775672988820940e-01,1.000000000000000000e+00,7.897801586920796257e-01,1.000000000000000000e+00,8.867420038699573848e-01,6.368132728017728006e-01,7.718535392221426150e-02,1.000000000000000000e+00,2.434760746549883281e-01
8.435458846274248579e-01,5.000000000000000000e-01,9.700103271593540910e-01,9.282913817322706596e-01,6.578602444154579842e-01,9.730822876305178504e-01,7.780712353841715556e-01,6.512352348042281802e-01,9.640084307317871026e-01,7.565609425696302459e-01,9.888763027745659517e-01,9.351573271011046629e-01,9.215633714055035952e-01,9.992534916820474677e-01,9.445406623288752357e-01,8.411874879212120071e-01,9.796393576138279213e-01,6.908440654903585942e-01
1.000000000000000000e+00,9.700103271593540910e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.376908446006863018e-01,1.000000000000000000e+00,9.186793517210629645e-01,9.683831199315862115e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.678022941228242582e-01,9.838957302630707558e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.919781627624164599e-01
1.000000000000000000e+00,9.282913817322706596e-01,1.000000000000000000e+00,2.220446049250313081e-16,7.885846523618555981e-01,8.130695668181890934e-01,8.923745144994801315e-01,9.516970462181059132e-01,9.691634607831727255e-01,9.457196877411104818e-01,1.000000000000000000e+00,9.972984802203181953e-01,8.813433878249923303e-01,9.003755545213033562e-01,8.903300729327682239e-01,1.000000000000000000e+00,9.787816593740582549e-01,1.000000000000000000e+00
8.192798327527257563e-01,6.578602444154579842e-01,9.376908446006863018e-01,7.885846523618555981e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.848422849144854885e-01,5.092704492881182654e-01,9.940523414503888988e-01,4.615404409790014872e-01,1.000000000000000000e+00,9.979095866861626973e-01,8.698899558558998990e-01,9.157893982882671091e-01,9.825132679883976650e-01,7.660012171284669158e-01,1.000000000000000000e+00,9.329752443508954052e-01
9.956472164532231828e-01,9.730822876305178504e-01,1.000000000000000000e+00,8.130695668181890934e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.632806605349107931e-01,9.953253626860116832e-01,9.737098270051441906e-01,9.764511188823132848e-01,7.056666144116046091e-01,9.793992256789261219e-01,9.503456142519439709e-01,7.675792243372743240e-01,5.512984029895613425e-01,9.286279794464019632e-01,9.063895699211674817e-01,9.673989208222844027e-01
6.998545083893338292e-01,7.780712353841715556e-01,9.186793517210629645e-01,8.923745144994801315e-01,7.848422849144854885e-01,9.632806605349107931e-01,6.206827355013702086e-01,8.659920243609958712e-01,9.811056571103513591e-01,9.423227613962664728e-01,9.800679897985421496e-01,7.750861332179797003e-01,8.064845755493852408e-01,9.481572124786659117e-01,9.943628186933081148e-01,7.100077149062263837e-01,9.836376427424293745e-01,7.705956722509923473e-01
8.425487956500802289e-01,6.512352348042281802e-01,9.683831199315862115e-01,9.516970462181059132e-01,5.092704492881182654e-01,9.953253626860116832e-01,8.659920243609958712e-01,5.000000000000000000e-01,9.855880244093540021e-01,7.553285837510967937e-01,9.859010617388499487e-01,9.854146145449953487e-01,9.025573862121122337e-01,9.586017839246046002e-01,9.662397929995489854e-01,8.581058193616285523e-01,9.862726560281405153e-01,9.287081614453012168e-01
9.256395344970477224e-01,9.640084307317871026e-01,1.000000000000000000e+00,9.691634607831727255e-01,9.940523414503888988e-01,9.737098270051441906e-01,9.811056571103513591e-01,9.855880244093540021e-01,0.000000000000000000e+00,9.704970995348352059e-01,9.398606968773671744e-01,9.306396566918924140e-01,1.000000000000000000e+00,9.815082046995934340e-01,7.632242116710841184e-01,9.488713973203938279e-01,4.169898307017328998e-01,1.000000000000000000e+00
8.336775672988820940e-01,7.565609425696302459e-01,1.000000000000000000e+00,9.457196877411104818e-01,4.615404409790014872e-01,9.764511188823132848e-01,9.423227613962664728e-01,7.553285837510967937e-01,9.704970995348352059e-01,3.330669073875469621e-16,9.091643976929658644e-01,9.257416910724187709e-01,8.765025718014634037e-01,9.006456840941765574e-01,1.000000000000000000e+00,8.464831066599001197e-01,9.749657687074901879e-01,7.986212352672046322e-01
1.000000000000000000e+00,9.888763027745659517e-01,9.678022941228242582e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.056666144116046091e-01,9.800679897985421496e-01,9.859010617388499487e-01,9.398606968773671744e-01,9.091643976929658644e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.711857453439119992e-01,9.736966551038832574e-01,9.583013979994379206e-01,1.000000000000000000e+00,9.442625729973639359e-01,1.000000000000000000e+00
7.897801586920796257e-01,9.351573271011046629e-01,9.838957302630707558e-01,9.972984802203181953e-01,9.979095866861626973e-01,9.793992256789261219e-01,7.750861332179797003e-01,9.854146145449953487e-01,9.306396566918924140e-01,9.257416910724187709e-01,1.000000000000000000e+00,5.000000000000000000e-01,7.836277901012609348e-01,1.000000000000000000e+00,9.649974978738349307e-01,9.229374813239816788e-01,9.029756283674118533e-01,8.194202277479014640e-01
1.000000000000000000e+00,9.215633714055035952e-01,1.000000000000000000e+00,8.813433878249923303e-01,8.698899558558998990e-01,9.503456142519439709e-01,8.064845755493852408e-01,9.025573862121122337e-01,1.000000000000000000e+00,8.765025718014634037e-01,9.711857453439119992e-01,7.836277901012609348e-01,-2.220446049250313081e-16,6.995882769913603916e-01,1.000000000000000000e+00,9.475221178541456402e-01,9.831842176664331578e-01,1.000000000000000000e+00
8.867420038699573848e-01,9.992534916820474677e-01,1.000000000000000000e+00,9.003755545213033562e-01,9.157893982882671091e-01,7.675792243372743240e-01,9.481572124786659117e-01,9.586017839246046002e-01,9.815082046995934340e-01,9.006456840941765574e-01,9.736966551038832574e-01,1.000000000000000000e+00,6.995882769913603916e-01,1.110223024625156540e-16,8.109619418054389017e-01,9.379467025726409002e-01,1.000000000000000000e+00,9.604424586135490438e-01
6.368132728017728006e-01,9.445406623288752357e-01,1.000000000000000000e+00,8.903300729327682239e-01,9.825132679883976650e-01,5.512984029895613425e-01,9.943628186933081148e-01,9.662397929995489854e-01,7.632242116710841184e-01,1.000000000000000000e+00,9.583013979994379206e-01,9.649974978738349307e-01,1.000000000000000000e+00,8.109619418054389017e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.992669571336425971e-01,1.000000000000000000e+00
7.718535392221426150e-02,8.411874879212120071e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.660012171284669158e-01,9.286279794464019632e-01,7.100077149062263837e-01,8.581058193616285523e-01,9.488713973203938279e-01,8.464831066599001197e-01,1.000000000000000000e+00,9.229374813239816788e-01,9.475221178541456402e-01,9.379467025726409002e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.742788234344903486e-01,2.628654275041105715e-01
