# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.808755031817958381e-01,7.904816597520221144e-01,9.769679632790451151e-01,5.734331038486434329e-01,9.689677031166232801e-01,2.056111487632169554e-01,9.796694768476742476e-01,6.047998789941991804e-01,9.182053101265791328e-01,8.115433605146049612e-01,3.712419927142310838e-01,9.354160040334210668e-01,8.968335699621985402e-01,1.000000000000000000e+00,1.725658881925254962e-01,1.000000000000000000e+00,8.879812953199620607e-01
9.808755031817958381e-01,2.220446049250313081e-16,9.605250854328944987e-01,9.782047935974163000e-01,9.284547820461684919e-01,7.779497216791451120e-01,9.929144457111908073e-01,6.081206426059762027e-01,1.000000000000000000e+00,9.655870047649165455e-01,9.445212176868256204e-01,9.968022085907580765e-01,7.733673863694053852e-01,9.637427662662565453e-01,7.104012089545821418e-01,9.075320944459164263e-01,9.825778838245883273e-01,9.014156882687288652e-01
7.904816597520221144e-01,9.605250854328944987e-01,0.000000000000000000e+00,9.990748573755618978e-01,7.141299243324041868e-01,1.000000000000000000e+00,8.095001367287534277e-01,1.000000000000000000e+00,9.459630983059763576e-01,9.131282501334551105e-01,9.319002572033736609e-01,7.025247452387783920e-01,8.708071111463475678e-01,9.325190579454674111e-01,1.000000000000000000e+00,8.398656339593111309e-01,9.567772791064969029e-01,9.281220126345716137e-01
9.769679632790451151e-01,9.782047935974163000e-01,9.990748573755618978e-01,1.110223024625156540e-16,9.759158078443603834e-01,8.303091188468392225e-01,9.503584631490626933e-01,9.967705682098875197e-01,1.000000000000000000e+00,8.354654943450795512e-01,1.000000000000000000e+00,9.508165345102425059e-01,9.521494840760281742e-01,9.836190711727031966e-01,9.255245711496634664e-01,9.346584863836346901e-01,9.396557456586399626e-01,9.983448164594576069e-01
5.734331038486434329e-01,9.284547820461684919e-01,7.141299243324041868e-01,9.759158078443603834e-01,4.440892098500626162e-16,8.911770988013359984e-01,6.464869132358996850e-01,1.000000000000000000e+00,9.452890288617898928e-01,9.176557852589567466e-01,9.093983169903641084e-01,6.542999423738233844e-01,6.003150180367445854e-01,9.297532693252779090e-01,1.000000000000000000e+00,6.380088140600305158e-01,1.000000000000000000e+00,8.751593597998853502e-01
9.689677031166232801e-01,7.779497216791451120e-01,1.000000000000000000e+00,8.303091188468392225e-01,8.911770988013359984e-01,0.000000000000000000e+00,9.731317334852843670e-01,9.896644389351116899e-01,9.817147481403297737e-01,9.497637293856311391e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.315722075065679952e-01,9.908469465005769194e-01,9.103092847907423568e-01,9.614263074450617452e-01,3.992061407197632361e-01,1.000000000000000000e+00
2.056111487632169554e-01,9.929144457111908073e-01,8.095001367287534277e-01,9.503584631490626933e-01,6.464869132358996850e-01,9.731317334852843670e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.883392296153259649e-01,9.066579782495785000e-01,7.842831979519244712e-01,4.130519818233920892e-01,6.588921033703012409e-01,9.083588734861349767e-01,1.000000000000000000e+00,2.504381973155455077e-01,9.775786153942254142e-01,8.764066716496711207e-01
9.796694768476742476e-01,6.081206426059762027e-01,1.000000000000000000e+00,9.967705682098875197e-01,1.000000000000000000e+00,9.896644389351116899e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.706420573432244181e-01,1.000000000000000000e+00,9.543746344578979413e-01,1.000000000000000000e+00,7.149961922492640287e-01,9.871390428689097440e-01,7.563756651847175494e-01,9.396598050690261328e-01,9.674067337279120826e-01,9.803650647137417407e-01
6.047998789941991804e-01,1.000000000000000000e+00,9.459630983059763576e-01,1.000000000000000000e+00,9.452890288617898928e-01,9.817147481403297737e-01,8.883392296153259649e-01,8.706420573432244181e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.960481636602489530e-01,9.394489182767157276e-01,1.000000000000000000e+00,9.966795010825320045e-01,9.554380518082303819e-01,9.694822314812963082e-01,9.248708647490569978e-01,1.000000000000000000e+00
9.182053101265791328e-01,9.655870047649165455e-01,9.131282501334551105e-01,8.354654943450795512e-01,9.176557852589567466e-01,9.497637293856311391e-01,9.066579782495785000e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.330669073875469621e-16,8.785779443369485797e-01,8.839058276925246815e-01,9.711226714009444372e-01,9.153549456696770115e-01,1.000000000000000000e+00,9.736958273710729639e-01,9.315397557429625497e-01,9.152049371693800062e-01
