# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.472829646999652242e-01,9.299953657255117800e-01,9.192116241949040978e-01,6.003146182066279035e-01,9.651311016386587838e-01,9.370039855419415309e-01,1.000000000000000000e+00,1.082484575172996566e+00,9.355656096618503170e-01,3.195662780223819111e-01,9.370837625459595976e-01,9.508321807755257815e-01,2.398181415854241383e-01,9.478552611129220651e-01,9.500329597406921289e-01
1.000000000000000000e+00,2.220446049250313081e-16,9.217609674073594661e-01,8.515327695448826617e-01,7.215001633936579672e-01,4.893265591666891012e-01,9.591167898770647238e-01,6.624079267599101151e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.263382442519563220e+00,9.325691500627433239e-01,9.820681034879255034e-01,9.367607652644227567e-01,1.000000000000000000e+00,9.956477513757233666e-01,9.365891633088975210e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.217609674073594661e-01,2.507466199962042896e-01,9.516872309991171175e-01,7.910804802964463978e-01,8.036582629961772639e-01,9.731705069916787298e-01,7.376341868311155903e-01,9.534871015570576258e-01,7.285094274793975089e-01,1.042105374264550743e+00,8.461778361225071876e-01,9.876920338128309940e-01,9.188390013786411625e-01,9.659637774882995354e-01,7.985697056006216821e-01,9.506882731575336809e-01,8.727178031840912009e-01
8.472829646999652242e-01,8.515327695448826617e-01,9.516872309991171175e-01,2.220446049250313081e-16,8.389652647685867937e-01,9.171595216261487771e-01,8.736910538175897134e-01,8.591774776345530995e-01,1.000000000000000000e+00,9.462696045526486355e-01,1.168602213404337453e+00,9.012180334616977095e-01,8.182434151991138105e-01,9.615116451250137475e-01,9.766522886903510337e-01,7.739278922283014950e-01,9.805289061480023660e-01,8.323469208062644897e-01
9.299953657255117800e-01,7.215001633936579672e-01,7.910804802964463978e-01,8.389652647685867937e-01,1.110223024625156540e-16,5.947351281873187734e-01,9.650073950508385456e-01,5.195674242881496152e-01,8.883708649402070057e-01,6.351446712256714200e-01,1.174766683291955882e+00,9.092007742430734396e-01,9.156680642165375694e-01,8.729428780604819860e-01,9.268011979770757192e-01,8.378858687197661137e-01,9.091370780236135429e-01,8.234107624721521690e-01
9.192116241949040978e-01,4.893265591666891012e-01,8.036582629961772639e-01,9.171595216261487771e-01,5.947351281873187734e-01,1.110223024625156540e-16,9.577727791045265171e-01,7.537829016178919650e-01,8.887245273131313406e-01,7.354408465852120269e-01,9.624633788545644553e-01,9.339521511012836008e-01,9.272312423333279874e-01,9.447372810787387776e-01,6.945759724876506835e-01,9.017671067542143426e-01,9.480739879848708584e-01,9.779902388155419235e-01
6.003146182066279035e-01,9.591167898770647238e-01,9.731705069916787298e-01,8.736910538175897134e-01,9.650073950508385456e-01,9.577727791045265171e-01,5.000000000000000000e-01,9.688479370088689535e-01,9.638915485787831194e-01,8.877619423259544007e-01,1.147006979890318412e+00,9.929629393960495154e-01,9.499247596892950174e-01,9.739179826972443887e-01,9.518808079968907876e-01,6.489869691574838839e-01,9.706794228490639442e-01,9.220037224281179000e-01
9.651311016386587838e-01,6.624079267599101151e-01,7.376341868311155903e-01,8.591774776345530995e-01,5.195674242881496152e-01,7.537829016178919650e-01,9.688479370088689535e-01,0.000000000000000000e+00,8.714509107440391311e-01,7.501649394149492167e-01,1.187365648957142028e+00,9.343139215923269569e-01,1.000000000000000000e+00,8.729185320811790882e-01,9.960479585846753192e-01,9.275852482628278439e-01,9.211901498715426850e-01,9.192051979402957596e-01
9.370039855419415309e-01,1.000000000000000000e+00,9.534871015570576258e-01,1.000000000000000000e+00,8.883708649402070057e-01,8.887245273131313406e-01,9.638915485787831194e-01,8.714509107440391311e-01,0.000000000000000000e+00,7.884198982237788922e-01,1.236176068502435887e+00,8.905080191937414513e-01,8.961525096922181577e-01,6.870386560323615832e-01,5.912160587273415091e-01,9.648093321020025925e-01,7.704921163464566458e-01,8.855882001928793157e-01
1.000000000000000000e+00,1.000000000000000000e+00,7.285094274793975089e-01,9.462696045526486355e-01,6.351446712256714200e-01,7.354408465852120269e-01,8.877619423259544007e-01,7.501649394149492167e-01,7.884198982237788922e-01,2.220446049250313081e-16,1.119297735104049618e+00,8.726328599554691312e-01,8.489048748717432646e-01,8.637537513438603431e-01,9.032353820003086176e-01,9.553101159377878071e-01,9.089545677411459135e-01,9.279374675424556518e-01
1.082484575172996566e+00,1.263382442519563220e+00,1.042105374264550743e+00,1.168602213404337453e+00,1.174766683291955882e+00,9.624633788545644553e-01,1.147006979890318412e+00,1.187365648957142028e+00,1.236176068502435887e+00,1.119297735104049618e+00,2.220446049250313081e-16,1.125588644201492183e+00,1.131354257922518869e+00,1.277653961775211844e+00,1.245250621204792685e+00,1.053467573630649357e+00,1.238481527890768819e+00,1.126225055154140842e+00
9.355656096618503170e-01,9.325691500627433239e-01,8.461778361225071876e-01,9.012180334616977095e-01,9.092007742430734396e-01,9.339521511012836008e-01,9.929629393960495154e-01,9.343139215923269569e-01,8.905080191937414513e-01,8.726328599554691312e-01,1.125588644201492183e+00,0.000000000000000000e+00,4.672829615548916848e-01,9.635843782217445863e-01,9.610023492800617850e-01,6.520506502640668334e-01,9.418561536522276345e-01,5.441996153166790418e-01
3.195662780223819111e-01,9.820681034879255034e-01,9.876920338128309940e-01,8.182434151991138105e-01,9.156680642165375694e-01,9.272312423333279874e-01,9.499247596892950174e-01,1.000000000000000000e+00,8.961525096922181577e-01,8.489048748717432646e-01,1.131354257922518869e+00,4.672829615548916848e-01,-2.220446049250313081e-16,9.586237678847316923e-01,9.568953209638062507e-01,-3.810782991306149725e-02,9.462189257921940211e-01,2.672572746977032176e-01
9.370837625459595976e-01,9.367607652644227567e-01,9.188390013786411625e-01,9.615116451250137475e-01,8.729428780604819860e-01,9.447372810787387776e-01,9.739179826972443887e-01,8.729185320811790882e-01,6.870386560323615832e-01,8.637537513438603431e-01,1.277653961775211844e+00,9.635843782217445863e-01,9.586237678847316923e-01,1.110223024625156540e-16,8.583837267702625340e-01,9.085887317994643109e-01,9.720213887197011182e-01,9.444346952304026876e-01
9.508321807755257815e-01,1.000000000000000000e+00,9.659637774882995354e-01,9.766522886903510337e-01,9.268011979770757192e-01,6.945759724876506835e-01,9.518808079968907876e-01,9.960479585846753192e-01,5.912160587273415091e-01,9.032353820003086176e-01,1.245250621204792685e+00,9.610023492800617850e-01,9.568953209638062507e-01,8.583837267702625340e-01,0.000000000000000000e+00,8.946279172804898483e-01,9.280335098018699380e-01,9.558879584014602360e-01
2.398181415854241383e-01,9.956477513757233666e-01,7.985697056006216821e-01,7.739278922283014950e-01,8.378858687197661137e-01,9.017671067542143426e-01,6.489869691574838839e-01,9.275852482628278439e-01,9.648093321020025925e-01,9.553101159377878071e-01,1.053467573630649357e+00,6.520506502640668334e-01,-3.810782991306149725e-02,9.085887317994643109e-01,8.946279172804898483e-01,2.220446049250313081e-16,9.273487605924300992e-01,1.977360371106551273e-02
9.478552611129220651e-01,9.365891633088975210e-01,9.506882731575336809e-01,9.805289061480023660e-01,9.091370780236135429e-01,9.480739879848708584e-01,9.706794228490639442e-01,9.211901498715426850e-01,7.704921163464566458e-01,9.089545677411459135e-01,1.238481527890768819e+00,9.418561536522276345e-01,9.462189257921940211e-01,9.720213887197011182e-01,9.280335098018699380e-01,9.273487605924300992e-01,-2.220446049250313081e-16,9.500552470313738951e-01
9.500329597406921289e-01,1.000000000000000000e+00,8.727178031840912009e-01,8.323469208062644897e-01,8.234107624721521690e-01,9.779902388155419235e-01,9.220037224281179000e-01,9.192051979402957596e-01,8.855882001928793157e-01,9.279374675424556518e-01,1.126225055154140842e+00,5.441996153166790418e-01,2.672572746977032176e-01,9.444346952304026876e-01,9.558879584014602360e-01,1.977360371106551273e-02,9.500552470313738951e-01,0.000000000000000000e+00
