# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,6.650768157897155586e-01,7.502660773626432800e-01,1.000000000000000000e+00,7.057146460633882956e-01,9.576471854158166153e-01,3.935873590889659157e-01,7.123242816129236044e-01,6.426016077865015497e-01,1.000000000000000000e+00,8.691803167933274121e-01,3.290562139353981896e-01,1.391061606636390113e-01,4.967219885094259491e-01,1.000000000000000000e+00,4.031674882612037436e-01,1.000000000000000000e+00,5.911060659265412465e-01
6.650768157897155586e-01,1.110223024625156540e-16,7.645945011544910130e-01,9.662293304750687595e-01,4.305642550656102463e-01,8.453159911120528003e-01,4.535556218332574829e-01,7.012653990697839124e-01,8.083817797027024188e-01,5.864999028063275777e-01,8.688602301736301214e-01,6.748785483458575873e-01,6.972177538918201689e-01,5.675863342199828354e-01,1.000000000000000000e+00,5.949692781238056227e-01,8.594678122730055048e-01,6.405672245577241908e-01
7.502660773626432800e-01,7.645945011544910130e-01,2.220446049250313081e-16,9.986336088356676521e-01,8.122529966757743303e-01,9.785371673352222244e-01,6.377063691119899680e-01,8.584781780375893012e-01,9.811685876662924466e-01,8.407546898789919343e-01,9.134038016732415333e-01,8.160899698494962218e-01,8.711155343707931431e-01,7.560568590631056018e-01,1.000000000000000000e+00,7.998794026682480851e-01,9.912762278426406892e-01,8.584421004735042215e-01
1.000000000000000000e+00,9.662293304750687595e-01,9.986336088356676521e-01,0.000000000000000000e+00,9.703284230874910099e-01,9.607925089403047680e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.515967156105084035e-01,9.665026285047909615e-01,4.235557718016017548e-01,9.289413193143877256e-01,9.931437647767704657e-01,9.928417921294969695e-01,9.723865815771933763e-01,9.643248737325892384e-01,9.844481197456086408e-01,9.232238956331129121e-01
7.057146460633882956e-01,4.305642550656102463e-01,8.122529966757743303e-01,9.703284230874910099e-01,1.110223024625156540e-16,9.034143846202309369e-01,6.068130171689096741e-01,3.067721756947938694e-01,9.572870012133113393e-01,7.964368864104371948e-01,1.000000000000000000e+00,6.833638088700482172e-01,6.445739705041388934e-01,4.942450254286837041e-01,8.690844188730468822e-01,6.876862895501962836e-01,9.464909122172088241e-01,5.897335149996023596e-01
9.576471854158166153e-01,8.453159911120528003e-01,9.785371673352222244e-01,9.607925089403047680e-01,9.034143846202309369e-01,-2.220446049250313081e-16,8.986459623204422487e-01,9.652651579628643841e-01,7.584859923766755774e-01,8.559976446282954177e-01,9.725461746986563405e-01,9.537247028136300875e-01,9.517565838528319055e-01,9.232877210187213635e-01,8.726876056062493614e-01,9.495541114146874850e-01,5.474335890126834636e-01,9.272004787845380402e-01
3.935873590889659157e-01,4.535556218332574829e-01,6.377063691119899680e-01,1.000000000000000000e+00,6.068130171689096741e-01,8.986459623204422487e-01,0.000000000000000000e+00,8.447431453965996706e-01,8.833763113004647893e-01,5.944187104223375151e-01,9.749756866736470906e-01,4.493506343621903598e-01,4.789473140508057059e-01,4.805547364941469279e-01,1.000000000000000000e+00,3.529446242792548816e-01,8.798404433301432181e-01,5.387896269630207957e-01
7.123242816129236044e-01,7.012653990697839124e-01,8.584781780375893012e-01,1.000000000000000000e+00,3.067721756947938694e-01,9.652651579628643841e-01,8.447431453965996706e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.688218068986366394e-01,9.633638298389974874e-01,6.994912797265919746e-01,7.431414864744643189e-01,8.117138975098512343e-01,9.941093168034119687e-01,6.247861456472435515e-01,9.477756101698062707e-01,7.029910275724099433e-01
6.426016077865015497e-01,8.083817797027024188e-01,9.811685876662924466e-01,9.515967156105084035e-01,9.572870012133113393e-01,7.584859923766755774e-01,8.833763113004647893e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.608962562579879352e-01,9.976054894334259737e-01,1.000000000000000000e+00,9.532092860825092107e-01,9.933775940109990099e-01,6.804687663790222052e-01,1.000000000000000000e+00,7.556317551533188182e-01,9.411195864485091267e-01
1.000000000000000000e+00,5.864999028063275777e-01,8.407546898789919343e-01,9.665026285047909615e-01,7.964368864104371948e-01,8.559976446282954177e-01,5.944187104223375151e-01,8.688218068986366394e-01,8.608962562579879352e-01,0.000000000000000000e+00,9.744664148652955049e-01,9.302326587530223012e-01,8.968108153446305852e-01,6.862414287619267306e-01,9.673920284507107059e-01,8.432047166502282254e-01,8.390866021483835979e-01,8.614982876169603454e-01
