# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.832266237122472274e-01,1.051082354603752878e+00,9.310503599480315362e-01,nan,7.431571586019407594e-01,8.658555027910442847e-01,9.205160864800838727e-01,9.682864837491926835e-01,9.412304117799982217e-01,9.151997121896436882e-01,9.084863382982946156e-01,8.512624306739944302e-01,1.000000000000000000e+00,9.855336926919220364e-01,1.000000000000000000e+00,9.006544114319632310e-01,9.678005663471830333e-01,8.045458228376147769e-01
1.051082354603752878e+00,5.756570367544873168e-01,9.891971707037785499e-01,nan,9.493554580685109601e-01,9.386241209359190707e-01,8.796920181964945629e-01,9.046076383413313993e-01,1.108852317736897186e+00,9.345034436807001521e-01,1.082032264911769515e+00,9.999035853381538219e-01,1.008222031467141733e+00,9.130499244484281407e-01,1.106995651471752495e+00,1.066028228631902941e+00,9.648177212280811821e-01,9.873359579862247548e-01
9.310503599480315362e-01,9.891971707037785499e-01,5.000000000000000000e-01,nan,9.822722678439212984e-01,8.785876439938608007e-01,8.698208933180635594e-01,7.599571206620034935e-01,9.848623122178530309e-01,8.376292856160971745e-01,9.765054259254093427e-01,8.863991468634269122e-01,9.559335568556766027e-01,9.165690330060285440e-01,8.694412234315885835e-01,7.074541884789558033e-01,8.195434397941190330e-01,8.952544339379602256e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.431571586019407594e-01,9.493554580685109601e-01,9.822722678439212984e-01,nan,1.110223024625156540e-16,9.479632715446770774e-01,8.591037735565080213e-01,2.889275130172075379e-01,9.813955885352825259e-01,9.518689424738939753e-01,9.453727459220885310e-01,9.419102932123374350e-01,1.000000000000000000e+00,9.060841231667692286e-01,9.333123984207338797e-01,9.444721356905004805e-01,8.809693794061398409e-01,6.385513782107379299e-01
8.658555027910442847e-01,9.386241209359190707e-01,8.785876439938608007e-01,nan,9.479632715446770774e-01,1.110223024625156540e-16,9.095654704856571682e-01,9.617954264365381478e-01,8.507025364916116494e-01,9.210931916083637816e-01,8.386237421937572378e-01,8.962044359538131610e-01,9.098688805313522865e-01,9.165107779497975171e-01,8.521757959937508176e-01,9.073186048569107376e-01,7.180725632376832035e-01,9.239378453374149647e-01
9.205160864800838727e-01,8.796920181964945629e-01,8.698208933180635594e-01,nan,8.591037735565080213e-01,9.095654704856571682e-01,2.405440603802216359e-01,8.526733990035719746e-01,9.846841937541465084e-01,8.935585779245934779e-01,8.956404793579498813e-01,8.468345545961541987e-01,9.824033906852031039e-01,5.456070893520486020e-01,9.902993261621610976e-01,4.999994721942226938e-01,8.389310159491703001e-01,8.172908707039052700e-01
9.682864837491926835e-01,9.046076383413313993e-01,7.599571206620034935e-01,nan,2.889275130172075379e-01,9.617954264365381478e-01,8.526733990035719746e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.132522510211361633e-01,1.000000000000000000e+00,9.459966502571436342e-01,1.000000000000000000e+00,8.960111471199619926e-01,9.884129747085831363e-01,9.310429190655562515e-01,9.903443921748752432e-01,7.828947682844598077e-01
9.412304117799982217e-01,1.108852317736897186e+00,9.848623122178530309e-01,nan,9.813955885352825259e-01,8.507025364916116494e-01,9.846841937541465084e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.882027230336125623e-01,9.680397326557371729e-01,9.787526033264154490e-01,4.501963021262375131e-01,9.722833404471084018e-01,9.924026185474190687e-01,8.990560751919230986e-01,9.721155513680097560e-01,9.055224197795622709e-01
9.151997121896437992e-01,9.345034436807001521e-01,8.376292856160971745e-01,nan,9.518689424738939753e-01,9.210931916083637816e-01,8.935585779245934779e-01,9.132522510211361633e-01,9.882027230336125623e-01,3.429534775651204570e-01,1.000000000000000000e+00,8.947409354837507767e-01,9.340856950387506075e-01,9.116901829514245659e-01,9.847738680259248145e-01,9.271539203231464743e-01,8.530722703558732967e-01,8.321159788592644713e-01
9.084863382982946156e-01,1.082032264911769515e+00,9.765054259254093427e-01,nan,9.453727459220885310e-01,8.386237421937572378e-01,8.956404793579498813e-01,1.000000000000000000e+00,9.680397326557371729e-01,1.000000000000000000e+00,2.220446049250313081e-16,8.505172688239819312e-01,9.158825830865481299e-01,1.000000000000000000e+00,9.433506715877314486e-01,7.333720959937257700e-01,8.403608336921296607e-01,8.734096963422974813e-01
8.512624306739944302e-01,9.999035853381538219e-01,8.863991468634269122e-01,nan,9.419102932123374350e-01,8.962044359538131610e-01,8.468345545961541987e-01,9.459966502571436342e-01,9.787526033264154490e-01,8.947409354837507767e-01,8.505172688239819312e-01,4.837303423585857520e-01,9.451785711935254408e-01,9.920117025295138724e-01,9.904192410251713152e-01,8.762491607387705717e-01,9.358216177787692658e-01,4.842788303242295256e-01
1.000000000000000000e+00,1.008222031467141733e+00,9.559335568556766027e-01,nan,1.000000000000000000e+00,9.098688805313522865e-01,9.824033906852031039e-01,1.000000000000000000e+00,4.501963021262375131e-01,9.340856950387506075e-01,9.158825830865481299e-01,9.451785711935254408e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.931962133486093025e-01,8.900437434085410882e-01,8.974238683576982734e-01
9.855336926919220364e-01,9.130499244484281407e-01,9.165690330060285440e-01,nan,9.060841231667692286e-01,9.165107779497975171e-01,5.456070893520486020e-01,8.960111471199619926e-01,9.722833404471084018e-01,9.116901829514245659e-01,1.000000000000000000e+00,9.920117025295138724e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.625357880858122384e-01,9.047471125896419109e-01,9.933842819078333441e-01
1.000000000000000000e+00,1.106995651471752495e+00,8.694412234315885835e-01,nan,9.333123984207338797e-01,8.521757959937508176e-01,9.902993261621610976e-01,9.884129747085831363e-01,9.924026185474190687e-01,9.847738680259248145e-01,9.433506715877314486e-01,9.904192410251713152e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.885111894151251688e-01,9.819931396220304975e-01,1.000000000000000000e+00
9.006544114319632310e-01,1.066028228631902941e+00,7.074541884789558033e-01,nan,9.444721356905004805e-01,9.073186048569107376e-01,4.999994721942226938e-01,9.310429190655562515e-01,8.990560751919230986e-01,9.271539203231464743e-01,7.333720959937257700e-01,8.762491607387705717e-01,9.931962133486093025e-01,7.625357880858122384e-01,9.885111894151251688e-01,0.000000000000000000e+00,8.607883689057633791e-01,8.751093742701965272e-01
9.678005663471830333e-01,9.648177212280811821e-01,8.195434397941190330e-01,nan,8.809693794061398409e-01,7.180725632376832035e-01,8.389310159491703001e-01,9.903443921748752432e-01,9.721155513680097560e-01,8.530722703558732967e-01,8.403608336921296607e-01,9.358216177787692658e-01,8.900437434085410882e-01,9.047471125896419109e-01,9.819931396220304975e-01,8.607883689057633791e-01,0.000000000000000000e+00,8.980168457089834355e-01
8.045458228376147769e-01,9.873359579862247548e-01,8.952544339379602256e-01,nan,6.385513782107379299e-01,9.239378453374149647e-01,8.172908707039052700e-01,7.828947682844598077e-01,9.055224197795622709e-01,8.321159788592644713e-01,8.734096963422974813e-01,4.842788303242295256e-01,8.974238683576982734e-01,9.933842819078333441e-01,1.000000000000000000e+00,8.751093742701965272e-01,8.980168457089834355e-01,0.000000000000000000e+00
