# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.079057625887051675e+00,8.863747243979327450e-01,7.586623425363251405e-01,9.798329742049919355e-01,8.830935881749620853e-01,3.881317968518277484e-01,8.992143622709771744e-01,9.811936890636073771e-01,8.981299849121496814e-01,9.509795764645709859e-01,7.812283897246929953e-01,7.236722604357690436e-01,7.772605352502044429e-01,9.357616414109216629e-01,3.944308099448814442e-01,9.148540394022883770e-01,8.985172706288031552e-01
1.079057625887051675e+00,0.000000000000000000e+00,1.028907543162035143e+00,1.100594460966676902e+00,7.801477193937117471e-01,1.051306585825093398e+00,1.059577404986745242e+00,1.052107103098052665e+00,1.194970122623383313e+00,9.802120971060362953e-01,1.165533952250573435e+00,9.308366078270255972e-01,1.001397977395711347e+00,9.286817222406694716e-01,1.317768578832068105e+00,1.126951254636211930e+00,1.134406993539344155e+00,9.082164889156308929e-01
8.863747243979327450e-01,1.028907543162035143e+00,-2.220446049250313081e-16,7.940630105761317115e-01,1.000000000000000000e+00,9.409288511937706767e-01,9.242811675586048992e-01,1.000000000000000000e+00,9.689888314552571602e-01,9.236501599630991821e-01,1.000000000000000000e+00,6.825550402270492700e-01,6.155314672658931396e-01,8.530784409783433997e-01,9.705840807552179594e-01,8.232902009477148786e-01,9.555786455555193015e-01,6.745233657277215356e-01
7.586623425363251405e-01,1.100594460966676902e+00,7.940630105761317115e-01,1.110223024625156540e-16,9.493938761063929199e-01,3.605325352461511423e-01,8.640007418227073632e-01,1.000000000000000000e+00,8.643659506212231225e-01,7.811631029672216897e-01,8.782736456010793447e-01,9.079636060080936710e-01,3.036573127009174478e-01,9.512647350124570078e-01,9.503347342299141021e-01,7.889380697720680402e-01,8.216450939047618141e-01,9.447212847764799859e-01
9.798329742049919355e-01,7.801477193937117471e-01,1.000000000000000000e+00,9.493938761063929199e-01,0.000000000000000000e+00,9.915333439338880339e-01,9.477155637104692776e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.805368207480354981e-01,9.849575810543965693e-01,9.756898632260196935e-01,1.000000000000000000e+00,9.985937125575594653e-01,9.977019474619265305e-01,9.484451424611577419e-01,9.815171146518877343e-01,9.815425438484987053e-01
8.830935881749620853e-01,1.051306585825093398e+00,9.409288511937706767e-01,3.605325352461511423e-01,9.915333439338880339e-01,2.220446049250313081e-16,9.173299099573027915e-01,9.551921941629378798e-01,7.725314082367273905e-01,9.283443248836678041e-01,9.024643058710124510e-01,8.785506262426897583e-01,8.994162077190820392e-01,9.756055592862115100e-01,9.603754031227415000e-01,8.802333206430216217e-01,4.846684693421741130e-01,8.847845669991758477e-01
3.881317968518277484e-01,1.059577404986745242e+00,9.242811675586048992e-01,8.640007418227073632e-01,9.477155637104692776e-01,9.173299099573027915e-01,1.110223024625156540e-16,8.905058533895147121e-01,9.998540946267184815e-01,9.631913470501476393e-01,9.359817961858177826e-01,6.640186036079602783e-01,7.413065793239553836e-01,7.731543684934387706e-01,9.665455128749214087e-01,5.053682992659056517e-01,9.305631373365721437e-01,9.269913887789963391e-01
8.992143622709771744e-01,1.052107103098052665e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.551921941629378798e-01,8.905058533895147121e-01,0.000000000000000000e+00,8.977180128920577706e-01,9.529671616742317886e-01,9.259660387652237645e-01,9.139757891613220497e-01,1.000000000000000000e+00,9.366377845403306424e-01,8.451589398838875722e-01,1.000000000000000000e+00,9.624375896618225790e-01,9.337091926537171016e-01
9.811936890636073771e-01,1.194970122623383313e+00,9.689888314552571602e-01,8.643659506212231225e-01,1.000000000000000000e+00,7.725314082367273905e-01,9.998540946267184815e-01,8.977180128920577706e-01,0.000000000000000000e+00,9.958692267424402722e-01,9.635480211566976871e-01,8.757407201619753501e-01,9.585136504092380827e-01,9.924023786447571105e-01,6.734059433935839500e-01,9.634443618302647172e-01,1.000000000000000000e+00,8.678929733092287657e-01
8.981299849121496814e-01,9.802120971060362953e-01,9.236501599630991821e-01,7.811631029672216897e-01,9.805368207480354981e-01,9.283443248836678041e-01,9.631913470501476393e-01,9.529671616742317886e-01,9.958692267424402722e-01,0.000000000000000000e+00,8.885054256381027527e-01,8.604922376787180749e-01,9.880069323901449208e-01,5.845801406501638375e-01,9.542184824606909643e-01,9.697982487088375736e-01,8.912483443982673892e-01,7.999447196590856457e-01
