# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,8.778850641916972064e-01,9.250330427407602585e-01,1.000000000000000000e+00,9.657962644080538839e-01,4.554752827139536553e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.976131586610073043e-01,1.000000000000000000e+00,6.686178770987791786e-01,8.094058245088888714e-01,1.000000000000000000e+00,6.882876610702948206e-01,5.205835641477843945e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.817174755892323024e-01,9.281991926589693298e-01,1.000000000000000000e+00,9.800663768414119570e-01,1.000000000000000000e+00,4.980863235259083144e-01,1.000000000000000000e+00,9.505395009766181014e-01,9.289790088364426879e-01,9.290337564798762937e-01,9.697404660520888564e-01,8.801013577638890917e-01,9.437057373509671887e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.778850641916972064e-01,8.817174755892323024e-01,1.788968466863660178e-01,9.638006376126201369e-01,8.147257554315929795e-01,9.097482853315379536e-01,9.141069471980474148e-01,8.980058465749479746e-01,1.000000000000000000e+00,9.104396602856942300e-01,8.817564267685438217e-01,9.922862072569872405e-01,8.196638179547492964e-01,9.258668935666092281e-01,8.877696051365948637e-01,9.208496277055377988e-01,9.803118392153564731e-01,7.989454098776135327e-01
9.250330427407602585e-01,9.281991926589693298e-01,9.638006376126201369e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.759326071062444097e-01,9.662684513832606736e-01,9.501826037102848455e-01,9.627127210314164740e-01,9.709673098616642406e-01,9.399627770081048217e-01,9.624925845819061188e-01,9.820423267431899195e-01,9.801028992442356591e-01,8.445609981482673501e-01,9.747040503712516291e-01,9.767686558253453333e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.147257554315929795e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.482488607056890340e-01,9.574797394760468094e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.784336242746635159e-01,1.000000000000000000e+00,8.982745205971057745e-01,9.548039738514173536e-01,9.085404792529822027e-01,7.240626660754199140e-01
9.657962644080538839e-01,9.800663768414119570e-01,9.097482853315379536e-01,9.759326071062444097e-01,9.482488607056890340e-01,0.000000000000000000e+00,9.049387021945285436e-01,9.831395887390020905e-01,9.317987504766860329e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.712477735448097338e-01,1.000000000000000000e+00,9.830059123284842215e-01,1.000000000000000000e+00,9.203098589692180198e-01,9.580524382379823622e-01,9.519192346355571654e-01
4.554752827139536553e-01,1.000000000000000000e+00,9.141069471980474148e-01,9.662684513832606736e-01,9.574797394760468094e-01,9.049387021945285436e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,7.944237891583760813e-01,9.619841843789541658e-01,9.173921745186731647e-01,7.798978056466502329e-01,4.168421389715671888e-01,7.878343223934891615e-01,6.514332531102124957e-01,9.835262624526306396e-01,9.699734458462967446e-01
1.000000000000000000e+00,4.980863235259083144e-01,8.980058465749479746e-01,9.501826037102848455e-01,1.000000000000000000e+00,9.831395887390020905e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.944290561600627409e-01,9.774795323739920994e-01,9.603001278569525123e-01,9.468676774090820647e-01,9.593339087764699569e-01,1.000000000000000000e+00,9.871518701887789238e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.627127210314164740e-01,1.000000000000000000e+00,9.317987504766860329e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,9.586444037700786458e-01,9.720304363101091027e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.407194888341494643e-01,9.737915960471950072e-01,9.115009513150571507e-01,9.889283188444325523e-01
9.976131586610073043e-01,9.505395009766181014e-01,9.104396602856942300e-01,9.709673098616642406e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.944237891583760813e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.502715499212923911e-01,9.633056174830645357e-01,9.464978450164216461e-01,5.338264812679300864e-01,9.711414384504976072e-01,9.674156171860874842e-01,9.710435651768668519e-01,9.351837219708540871e-01
1.000000000000000000e+00,9.289790088364426879e-01,8.817564267685438217e-01,9.399627770081048217e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.619841843789541658e-01,8.944290561600627409e-01,9.586444037700786458e-01,3.502715499212923911e-01,2.220446049250313081e-16,9.623954096385585189e-01,9.220607205632236347e-01,2.240335604802188296e-01,9.910567404450619788e-01,1.000000000000000000e+00,9.565277114102886946e-01,5.800080869031348785e-01
6.686178770987791786e-01,9.290337564798762937e-01,9.922862072569872405e-01,9.624925845819061188e-01,1.000000000000000000e+00,9.712477735448097338e-01,9.173921745186731647e-01,9.774795323739920994e-01,9.720304363101091027e-01,9.633056174830645357e-01,9.623954096385585189e-01,0.000000000000000000e+00,9.300099058001505270e-01,9.391501759256749571e-01,8.774243003002486496e-01,6.025931911128498131e-01,9.746685096906111401e-01,1.000000000000000000e+00
8.094058245088888714e-01,9.697404660520888564e-01,8.196638179547492964e-01,9.820423267431899195e-01,9.784336242746635159e-01,1.000000000000000000e+00,7.798978056466502329e-01,9.603001278569525123e-01,1.000000000000000000e+00,9.464978450164216461e-01,9.220607205632236347e-01,9.300099058001505270e-01,0.000000000000000000e+00,8.854080974380598157e-01,9.741248704058549368e-01,9.367032878880771074e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.801013577638890917e-01,9.258668935666092281e-01,9.801028992442356591e-01,1.000000000000000000e+00,9.830059123284842215e-01,4.168421389715671888e-01,9.468676774090820647e-01,1.000000000000000000e+00,5.338264812679300864e-01,2.240335604802188296e-01,9.391501759256749571e-01,8.854080974380598157e-01,1.110223024625156540e-16,9.642790111591769131e-01,9.529521064953790921e-01,9.568280731028854236e-01,1.000000000000000000e+00
