# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.084441698886470018e+00,1.186345688612862492e+00,1.181626991663986992e+00,1.183711736120297342e+00,1.273912636197533921e+00,1.123011182231918870e+00,1.083866774914225672e+00,1.256853575654769850e+00,1.146796777363166431e+00,1.105148397251053849e+00,1.171437951370494446e+00,1.268843957425358493e+00,1.123596392821126333e+00,1.294803940157126521e+00,4.213798212299518786e-01,1.353511188067261894e+00,1.096930016492319915e+00
1.084441698886470018e+00,1.283415871788348150e-01,1.146281981306317421e+00,1.060193358428840327e+00,1.100684808242550217e+00,1.135692085091579262e+00,1.139059960537966099e+00,9.092138728255219071e-01,1.305375506165458166e+00,1.101481440557801061e+00,9.380226789069425752e-01,1.092257914408909070e+00,1.174310286625195099e+00,1.114595318367426646e+00,1.240082127324078964e+00,1.229438959613883720e+00,1.137760194852638129e+00,1.079261371549860460e+00
1.186345688612862492e+00,1.146281981306317421e+00,0.000000000000000000e+00,1.073038425703395582e+00,1.000686050421995654e+00,9.534244976488283063e-01,1.117731807690923507e+00,8.859738071852703012e-01,1.315446006427441139e+00,9.098557092611662123e-01,9.749952254920912775e-01,1.081454172312316553e+00,1.224585268523839865e+00,1.047180843839913944e+00,1.324953016736599265e+00,1.160712549801136140e+00,1.075480127407601572e+00,1.064177472167529892e+00
1.181626991663986992e+00,1.060193358428840327e+00,1.073038425703395582e+00,5.000000000000000000e-01,9.888578372596288357e-01,9.699080508334125827e-01,8.668160197901335629e-01,9.633929886375010021e-01,9.574514794348416569e-01,8.245720808871205287e-01,9.002610563497308593e-01,8.955545234847956948e-01,9.245751659208885087e-01,8.702412700424384528e-01,8.141117190249053115e-01,1.171989659425503927e+00,9.827917679331850120e-01,9.059419396152804671e-01
1.183711736120297342e+00,1.100684808242550439e+00,1.000686050421995654e+00,9.888578372596289467e-01,3.883063889630291587e-01,9.607399173409325588e-01,1.080535428449867608e+00,9.813878587193655134e-01,1.104418017323733237e+00,9.730240994235668239e-01,1.040955812650052437e+00,1.037075138680020769e+00,1.007303978876076478e+00,1.008549056602535465e+00,1.024139374896939181e+00,1.201124050799716070e+00,1.102738364778764968e+00,9.892349629277477074e-01
1.273912636197533921e+00,1.135692085091579262e+00,9.534244976488283063e-01,9.699080508334125827e-01,9.607399173409325588e-01,2.220446049250313081e-16,9.908046993167778371e-01,9.551118636186307631e-01,9.028196399355739032e-01,9.277889416694218294e-01,1.000000000000000000e+00,9.687699269852446671e-01,1.000000000000000000e+00,9.661567685958880602e-01,9.068008738632551413e-01,1.250257428043827224e+00,8.680344365543248841e-01,9.992526430336114984e-01
1.123011182231918870e+00,1.139059960537966099e+00,1.117731807690923507e+00,8.668160197901336739e-01,1.080535428449867608e+00,9.908046993167778371e-01,5.000000000000000000e-01,8.491928779774879921e-01,9.286233803294886568e-01,9.547122972657575701e-01,8.085776065643669464e-01,8.206766147076116624e-01,8.723137555092703721e-01,8.761366366697997954e-01,9.411639627930044050e-01,1.151945196994207166e+00,9.863277588972058085e-01,8.115977013066608681e-01
1.083866774914225672e+00,9.092138728255219071e-01,8.859738071852703012e-01,9.633929886375010021e-01,9.813878587193655134e-01,9.551118636186307631e-01,8.491928779774879921e-01,2.220446049250313081e-16,8.547037502276382259e-01,9.390907408388047273e-01,7.460798537155610699e-01,9.433139517476842872e-01,9.115842127878165391e-01,8.807915487609290217e-01,9.892124920338271066e-01,1.194709800022698110e+00,7.329456612744273958e-01,9.481555830577451660e-01
1.256853575654769850e+00,1.305375506165458166e+00,1.315446006427441139e+00,9.574514794348416569e-01,1.104418017323733237e+00,9.028196399355739032e-01,9.286233803294886568e-01,8.547037502276382259e-01,0.000000000000000000e+00,1.134101149456483659e+00,9.039256491793177251e-01,9.890499807250880959e-01,9.344497757878607036e-01,7.330343212706917910e-01,8.665371354980568874e-01,1.295151069604686622e+00,6.169031416832460035e-01,9.410984894823510860e-01
1.146796777363166431e+00,1.101481440557801061e+00,9.098557092611662123e-01,8.245720808871205287e-01,9.730240994235667129e-01,9.277889416694218294e-01,9.547122972657576812e-01,9.390907408388047273e-01,1.134101149456483659e+00,3.898347836320514292e-01,9.691499963154046604e-01,8.993673268610189453e-01,1.073478254793652553e+00,8.072198558804019042e-01,1.137281821803990400e+00,1.175110433273863109e+00,1.053495437701481574e+00,8.585206466710102458e-01
1.105148397251053849e+00,9.380226789069425752e-01,9.749952254920912775e-01,9.002610563497308593e-01,1.040955812650052437e+00,1.000000000000000000e+00,8.085776065643669464e-01,7.460798537155610699e-01,9.039256491793177251e-01,9.691499963154046604e-01,0.000000000000000000e+00,9.901718383088112807e-01,8.963390938333812841e-01,7.295546000513600804e-01,7.642239177463316935e-01,1.116809071304358580e+00,9.830221308534419222e-01,9.010374211983689374e-01
