# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.630131786283178119e-01,7.705718178096727655e-01,9.239983352923760718e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.951582618708393335e-01,1.000000000000000000e+00,9.483567988029506513e-01,8.347396370232370577e-01,8.017539298368649980e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.864351227077411632e-01,8.937812260700477296e-01,7.189967142095983199e-01,9.530710683676894002e-01,9.196037821432296866e-01
9.630131786283178119e-01,0.000000000000000000e+00,9.799584747818672614e-01,9.715876120744540989e-01,3.624650527555460799e-01,9.745012900676683909e-01,7.666261639320250953e-01,3.147758237968387718e-01,9.303317181259846969e-01,9.169297282410302508e-01,9.641588931195786971e-01,9.955523059837010358e-01,9.769295744340242837e-01,9.776108906414149313e-01,9.780306273422961771e-01,9.823939657060047903e-01,9.832894914561732813e-01,9.474270974116356658e-01
7.705718178096727655e-01,9.799584747818672614e-01,5.000000000000000000e-01,9.385116370541196629e-01,8.937614868825852765e-01,9.867849043882854776e-01,7.663266301568651961e-01,1.000000000000000000e+00,9.788438990470693657e-01,9.183045991871409131e-01,9.371835397668906165e-01,9.862757890156227392e-01,1.000000000000000000e+00,8.109048993185977716e-01,9.796937126082501113e-01,7.922569030698477510e-01,9.700391410515736279e-01,8.562231705717792130e-01
9.239983352923760718e-01,9.715876120744540989e-01,9.385116370541196629e-01,5.682356784370639069e-01,9.917920751979346639e-01,9.799427380617536931e-01,8.731621410156087393e-01,9.983205698356885094e-01,9.794545018914634360e-01,8.847475151188439746e-01,7.785811577452464993e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.309297684688967456e-01,9.677530425733461561e-01,8.961768298859471571e-01,9.141916376822903922e-01,9.314622257485138945e-01
1.000000000000000000e+00,3.624650527555460799e-01,8.937614868825852765e-01,9.917920751979346639e-01,0.000000000000000000e+00,9.772419841923596362e-01,1.000000000000000000e+00,2.244819764629653047e-01,9.097723495045691999e-01,9.271091009948905226e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.791081865635957726e-01,1.000000000000000000e+00,9.903596427389811385e-01
1.000000000000000000e+00,9.745012900676683909e-01,9.867849043882854776e-01,9.799427380617536931e-01,9.772419841923596362e-01,-4.440892098500626162e-16,1.000000000000000000e+00,1.000000000000000000e+00,7.091288757636556861e-01,9.682645196896576545e-01,9.792050900735900232e-01,9.907803683602514067e-01,9.810199000887168674e-01,9.821190674268963638e-01,9.509813913800435614e-01,9.937058731539074596e-01,3.589321463150956237e-01,9.888315178785856974e-01
9.951582618708393335e-01,7.666261639320250953e-01,7.663266301568651961e-01,8.731621410156087393e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,7.090326953734318316e-01,1.000000000000000000e+00,9.832472423922008486e-01,8.070964657091881378e-01,6.924577392598874059e-01,4.078873720760776145e-01,9.869333153384428625e-01,9.233774716444195230e-01,7.307825957975310205e-01,9.992758333091974476e-01,9.783999552703884772e-01
1.000000000000000000e+00,3.147758237968387718e-01,1.000000000000000000e+00,9.983205698356885094e-01,2.244819764629653047e-01,1.000000000000000000e+00,7.090326953734318316e-01,0.000000000000000000e+00,9.252297152644517464e-01,9.281864661383657511e-01,1.000000000000000000e+00,9.932314003432063387e-01,9.797908032052998761e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.483567988029506513e-01,9.303317181259846969e-01,9.788438990470693657e-01,9.794545018914634360e-01,9.097723495045691999e-01,7.091288757636556861e-01,1.000000000000000000e+00,9.252297152644517464e-01,0.000000000000000000e+00,9.820940302355577467e-01,9.847584614316459151e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.639084135544151444e-01,9.400445958593376394e-01,9.491144854009484488e-01,6.465850759485403110e-01,9.895776991813748369e-01
8.347396370232370577e-01,9.169297282410302508e-01,9.183045991871411351e-01,8.847475151188439746e-01,9.271091009948905226e-01,9.682645196896576545e-01,9.832472423922008486e-01,9.281864661383657511e-01,9.820940302355577467e-01,6.201804123558942727e-01,9.102778656625521991e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.057268488210676871e-01,9.580552436691559537e-01,8.676056666479655677e-01,9.596693705121456253e-01,8.912767619320716150e-01
8.017539298368649980e-01,9.641588931195786971e-01,9.371835397668906165e-01,7.785811577452464993e-01,1.000000000000000000e+00,9.792050900735900232e-01,8.070964657091881378e-01,1.000000000000000000e+00,9.847584614316459151e-01,9.102778656625521991e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.357571119461464138e-01,9.190425529893966328e-01,9.775361224000199689e-01,8.966371352895179392e-01,9.841416181422538711e-01,9.406538942544260262e-01
1.000000000000000000e+00,9.955523059837010358e-01,9.862757890156227392e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.907803683602514067e-01,6.924577392598874059e-01,9.932314003432063387e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.295388907915445476e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.279407188129464412e-01,9.918887067791838374e-01,9.586111107005670373e-01
1.000000000000000000e+00,9.769295744340242837e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.810199000887168674e-01,4.078873720760776145e-01,9.797908032052998761e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.357571119461464138e-01,2.295388907915445476e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,7.048617922482010023e-01,9.940382084456591549e-01,1.000000000000000000e+00
8.864351227077411632e-01,9.776108906414149313e-01,8.109048993185977716e-01,9.309297684688967456e-01,1.000000000000000000e+00,9.821190674268963638e-01,9.869333153384428625e-01,1.000000000000000000e+00,9.639084135544151444e-01,9.057268488210676871e-01,9.190425529893966328e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.222576214528417360e-01,8.745906264170328903e-01,9.490460651526501090e-01,8.753265874453008966e-01
8.937812260700477296e-01,9.780306273422961771e-01,9.796937126082501113e-01,9.677530425733461561e-01,1.000000000000000000e+00,9.509813913800435614e-01,9.233774716444195230e-01,1.000000000000000000e+00,9.400445958593376394e-01,9.580552436691559537e-01,9.775361224000199689e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.222576214528417360e-01,0.000000000000000000e+00,9.867077434818545267e-01,1.000000000000000000e+00,9.860592183672348687e-01
