# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.060515650891113992e+00,9.050116395702678673e-01,8.576096945741460420e-01,8.617120566253464453e-01,9.410043105635711447e-01,7.687800535885562780e-01,9.429715256789679145e-01,9.862012608509205247e-01,1.000000000000000000e+00,9.494389275860135591e-01,4.124369770047974226e-01,4.115046817908245558e-01,9.620203505533008181e-01,1.000000000000000000e+00,3.577511765162288970e-01,9.759644152225328551e-01,3.359073824772993433e-01
1.060515650891113992e+00,4.024764814961019344e-01,1.130021534004709949e+00,9.762623100763969664e-01,6.004198270528446901e-01,1.009790496308899055e+00,1.014093135605461438e+00,9.389492827705857581e-01,1.058947478344196558e+00,1.066059626065950283e+00,1.093681612447488405e+00,1.056668621528862984e+00,1.090015680744007120e+00,9.271398832823366520e-01,1.075059459949085472e+00,1.088343339762097184e+00,9.684020714799322915e-01,1.067460683739303473e+00
9.050116395702678673e-01,1.130021534004709949e+00,0.000000000000000000e+00,9.940751096158557676e-01,9.513538001220329665e-01,1.000000000000000000e+00,9.314891953967934235e-01,1.000000000000000000e+00,9.589083141560289514e-01,9.930493076911247607e-01,1.000000000000000000e+00,9.034513135746534696e-01,8.714975106572409036e-01,8.402556193894981096e-01,1.000000000000000000e+00,8.725210327053946058e-01,9.971254642411411240e-01,9.082255490114772289e-01
8.576096945741460420e-01,9.762623100763969664e-01,9.940751096158557676e-01,5.000000000000000000e-01,8.610021366146501931e-01,9.350593565031617427e-01,9.651900969106527173e-01,9.292505302910958331e-01,9.256712226600016802e-01,6.873523305627623481e-01,9.086756844016281587e-01,9.686857985128278781e-01,9.711773316678348200e-01,9.014000973718760967e-01,8.446203364556051918e-01,9.854571068094372110e-01,9.519119136817852933e-01,9.542947981089944243e-01
8.617120566253464453e-01,6.004198270528446901e-01,9.513538001220329665e-01,8.610021366146501931e-01,0.000000000000000000e+00,9.421636182164878637e-01,9.289508192972888434e-01,8.979804353823311880e-01,9.687579700752894096e-01,8.966529669318868967e-01,9.684648459315143842e-01,9.174253645762829867e-01,9.040135795155449516e-01,8.780372845243512581e-01,1.000000000000000000e+00,9.005784324239565208e-01,7.499363742797602317e-01,8.821215129400626909e-01
9.410043105635711447e-01,1.009790496308899055e+00,1.000000000000000000e+00,9.350593565031617427e-01,9.421636182164878637e-01,-2.220446049250313081e-16,9.806160393513998486e-01,7.511036173243074154e-01,9.933411991213580983e-01,9.363220360210186000e-01,9.713787820606939460e-01,6.280894526627006647e-01,9.810135088129864345e-01,2.451948329713229402e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.719389246326340936e-01,9.701223984004099243e-01
7.687800535885562780e-01,1.014093135605461438e+00,9.314891953967934235e-01,9.651900969106527173e-01,9.289508192972888434e-01,9.806160393513998486e-01,5.000000000000001110e-01,9.171138752918797099e-01,9.742161578419363810e-01,9.662706686800701661e-01,9.759319941194870562e-01,7.953244931138232499e-01,7.602559267632871265e-01,9.131136351657558325e-01,1.000000000000000000e+00,6.743923853439368621e-01,8.283051657758542241e-01,7.726364879738689684e-01
9.429715256789679145e-01,9.389492827705857581e-01,1.000000000000000000e+00,9.292505302910958331e-01,8.979804353823311880e-01,7.511036173243074154e-01,9.171138752918797099e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.551089103052879059e-01,9.838274635003209090e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.209292891774997436e-01,8.502739684347707660e-01,1.000000000000000000e+00,9.443078462392822114e-01,1.000000000000000000e+00
9.862012608509205247e-01,1.058947478344196558e+00,9.589083141560289514e-01,9.256712226600016802e-01,9.687579700752894096e-01,9.933411991213580983e-01,9.742161578419363810e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.266022483460111259e-01,8.940472906112972851e-01,9.541814058683293354e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.483478680743712586e-01,9.736959897063234282e-01,1.000000000000000000e+00,9.337792090995155059e-01
1.000000000000000000e+00,1.066059626065950283e+00,9.930493076911247607e-01,6.873523305627623481e-01,8.966529669318868967e-01,9.363220360210186000e-01,9.662706686800701661e-01,8.551089103052879059e-01,9.266022483460111259e-01,0.000000000000000000e+00,9.597238410087990390e-01,9.244539719982428627e-01,9.300938481859677420e-01,8.410904362591397065e-01,9.052230249124468831e-01,9.705205561888219368e-01,9.519316873521569411e-01,9.480630467245372284e-01
9.494389275860135591e-01,1.093681612447488405e+00,1.000000000000000000e+00,9.086756844016281587e-01,9.684648459315143842e-01,9.713787820606939460e-01,9.759319941194870562e-01,9.838274635003209090e-01,8.940472906112972851e-01,9.597238410087990390e-01,0.000000000000000000e+00,9.660185622309079845e-01,9.748708287257141780e-01,9.650773091483183519e-01,8.908174250010874040e-01,9.843831716236898233e-01,1.000000000000000000e+00,9.676516548661352468e-01
4.124369770047974226e-01,1.056668621528862984e+00,9.034513135746534696e-01,9.686857985128278781e-01,9.174253645762829867e-01,6.280894526627006647e-01,7.953244931138232499e-01,1.000000000000000000e+00,9.541814058683293354e-01,9.244539719982428627e-01,9.660185622309079845e-01,2.220446049250313081e-16,2.534387799487975990e-01,9.621095639522621035e-01,1.000000000000000000e+00,3.825995155789880808e-01,9.398037686763891507e-01,3.504819777439460715e-02
4.115046817908245558e-01,1.090015680744007120e+00,8.714975106572409036e-01,9.711773316678348200e-01,9.040135795155449516e-01,9.810135088129864345e-01,7.602559267632871265e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.300938481859677420e-01,9.748708287257141780e-01,2.534387799487975990e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.799410198468672561e-01,9.735686345749184900e-01,2.834707692449474070e-01
9.620203505533008181e-01,9.271398832823366520e-01,8.402556193894981096e-01,9.014000973718760967e-01,8.780372845243512581e-01,2.451948329713229402e-01,9.131136351657558325e-01,8.209292891774997436e-01,1.000000000000000000e+00,8.410904362591397065e-01,9.650773091483183519e-01,9.621095639522621035e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.553462969848856012e-01,9.602353751492406220e-01,9.362008855083239212e-01
1.000000000000000000e+00,1.075059459949085472e+00,1.000000000000000000e+00,8.446203364556051918e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.502739684347707660e-01,2.483478680743712586e-01,9.052230249124468831e-01,8.908174250010874040e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.389144015615252803e-01,1.000000000000000000e+00,1.000000000000000000e+00
