# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.602928043777950728e-01,9.676468638537476519e-01,1.000000000000000000e+00,9.651256661515973390e-01,9.924100725827925684e-01,9.612247091159350498e-01,9.330728687906553187e-01,9.321910529739038109e-01,1.000000000000000000e+00,9.967859860649193049e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.410805890888636061e-01,1.000000000000000000e+00,4.982130235967631160e-01,9.898721259408006512e-01,9.495484836835221820e-01
9.602928043777950728e-01,-2.220446049250313081e-16,1.000000000000000000e+00,6.907665189926862626e-01,9.960422009575022884e-01,9.611498027344368422e-01,9.504939519296891071e-01,9.671753729754686280e-01,9.967822165302054893e-01,8.688024583037646797e-01,9.412653575123721694e-01,9.850522055461681248e-01,1.000000000000000000e+00,9.795533758840170302e-01,9.903891883509858829e-01,9.320624900948029090e-01,1.000000000000000000e+00,9.678312957805637051e-01
9.676468638537476519e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.006152972639311916e-01,9.558563970894090600e-01,8.243336260765672385e-01,9.001738125063308837e-01,9.793443570979913915e-01,8.373364798129765418e-01,9.241926947322087749e-01,8.869862665537917579e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.619590161100918246e-01,8.831475437449112231e-01,9.413291191655821510e-01
1.000000000000000000e+00,6.907665189926862626e-01,9.006152972639311916e-01,3.330669073875469621e-16,1.000000000000000000e+00,3.722945213803010578e-01,1.000000000000000000e+00,9.331241051330317893e-01,9.757404191323368892e-01,9.441664019584092848e-01,9.573365674608474984e-01,9.344143089202763264e-01,9.524880293964439470e-01,9.522172116826213006e-01,8.904800174282975211e-01,1.000000000000000000e+00,9.376187580957153767e-01,8.919654414487563354e-01
9.651256661515973390e-01,9.960422009575022884e-01,9.558563970894090600e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.659720953203441152e-01,9.239098902523052992e-01,7.373702273024627107e-01,9.565475221333598066e-01,9.466768991549326939e-01,6.425985891752401535e-01,9.070252752629354154e-01,8.748245863794182897e-01,9.785270254404985213e-01,1.000000000000000000e+00,7.238342217355785424e-01,9.418686891168741582e-01,9.422353116283878061e-01
9.924100725827925684e-01,9.611498027344368422e-01,8.243336260765672385e-01,3.722945213803010578e-01,9.659720953203441152e-01,-2.220446049250313081e-16,9.550342033491524552e-01,9.474727078580071904e-01,9.842332069839372366e-01,9.295593138872645378e-01,9.501099765535623298e-01,9.070329172261273332e-01,8.489869719152729477e-01,9.416096017955420949e-01,5.228465757646467704e-01,9.821514616120767815e-01,7.226432781131186811e-01,8.916269814512745029e-01
9.612247091159350498e-01,9.504939519296891071e-01,9.001738125063308837e-01,1.000000000000000000e+00,9.239098902523052992e-01,9.550342033491524552e-01,2.688260704742000406e-01,8.983376415787897029e-01,9.362976175968091841e-01,9.502674139854168089e-01,9.245192128883459315e-01,9.401008944086102215e-01,9.547660112799826182e-01,8.393578207910068478e-01,9.381211365845907313e-01,9.533782061002838981e-01,9.429482877140562547e-01,9.416428206933898926e-01
9.330728687906553187e-01,9.671753729754686280e-01,9.793443570979913915e-01,9.331241051330317893e-01,7.373702273024627107e-01,9.474727078580071904e-01,8.983376415787897029e-01,4.999999999999999445e-01,9.820125332572520183e-01,9.914091369744360005e-01,9.138406795173297237e-01,9.777496999194474903e-01,1.000000000000000000e+00,8.341579170666135745e-01,8.979799552663343398e-01,8.339459854795228111e-01,9.944859631975331293e-01,8.160227460439958280e-01
9.321910529739038109e-01,9.967822165302054893e-01,8.373364798129765418e-01,9.757404191323368892e-01,9.565475221333598066e-01,9.842332069839372366e-01,9.362976175968091841e-01,9.820125332572520183e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.667575518830839876e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.190229834041048207e-01,9.749572286674877963e-01,9.785497776750581300e-01
1.000000000000000000e+00,8.688024583037646797e-01,9.241926947322087749e-01,9.441664019584092848e-01,9.466768991549326939e-01,9.295593138872645378e-01,9.502674139854168089e-01,9.914091369744360005e-01,1.000000000000000000e+00,3.330669073875469621e-16,9.423877201418306981e-01,8.409740681083910374e-01,1.000000000000000000e+00,8.505163182000525790e-01,8.009890887779945734e-01,1.000000000000000000e+00,9.188355716626862568e-01,8.639030545884791579e-01
9.967859860649193049e-01,9.412653575123721694e-01,8.869862665537917579e-01,9.573365674608474984e-01,6.425985891752401535e-01,9.501099765535623298e-01,9.245192128883459315e-01,9.138406795173297237e-01,1.000000000000000000e+00,9.423877201418306981e-01,0.000000000000000000e+00,9.681545673187801349e-01,9.927885446686193216e-01,9.992693243991292995e-01,9.257590970875089198e-01,7.926051267857654459e-01,9.303518465642979240e-01,9.594705843406849954e-01
1.000000000000000000e+00,9.850522055461681248e-01,1.000000000000000000e+00,9.344143089202763264e-01,9.070252752629354154e-01,9.070329172261273332e-01,9.401008944086102215e-01,9.777496999194474903e-01,9.667575518830839876e-01,8.409740681083910374e-01,9.681545673187801349e-01,0.000000000000000000e+00,8.220820160318668135e-01,8.684103670709580891e-01,9.390094814025545800e-01,1.000000000000000000e+00,8.841770018142522947e-01,5.916882669947393092e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.524880293964439470e-01,8.748245863794182897e-01,8.489869719152729477e-01,9.547660112799826182e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.927885446686193216e-01,8.220820160318668135e-01,-2.220446049250313081e-16,9.726761002744594986e-01,9.077847493911017640e-01,1.000000000000000000e+00,7.699920440433746238e-01,8.375694212404328765e-01
9.410805890888636061e-01,9.795533758840170302e-01,1.000000000000000000e+00,9.522172116826213006e-01,9.785270254404985213e-01,9.416096017955420949e-01,8.393578207910068478e-01,8.341579170666135745e-01,1.000000000000000000e+00,8.505163182000525790e-01,9.992693243991292995e-01,8.684103670709580891e-01,9.726761002744594986e-01,0.000000000000000000e+00,9.820180719221618393e-01,9.314605266917531656e-01,9.801437060086536368e-01,7.266951443166826952e-01
1.000000000000000000e+00,9.903891883509858829e-01,1.000000000000000000e+00,8.904800174282975211e-01,1.000000000000000000e+00,5.228465757646467704e-01,9.381211365845907313e-01,8.979799552663343398e-01,1.000000000000000000e+00,8.009890887779945734e-01,9.257590970875089198e-01,9.390094814025545800e-01,9.077847493911017640e-01,9.820180719221618393e-01,3.330669073875469621e-16,1.000000000000000000e+00,7.582665968256812050e-01,9.550435505629173427e-01
4.982130235967631160e-01,9.320624900948029090e-01,9.619590161100918246e-01,1.000000000000000000e+00,7.238342217355785424e-01,9.821514616120767815e-01,9.533782061002838981e-01,8.339459854795228111e-01,9.190229834041048207e-01,1.000000000000000000e+00,7.926051267857654459e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.314605266917531656e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.470862241854649533e-01,9.320764876250466902e-01
9.898721259408006512e-01,1.000000000000000000e+00,8.831475437449112231e-01,9.376187580957153767e-01,9.418686891168741582e-01,7.226432781131186811e-01,9.429482877140562547e-01,9.944859631975331293e-01,9.749572286674877963e-01,9.188355716626862568e-01,9.303518465642979240e-01,8.841770018142522947e-01,7.699920440433746238e-01,9.801437060086536368e-01,7.582665968256812050e-01,9.470862241854649533e-01,-2.220446049250313081e-16,8.332140952476717599e-01
9.495484836835221820e-01,9.678312957805637051e-01,9.413291191655821510e-01,8.919654414487563354e-01,9.422353116283878061e-01,8.916269814512745029e-01,9.416428206933898926e-01,8.160227460439959390e-01,9.785497776750581300e-01,8.639030545884791579e-01,9.594705843406849954e-01,5.916882669947393092e-01,8.375694212404328765e-01,7.266951443166826952e-01,9.550435505629173427e-01,9.320764876250466902e-01,8.332140952476717599e-01,5.000000000000000000e-01
