# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.490759500010972571e-01,7.986494379739499383e-01,1.000000000000000000e+00,8.863661079849157742e-01,9.069723431899398003e-01,1.000000000000000000e+00,8.374268679783835045e-01,8.636636499741456863e-01,9.035929988991777684e-01,6.266137959695097237e-01,6.246481603978800701e-01,1.369154915551595852e-01,8.474823438233347606e-01,1.000000000000000000e+00,1.937686255396007251e-01,1.000000000000000000e+00,5.449044155991151772e-01
8.490759500010972571e-01,0.000000000000000000e+00,8.795465346365156645e-01,8.824989151552147248e-01,2.386893317504895640e-01,8.056938705157837832e-01,7.685527830731742061e-01,2.141586886601173356e-01,9.167451641656700900e-01,1.052583539183373551e+00,9.002513243690658529e-01,8.418407347163298082e-01,9.321343649300622980e-01,9.955354866971934946e-01,1.000000000000000000e+00,8.701599258090848554e-01,9.660350663503376456e-01,8.589113293704526697e-01
7.986494379739499383e-01,8.795465346365156645e-01,4.921148361965902995e-01,9.567138705439244273e-01,7.685927100404090773e-01,9.034447781489232110e-01,9.845518336993486219e-01,8.192295812861607462e-01,9.259872251454026593e-01,1.066525341999025489e+00,9.082332900681164833e-01,8.567462654697353130e-01,8.598054297199619889e-01,9.042385975737239345e-01,1.000000000000000000e+00,7.565920464101149046e-01,9.643534250127197005e-01,8.760734883326115607e-01
1.000000000000000000e+00,8.824989151552147248e-01,9.567138705439244273e-01,2.220446049250313081e-16,8.827263913423191166e-01,9.681401933352730138e-01,9.965001207771628788e-01,8.936814845520385520e-01,9.607006201374608256e-01,1.187292701800046535e+00,1.000000000000000000e+00,9.984266420881084958e-01,1.000000000000000000e+00,9.841433834332972141e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.754392605391049020e-01,9.744812613944225932e-01
8.863661079849157742e-01,2.386893317504895640e-01,7.685927100404090773e-01,8.827263913423191166e-01,-2.220446049250313081e-16,8.580121328138323733e-01,7.552589381623918685e-01,2.954276607758721251e-01,8.471600972204543778e-01,1.013284573046419723e+00,9.570544002747580770e-01,9.093859195671121221e-01,8.970676879362677880e-01,1.000000000000000000e+00,6.307470042538366739e-01,8.646023571449155121e-01,9.639245774812604806e-01,8.923320287932490213e-01
9.069723431899398003e-01,8.056938705157837832e-01,9.034447781489232110e-01,9.681401933352730138e-01,8.580121328138323733e-01,0.000000000000000000e+00,9.869713354384953563e-01,8.748094347434215434e-01,6.191820444185438532e-01,9.470480732116427491e-01,9.931272259491954468e-01,9.772674898692496059e-01,7.874579481974249839e-01,9.717040373171094148e-01,1.000000000000000000e+00,8.790983947517737596e-01,9.626380447122128148e-01,1.000000000000000000e+00
1.000000000000000000e+00,7.685527830731742061e-01,9.845518336993486219e-01,9.965001207771628788e-01,7.552589381623918685e-01,9.869713354384953563e-01,-2.220446049250313081e-16,7.635226084992188245e-01,9.257862325048049623e-01,1.167295323433890752e+00,7.802503778489939812e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.991931988363136341e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.040375676365257629e-01,1.000000000000000000e+00
8.374268679783835045e-01,2.141586886601173356e-01,8.192295812861607462e-01,8.936814845520385520e-01,2.954276607758721251e-01,8.748094347434215434e-01,7.635226084992188245e-01,2.220446049250313081e-16,9.171796841258924582e-01,9.734986561741068023e-01,9.599280909218443902e-01,8.069068202973834758e-01,8.581835123855391378e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.342720671811590938e-01,9.240855462311121649e-01,8.483571808439775985e-01
8.636636499741456863e-01,9.167451641656700900e-01,9.259872251454026593e-01,9.607006201374608256e-01,8.471600972204543778e-01,6.191820444185438532e-01,9.257862325048049623e-01,9.171796841258924582e-01,-2.220446049250313081e-16,1.133282552813035693e+00,9.291628971754236632e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.653002048659563572e-01,1.000000000000000000e+00,8.313019105390646590e-01,9.058556411902027872e-01,9.294614009521201536e-01
9.035929988991777684e-01,1.052583539183373551e+00,1.066525341999025489e+00,1.187292701800046535e+00,1.013284573046419723e+00,9.470480732116427491e-01,1.167295323433890752e+00,9.734986561741068023e-01,1.133282552813035693e+00,3.330669073875469621e-16,1.098422410693863593e+00,1.004180564169084855e+00,1.191275343334178949e+00,1.015927408491353656e+00,1.072223237587485611e+00,1.184493514756354671e+00,1.258684852743414684e+00,9.813586799192788312e-01
