# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,6.183434566406684763e-01,7.970216156750530301e-01,9.589521899647502901e-01,8.434964126664042938e-01,1.000000000000000000e+00,9.004528743896486054e-01,7.100716788535330615e-01,8.440624627640116451e-01,8.267805604068007019e-01,8.218913364733575477e-01,6.163231351919751244e-01,9.017085816802417053e-02,8.996335531767654103e-01,9.550153122076487922e-01,4.185222535417784107e-01,9.512297174089252572e-01,8.065746768371986342e-01
6.183434566406684763e-01,1.110223024625156540e-16,9.475544548842234072e-01,9.512320332017812907e-01,4.008186470888878139e-01,1.000000000000000000e+00,9.039287935088493597e-01,1.756812670440400792e-01,9.728050196930372318e-01,8.688196906825285115e-01,8.922185439947973862e-01,8.711836609123430053e-01,9.563556703651725499e-01,9.068877846418496036e-01,9.787328961325595378e-01,8.388240953716377124e-01,9.477133156932950886e-01,8.332932212080427226e-01
7.970216156750530301e-01,9.475544548842234072e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.312054542698002813e-01,9.924365566566681895e-01,8.165792623218904867e-01,9.106771174669863189e-01,9.452196799499337221e-01,8.623238127954826471e-01,8.388061323756885734e-01,6.180015568790571123e-01,8.506631070502272962e-01,9.627164980937248373e-01,8.545985291535662665e-01,9.961412615453654196e-01,9.184922787510664266e-01,8.005330444433420567e-01
9.589521899647502901e-01,9.512320332017812907e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.592705619404079398e-01,9.751510143966742872e-01,8.599971517895285134e-01,9.696779712926504313e-01,8.733795030966522432e-01,8.924061715792367400e-01,8.986753991398807040e-01,8.347989245512174028e-01,9.484659794410769118e-01,9.747948696275663405e-01,9.282135838204187417e-01,9.641249966149876283e-01,8.937854068359626369e-01,7.881005822641748981e-01
8.434964126664042938e-01,4.008186470888878139e-01,9.312054542698002813e-01,9.592705619404079398e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.051108449271363376e-01,4.452305077728199167e-01,8.641522694580806574e-01,8.004857489439067830e-01,8.200940818060931115e-01,9.595705250580163215e-01,1.000000000000000000e+00,9.592394895156923784e-01,9.639874548278827282e-01,9.314388053766265996e-01,9.351167650560793243e-01,9.430102495317964628e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.924365566566681895e-01,9.751510143966742872e-01,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,7.254776510312173077e-01,8.858378597376992403e-01,9.280097177202978331e-01,9.357175724465082167e-01,9.947214850291747901e-01,8.992980438579920577e-01,6.552854283376594591e-01,1.000000000000000000e+00,9.148371341658673161e-01,6.973128838615149094e-01
9.004528743896486054e-01,9.039287935088493597e-01,8.165792623218904867e-01,8.599971517895285134e-01,9.051108449271363376e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.233326066694526046e-01,8.648383325725816917e-01,9.097695353420266473e-01,9.513240429387034292e-01,8.632948331452650059e-01,9.288628425058014226e-01,8.013332147483136492e-01,9.582848924421293324e-01,9.189471048076186532e-01,9.167276477394573631e-01,9.495173012551119118e-01
7.100716788535330615e-01,1.756812670440400792e-01,9.106771174669863189e-01,9.696779712926504313e-01,4.452305077728199167e-01,1.000000000000000000e+00,9.233326066694526046e-01,0.000000000000000000e+00,9.499942000201070380e-01,8.209590252183684989e-01,8.881147381953347075e-01,9.083672974113583543e-01,8.633199119101805374e-01,9.085020634105230863e-01,9.095129528239795924e-01,9.450452364470592892e-01,9.435197024258956677e-01,9.026645242880739772e-01
8.440624627640116451e-01,9.728050196930372318e-01,9.452196799499337221e-01,8.733795030966522432e-01,8.641522694580806574e-01,7.254776510312173077e-01,8.648383325725816917e-01,9.499942000201070380e-01,1.110223024625156540e-16,7.373439139626734029e-01,8.307585044541346830e-01,7.565832337479242442e-01,8.212274039344783505e-01,1.000000000000000000e+00,6.214521982423943935e-01,8.454297370695591507e-01,6.474837304495510981e-01,7.934592333305272582e-01
8.267805604068007019e-01,8.688196906825285115e-01,8.623238127954826471e-01,8.924061715792367400e-01,8.004857489439067830e-01,8.858378597376992403e-01,9.097695353420266473e-01,8.209590252183684989e-01,7.373439139626734029e-01,0.000000000000000000e+00,4.085973242468655675e-01,7.885074154199366303e-01,8.418442523758774554e-01,9.454151503107478538e-01,8.793503157008282223e-01,6.161251680935950770e-01,8.947140526946073535e-01,8.065518487545920712e-01
8.218913364733575477e-01,8.922185439947973862e-01,8.388061323756885734e-01,8.986753991398807040e-01,8.200940818060931115e-01,9.280097177202978331e-01,9.513240429387034292e-01,8.881147381953347075e-01,8.307585044541346830e-01,4.085973242468655675e-01,1.110223024625156540e-16,7.937836144424657014e-01,8.844835495790340785e-01,8.764505394401358451e-01,9.185960437312398197e-01,9.009138767217204080e-01,8.525778473879643826e-01,8.454448225050719135e-01
6.163231351919751244e-01,8.711836609123430053e-01,6.180015568790571123e-01,8.347989245512174028e-01,9.595705250580163215e-01,9.357175724465082167e-01,8.632948331452650059e-01,9.083672974113583543e-01,7.565832337479242442e-01,7.885074154199366303e-01,7.937836144424657014e-01,0.000000000000000000e+00,6.338016568025214292e-01,9.792973870416720183e-01,9.047168327077840244e-01,7.383200313834890061e-01,8.718942036071197776e-01,5.220804026408251142e-01
9.017085816802417053e-02,9.563556703651725499e-01,8.506631070502272962e-01,9.484659794410769118e-01,1.000000000000000000e+00,9.947214850291747901e-01,9.288628425058014226e-01,8.633199119101805374e-01,8.212274039344783505e-01,8.418442523758774554e-01,8.844835495790340785e-01,6.338016568025214292e-01,0.000000000000000000e+00,9.559998140171056535e-01,9.916867992944801147e-01,3.448161623412077104e-01,8.911885029694985860e-01,7.009677292797755754e-01
8.996335531767654103e-01,9.068877846418496036e-01,9.627164980937248373e-01,9.747948696275663405e-01,9.592394895156923784e-01,8.992980438579920577e-01,8.013332147483136492e-01,9.085020634105230863e-01,1.000000000000000000e+00,9.454151503107478538e-01,8.764505394401358451e-01,9.792973870416720183e-01,9.559998140171056535e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.746383742222397562e-01,9.226065834098893248e-01,1.000000000000000000e+00
9.550153122076487922e-01,9.787328961325595378e-01,8.545985291535662665e-01,9.282135838204187417e-01,9.639874548278827282e-01,6.552854283376594591e-01,9.582848924421293324e-01,9.095129528239795924e-01,6.214521982423943935e-01,8.793503157008282223e-01,9.185960437312398197e-01,9.047168327077840244e-01,9.916867992944801147e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.918953328826052740e-01,8.251630511643611721e-01
4.185222535417784107e-01,8.388240953716377124e-01,9.961412615453654196e-01,9.641249966149876283e-01,9.314388053766265996e-01,1.000000000000000000e+00,9.189471048076186532e-01,9.450452364470592892e-01,8.454297370695591507e-01,6.161251680935950770e-01,9.009138767217204080e-01,7.383200313834890061e-01,3.448161623412077104e-01,9.746383742222397562e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.891420927796813478e-01,6.956813311148011270e-01
