# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.734951446905645289e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.785192188590819073e-01,8.435985771232286101e-01,7.179640505651714300e-01,9.275368587127241771e-01,9.222826846801317480e-01,7.148791669276930438e-01,9.983847738398831106e-01,1.000000000000000000e+00,5.829771351303592031e-01,8.503540933357800480e-01,5.146433233659560846e-01,9.371811542230286118e-01,9.352810771610982066e-01
9.734951446905645289e-01,0.000000000000000000e+00,9.621872323582817410e-01,9.588941874304952595e-01,8.881509710812540703e-01,1.000000000000000000e+00,8.415594094496011701e-01,9.556600194996407449e-01,9.105537968417952710e-01,9.035049513855710757e-01,1.000000000000000000e+00,9.366453011146459451e-01,9.514275360571987639e-01,9.923900554246211092e-01,9.898110221428425559e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.903346143091239728e-01
1.000000000000000000e+00,9.621872323582817410e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.964649985880519312e-01,1.000000000000000000e+00,6.656021023941742776e-01,9.551644842938658009e-01,9.894988371357560375e-01,8.766317712160054398e-01,9.889220366871676049e-01,1.000000000000000000e+00,8.831692840583714732e-01,8.980802110168848440e-01,1.000000000000000000e+00,7.747166900858436511e-01,1.000000000000000000e+00,9.442905848992515505e-01
1.000000000000000000e+00,9.588941874304952595e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.423256983800164521e-01,9.706176593690865051e-01,1.000000000000000000e+00,9.874582977267527539e-01,9.653793593149655461e-01,9.797712989205662470e-01,7.792540008208805880e-01,8.412416846030477124e-01,9.584486623346731848e-01,9.820530797686610747e-01,9.707649630562158460e-01,1.000000000000000000e+00,9.602450181331328993e-01,9.651007068998398442e-01
1.000000000000000000e+00,8.881509710812540703e-01,9.964649985880519312e-01,9.423256983800164521e-01,0.000000000000000000e+00,9.989940397227711211e-01,9.648952435179859455e-01,8.788007737688460219e-01,9.511729788383627149e-01,1.000000000000000000e+00,9.387046000178123073e-01,9.975540145052272933e-01,9.866901176265249207e-01,9.993965608545509749e-01,9.694451528600849244e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.643945232755237740e-01
8.785192188590819073e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.706176593690865051e-01,9.989940397227711211e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.294776847230399319e-01,8.492335883206650893e-01,9.505755435980745016e-01,7.665206714637951002e-01,9.986738847853836587e-01,9.996322509430940473e-01,8.998799364949632285e-01,8.479592212465369983e-01,8.898094683751082146e-01,3.041242736454434770e-01,8.939743629535232827e-01
8.435985771232286101e-01,8.415594094496011701e-01,6.656021023941742776e-01,1.000000000000000000e+00,9.648952435179859455e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.322075794780695368e-01,9.523590395740190173e-01,9.205800994460748843e-01,1.000000000000000000e+00,8.331802940833287208e-01,7.853525122084074050e-01,9.841304965733784771e-01,8.201353296803034487e-01,8.791121842273689202e-01,9.934901680171757121e-01,8.962175831342128474e-01
7.179640505651714300e-01,9.556600194996407449e-01,9.551644842938658009e-01,9.874582977267527539e-01,8.788007737688460219e-01,9.294776847230399319e-01,9.322075794780695368e-01,4.999999999999999445e-01,9.202884440072346406e-01,9.215889342085523683e-01,8.733800028318084996e-01,6.983435011132164139e-01,8.427802465560461087e-01,8.546311222564082488e-01,9.166067217610950335e-01,9.396381759043488380e-01,9.116009743755579819e-01,9.689208619755119711e-01
9.275368587127241771e-01,9.105537968417952710e-01,9.894988371357560375e-01,9.653793593149655461e-01,9.511729788383627149e-01,8.492335883206650893e-01,9.523590395740190173e-01,9.202884440072346406e-01,-2.220446049250313081e-16,9.398718634540953465e-01,9.648010139663241169e-01,5.321684230948139360e-01,7.145392653105779868e-01,8.977801600692486561e-01,2.857014651300030517e-01,8.928089462467057036e-01,8.824327300978326294e-01,9.190451132806416457e-01
9.222826846801317480e-01,9.035049513855710757e-01,8.766317712160054398e-01,9.797712989205662470e-01,1.000000000000000000e+00,9.505755435980745016e-01,9.205800994460748843e-01,9.215889342085523683e-01,9.398718634540953465e-01,5.000000000000000000e-01,9.494551311961023643e-01,9.394574611556205657e-01,7.298499935347297907e-01,8.605788194783363654e-01,9.446012821546418969e-01,9.667020784322997162e-01,9.643306846966916979e-01,9.721574728518442843e-01
