# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.660051289930571494e-01,9.583585766132831640e-01,7.458264067098819838e-01,1.249371065920117374e+00,9.414788129265267980e-01,8.451337524758865127e-01,1.000000000000000000e+00,9.671030626790045881e-01,1.000000000000000000e+00,1.129919420928069851e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.984528097724774565e-01,7.535898834387311229e-01,4.600499738058656529e-01,9.545925053964930962e-01,9.665718151705567918e-01
8.660051289930571494e-01,2.220446049250313081e-16,9.783120864614912593e-01,1.000000000000000000e+00,1.332237972808058890e+00,1.000000000000000000e+00,8.348405486058787517e-01,1.000000000000000000e+00,9.212705575208639530e-01,9.702052857990828283e-01,1.016663449407182451e+00,9.830041603651291648e-01,1.000000000000000000e+00,7.747041208220278863e-01,9.339710668975359509e-01,7.509641986720849705e-01,9.451144183363997531e-01,8.345788596828320749e-01
9.583585766132831640e-01,9.783120864614912593e-01,0.000000000000000000e+00,9.616965720082358837e-01,1.192381925161130507e+00,8.673471675052037977e-01,8.407740636308531634e-01,8.413341878825799647e-01,1.000000000000000000e+00,9.441258384054792563e-01,1.173613941312043663e+00,8.786484947851118665e-01,8.814662212609974956e-01,9.521726601287201497e-01,1.000000000000000000e+00,9.839983403285406105e-01,9.236654067273153412e-01,8.750227884379667698e-01
7.458264067098819838e-01,1.000000000000000000e+00,9.616965720082358837e-01,0.000000000000000000e+00,1.194353792751565502e+00,1.000000000000000000e+00,9.619721592052093984e-01,1.000000000000000000e+00,8.047387697863914724e-01,1.000000000000000000e+00,1.277404302929495028e+00,9.871129252591632763e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.021369611340256389e-01,8.185874734560882882e-01,8.273854012126615753e-01
1.249371065920117374e+00,1.332237972808058890e+00,1.192381925161130507e+00,1.194353792751565502e+00,0.000000000000000000e+00,1.330300449421793596e+00,1.364930632306354585e+00,9.306431955289250491e-01,1.378623026680339647e+00,1.236997554048450576e+00,1.241259530048858917e+00,1.187199243376455771e+00,1.236029115459360117e+00,1.272387662433262845e+00,1.370302012431526606e+00,1.264917543398519140e+00,1.227264576172068189e+00,1.303752058292465987e+00
9.414788129265267980e-01,1.000000000000000000e+00,8.673471675052037977e-01,1.000000000000000000e+00,1.330300449421793596e+00,-2.220446049250313081e-16,8.356615445909474360e-01,8.570961002762870207e-01,8.918135689808602828e-01,9.628353179515466431e-01,1.175132289322618817e+00,9.989935383296021376e-01,9.381663355791334258e-01,9.495534598314865349e-01,9.799351975641692469e-01,1.000000000000000000e+00,6.077396880548862068e-01,9.834653971404617723e-01
8.451337524758865127e-01,8.348405486058787517e-01,8.407740636308531634e-01,9.619721592052093984e-01,1.364930632306354585e+00,8.356615445909474360e-01,3.135249655926751755e-01,9.956359135900958446e-01,9.590497231418460000e-01,9.416672332778724952e-01,1.158965196407807152e+00,9.877675452096221775e-01,9.884575860677029535e-01,8.401271538069574607e-01,9.649509942441898414e-01,6.521008381798982789e-01,8.336263993981776199e-01,9.129667955885301112e-01
1.000000000000000000e+00,1.000000000000000000e+00,8.413341878825799647e-01,1.000000000000000000e+00,9.306431955289250491e-01,8.570961002762870207e-01,9.956359135900958446e-01,1.110223024625156540e-16,9.655980547270328618e-01,5.873285920026301010e-01,1.080130693162046240e+00,7.174847307241238870e-01,6.731314925894139600e-01,9.277879304017000450e-01,9.510719370074776080e-01,1.000000000000000000e+00,9.673739506928018539e-01,9.317465591512734679e-01
9.671030626790045881e-01,9.212705575208639530e-01,1.000000000000000000e+00,8.047387697863914724e-01,1.378623026680339647e+00,8.918135689808602828e-01,9.590497231418460000e-01,9.655980547270328618e-01,-2.220446049250313081e-16,8.308369390692320611e-01,1.100713109605054418e+00,9.907015002411960758e-01,9.640785884322095045e-01,8.807650864425237147e-01,3.640309596107256240e-01,9.942098334083659950e-01,7.200160764560421534e-01,8.498632508847793199e-01
1.000000000000000000e+00,9.702052857990828283e-01,9.441258384054792563e-01,1.000000000000000000e+00,1.236997554048450576e+00,9.628353179515466431e-01,9.416672332778724952e-01,5.873285920026301010e-01,8.308369390692320611e-01,0.000000000000000000e+00,1.074335787571747414e+00,8.257980091037220305e-01,8.729002126299429953e-01,9.425361988674139102e-01,7.315669925393363249e-01,1.000000000000000000e+00,7.972506059404147472e-01,8.792219996818365635e-01
1.129919420928069851e+00,1.016663449407182451e+00,1.173613941312043663e+00,1.277404302929495028e+00,1.241259530048858917e+00,1.175132289322618817e+00,1.158965196407807152e+00,1.080130693162046240e+00,1.100713109605054418e+00,1.074335787571747414e+00,6.661338147750939243e-16,1.157485368856014052e+00,1.185799987694514224e+00,1.108474967553555235e+00,1.094045928345118934e+00,9.700680978509752528e-01,1.181660921651321638e+00,1.127132404845454294e+00
1.000000000000000000e+00,9.830041603651291648e-01,8.786484947851118665e-01,9.871129252591632763e-01,1.187199243376455771e+00,9.989935383296021376e-01,9.877675452096221775e-01,7.174847307241238870e-01,9.907015002411960758e-01,8.257980091037220305e-01,1.157485368856014052e+00,2.220446049250313081e-16,1.951771040878812480e-01,9.622556437966528486e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.814662212609974956e-01,1.000000000000000000e+00,1.236029115459360117e+00,9.381663355791334258e-01,9.884575860677029535e-01,6.731314925894139600e-01,9.640785884322095045e-01,8.729002126299429953e-01,1.185799987694514224e+00,1.951771040878812480e-01,-2.220446049250313081e-16,9.536721465495702210e-01,9.696139691456061582e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.881889288035260899e-01
7.984528097724774565e-01,7.747041208220278863e-01,9.521726601287201497e-01,1.000000000000000000e+00,1.272387662433262845e+00,9.495534598314865349e-01,8.401271538069574607e-01,9.277879304017000450e-01,8.807650864425237147e-01,9.425361988674139102e-01,1.108474967553555235e+00,9.622556437966528486e-01,9.536721465495702210e-01,-2.220446049250313081e-16,8.979348647244455028e-01,8.143672696568181602e-01,9.365403159341353367e-01,8.339288110192935033e-01
7.535898834387311229e-01,9.339710668975359509e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.370302012431526606e+00,9.799351975641692469e-01,9.649509942441898414e-01,9.510719370074776080e-01,3.640309596107256240e-01,7.315669925393363249e-01,1.094045928345118934e+00,1.000000000000000000e+00,9.696139691456061582e-01,8.979348647244455028e-01,2.220446049250313081e-16,1.000000000000000000e+00,6.749867035115191261e-01,8.757091259307762110e-01
