# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.799964259116810128e-01,8.755555526094768171e-01,1.000000000000000000e+00,7.965632308899179836e-01,9.221305396948209498e-01,8.316775572360708413e-01,9.821973503111096626e-01,8.989019416079133684e-01,9.586770723946149708e-01,9.489117737109510342e-01,8.525268987701464241e-01,6.500853840799696304e-01,9.054106860222662645e-01,9.673747895382734940e-01,7.409691175014627706e-01,1.000000000000000000e+00,9.085921553288973662e-01
9.799964259116810128e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,6.847003958494860543e-01,1.000000000000000000e+00,8.463047355830717322e-01,8.104496530376033014e-01,8.853754685756571874e-01,8.411990065649890269e-01,9.582727921950308092e-01,7.525404162119475604e-01,9.723698368144771953e-01,8.248324779591837963e-01,8.779010531913947757e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.458781929822800638e-01
8.755555526094768171e-01,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,9.223547982791255873e-01,1.000000000000000000e+00,8.864415424262943599e-01,9.742602678588900833e-01,9.477352910950553877e-01,9.543527258844167749e-01,8.386464937072215520e-01,9.453433212331928681e-01,8.786210468759775294e-01,9.187815669786596473e-01,9.773056586145745239e-01,8.527337780365196185e-01,9.770433699253131543e-01,9.335250271987284298e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.621933577933421411e-01,1.000000000000000000e+00,9.467558506212174763e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.965632308899179836e-01,6.847003958494860543e-01,9.223547982791255873e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.105340259569491002e-01,6.228893284570587996e-01,7.471226370677624962e-01,8.498814547346467130e-01,9.444132808104751531e-01,9.521590258831248432e-01,8.121784696278180338e-01,5.984398327638660309e-01,7.690732798021213679e-01,8.278072354198062754e-01,9.422049460058998793e-01,1.000000000000000000e+00,7.581627363078318194e-01
9.221305396948209498e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.105340259569491002e-01,2.220446049250313081e-16,9.437663410339228731e-01,9.818478672381275585e-01,1.000000000000000000e+00,9.024433110513121470e-01,9.745825327170738461e-01,9.297361115291105094e-01,1.000000000000000000e+00,5.338385006629543517e-01,9.308432645377846537e-01,9.987233620470098439e-01,1.000000000000000000e+00,9.441275897383797355e-01
8.316775572360708413e-01,8.463047355830717322e-01,8.864415424262943599e-01,1.000000000000000000e+00,6.228893284570587996e-01,9.437663410339228731e-01,5.000000000000000000e-01,8.244067804686983081e-01,9.294315869194650359e-01,9.411344203656977214e-01,8.885992069137732541e-01,7.284906073558619077e-01,7.812777457657845703e-01,7.401287436315585611e-01,9.091241857784339020e-01,7.829681211658596762e-01,9.664067139712526622e-01,7.738000851939553781e-01
9.821973503111096626e-01,8.104496530376033014e-01,9.742602678588900833e-01,9.621933577933421411e-01,7.471226370677624962e-01,9.818478672381275585e-01,8.244067804686983081e-01,5.000000000000000000e-01,8.855276318678999559e-01,7.984700913091047347e-01,9.424918427768261830e-01,8.156686334108540493e-01,8.734266283022069643e-01,9.648499369684397919e-01,9.301306334563101963e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.212117529549458617e-01
8.989019416079133684e-01,8.853754685756571874e-01,9.477352910950553877e-01,1.000000000000000000e+00,8.498814547346467130e-01,1.000000000000000000e+00,9.294315869194650359e-01,8.855276318678999559e-01,0.000000000000000000e+00,9.086481859618268375e-01,8.307936055171243339e-01,8.983243784100283236e-01,9.820971367030281174e-01,9.866592034495257346e-01,9.119153215723321271e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.105488190615724786e-01
9.586770723946149708e-01,8.411990065649890269e-01,9.543527258844167749e-01,9.467558506212174763e-01,9.444132808104751531e-01,9.024433110513121470e-01,9.411344203656977214e-01,7.984700913091047347e-01,9.086481859618268375e-01,5.000000000000000000e-01,9.025845760243225158e-01,8.866895424706988660e-01,9.531434633090627440e-01,1.000000000000000000e+00,9.061481612493026416e-01,6.009349763949143330e-01,8.302494707303780253e-01,8.418322736530061690e-01
