# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.694745187489967053e-01,8.154204348753777420e-01,1.000000000000000000e+00,9.156566649009190151e-01,6.690917092550675571e-01,1.796863121375458228e-01,9.828173494182285141e-01,8.283680304033785857e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.143132532650804167e-01,2.688437595630154275e-01,7.752049965260169317e-01,9.135900272168679948e-01,1.158393539192428268e-01,8.852326084749799762e-01,3.222265620105055905e-01
9.694745187489967053e-01,0.000000000000000000e+00,8.299645931332464421e-01,9.752028374247820874e-01,6.780351554076180509e-01,9.677572245319168154e-01,9.283748390134536344e-01,8.272296386499365939e-01,9.064618087444048511e-01,6.622312496457447573e-01,7.836290967645034300e-01,8.692735420672892399e-01,9.052226167255498224e-01,9.661910262857359433e-01,1.000000000000000000e+00,9.480722333256255130e-01,9.033156568988033319e-01,9.271221464769061615e-01
8.154204348753777420e-01,8.299645931332464421e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.222432687827221143e-01,9.193308484363860167e-01,8.515490730036063827e-01,6.026104015240334455e-01,9.892337734358603862e-01,8.654644596569909254e-01,8.467220516178186607e-01,9.017272196259200623e-01,8.771761709550576214e-01,6.184842555666021369e-01,9.349818436904200336e-01,8.166764068978756841e-01,9.755292018034931179e-01,8.945934913938730082e-01
1.000000000000000000e+00,9.752028374247820874e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.620507612430822197e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.821655215240583381e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.956834029386670171e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.620011634166651948e-01
9.156566649009190151e-01,6.780351554076180509e-01,9.222432687827221143e-01,8.620507612430822197e-01,0.000000000000000000e+00,9.365838050431667394e-01,6.583500397812542815e-01,5.156604832893466606e-01,8.630942710946152285e-01,8.060213808344800501e-01,9.770138255367727398e-01,8.367521657665630830e-01,8.172529884449868387e-01,9.317701752555576089e-01,9.869356449818754706e-01,6.651653056937527619e-01,9.972344345241072050e-01,7.607949207421907944e-01
6.690917092550675571e-01,9.677572245319168154e-01,9.193308484363860167e-01,1.000000000000000000e+00,9.365838050431667394e-01,-2.220446049250313081e-16,7.850972826779176739e-01,9.657035270089576739e-01,5.977396943358741499e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.604778120373275829e-01,5.862847185006929696e-01,9.518675787077055528e-01,1.000000000000000000e+00,7.172954682946151017e-01,5.361706862504534987e-01,7.429948207020358186e-01
1.796863121375458228e-01,9.283748390134536344e-01,8.515490730036063827e-01,1.000000000000000000e+00,6.583500397812542815e-01,7.850972826779176739e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.137407770471289936e-01,5.847368561171399914e-01,1.000000000000000000e+00,3.484392418769447497e-01,2.700331165315944526e-01,7.869456293193732854e-01,9.431044205081371423e-01,1.547338862995002451e-01,8.546531518878122125e-01,3.345652489897980031e-01
9.828173494182285141e-01,8.272296386499365939e-01,6.026104015240334455e-01,9.821655215240583381e-01,5.156604832893466606e-01,9.657035270089576739e-01,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.850478602810127660e-01,9.612317385287227900e-01,1.000000000000000000e+00,8.342926815689486464e-01,8.955986985137729395e-01,9.879085014927676545e-01,9.268771610389536786e-01,6.317163828236904699e-01
8.283680304033785857e-01,9.064618087444048511e-01,9.892337734358603862e-01,1.000000000000000000e+00,8.630942710946152285e-01,5.977396943358741499e-01,8.137407770471289936e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.256239975399144448e-01,9.796024379795275072e-01,8.441297841876398422e-01,9.114034437608238282e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.745620727192095822e-01,4.154020836558250940e-01,8.509518162970772792e-01
1.000000000000000000e+00,6.622312496457447573e-01,8.654644596569909254e-01,1.000000000000000000e+00,8.060213808344800501e-01,1.000000000000000000e+00,5.847368561171399914e-01,1.000000000000000000e+00,8.256239975399144448e-01,1.110223024625156540e-16,6.890745662020587581e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.854548483754609345e-01,9.567998307239043987e-01,8.842617896365250196e-01,1.000000000000000000e+00
1.000000000000000000e+00,7.836290967645034300e-01,8.467220516178186607e-01,7.956834029386670171e-01,9.770138255367727398e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.850478602810127660e-01,9.796024379795275072e-01,6.890745662020587581e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.071203163202892217e-01,9.352773438338118916e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.717131593334240591e-01
3.143132532650804167e-01,8.692735420672892399e-01,9.017272196259200623e-01,1.000000000000000000e+00,8.367521657665630830e-01,6.604778120373275829e-01,3.484392418769447497e-01,9.612317385287227900e-01,8.441297841876398422e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.360114018127754676e-01,8.611942757599340137e-01,9.272960650387040982e-01,3.049235918862925887e-01,9.239695316262739322e-01,1.230269949154182418e-01
2.688437595630154275e-01,9.052226167255498224e-01,8.771761709550576214e-01,1.000000000000000000e+00,8.172529884449868387e-01,5.862847185006929696e-01,2.700331165315944526e-01,1.000000000000000000e+00,9.114034437608238282e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.360114018127754676e-01,-2.220446049250313081e-16,8.113262931935045774e-01,9.177037093615915131e-01,2.875555361823446399e-01,9.459907172564996358e-01,2.228066824733802020e-01
7.752049965260169317e-01,9.661910262857359433e-01,6.184842555666021369e-01,1.000000000000000000e+00,9.317701752555576089e-01,9.518675787077055528e-01,7.869456293193732854e-01,8.342926815689486464e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.071203163202892217e-01,8.611942757599340137e-01,8.113262931935045774e-01,2.220446049250313081e-16,8.925024725702140893e-01,7.860079193760244332e-01,1.000000000000000000e+00,8.012112436267364579e-01
