# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,3.754889391708420288e-01,3.351801060783364816e-01,7.162706636471332100e-01,4.694560975744719311e-01,9.718600425672341281e-01,9.912789819030974892e-01,1.174513113532468012e+00,7.806508715894900918e-01,1.288875240201390104e+00,8.514053602845400581e-01,3.069541780992367519e-01,3.275320137345608673e-01,1.000000000000000000e+00,1.024427739960073636e+00,2.960871439640614389e-01,9.798379041373443954e-01,1.000000000000000000e+00
3.754889391708420288e-01,0.000000000000000000e+00,4.042354980174578394e-01,6.960354189540145509e-01,3.327078871601494292e-01,6.900550430992923312e-01,9.557973306564017113e-01,1.098028157577793040e+00,9.713299920102358431e-01,1.213350737542074231e+00,8.886386821474194786e-01,4.841289878404838598e-01,3.634915528398621198e-01,9.945657899992552675e-01,1.088548456495687988e+00,3.752124434363734995e-01,9.859944727780388662e-01,8.967337546231762824e-01
3.351801060783364816e-01,4.042354980174578394e-01,0.000000000000000000e+00,7.516475822135413321e-01,4.623816820572957953e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.145092992398639042e+00,1.000000000000000000e+00,1.091852587327949875e+00,9.139087840265704976e-01,2.026813425798428270e-01,5.329203012471874779e-01,1.000000000000000000e+00,1.030121198835064034e+00,3.507495464784013972e-01,7.583098006650155209e-01,1.000000000000000000e+00
7.162706636471332100e-01,6.960354189540145509e-01,7.516475822135413321e-01,5.000000000000000000e-01,5.612813771041015309e-01,9.562853342360471132e-01,8.667784438178892659e-01,1.042874543567896772e+00,9.832427960638474573e-01,8.741019695983431870e-01,9.672873275978566276e-01,7.984853729709401327e-01,8.178693904358537159e-01,9.789159550925079500e-01,1.058268669583743993e+00,6.952819713329828621e-01,9.385526832513868545e-01,9.216517571565391309e-01
4.694560975744719311e-01,3.327078871601494292e-01,4.623816820572957953e-01,5.612813771041015309e-01,0.000000000000000000e+00,8.633163437604549628e-01,9.948391728103415099e-01,1.121516942083411239e+00,9.852402913672430040e-01,1.013649591240585401e+00,9.707272451606764330e-01,4.677135055547197995e-01,4.244169413827346693e-01,1.000000000000000000e+00,1.069798238607058138e+00,4.164625294964351410e-01,9.895492650413619806e-01,1.000000000000000000e+00
9.718600425672341281e-01,6.900550430992923312e-01,1.000000000000000000e+00,9.562853342360471132e-01,8.633163437604549628e-01,0.000000000000000000e+00,9.772292419255391716e-01,1.084961310042767302e+00,9.274849621196442628e-01,9.804247424563375946e-01,1.049197330183879728e+00,1.000000000000000000e+00,9.888522632499018306e-01,9.916972410612566735e-01,1.219438450730000234e+00,9.861573534746479464e-01,9.907982979446938732e-01,9.739617384729607474e-01
9.912789819030974892e-01,9.557973306564017113e-01,1.000000000000000000e+00,8.667784438178892659e-01,9.948391728103415099e-01,9.772292419255391716e-01,1.110223024625156540e-16,1.012182517644101276e+00,9.307343981434244018e-01,1.069299667794429531e+00,1.082961228834197431e+00,1.000000000000000000e+00,9.714170451618597824e-01,9.809148803701175368e-01,1.117861842294561203e+00,8.971742974217397082e-01,8.862432154277496421e-01,9.354946642843613436e-01
1.174513113532468012e+00,1.098028157577793040e+00,1.145092992398639042e+00,1.042874543567896772e+00,1.121516942083411239e+00,1.084961310042767302e+00,1.012182517644101276e+00,0.000000000000000000e+00,9.900069797418983297e-01,1.177186129884849830e+00,1.196689831052629049e+00,1.083132711583522978e+00,1.257811938860447398e+00,1.048143698748284836e+00,1.146637419356425491e+00,1.248178866318893299e+00,1.177430663082897899e+00,1.074278927877302392e+00
7.806508715894900918e-01,9.713299920102358431e-01,1.000000000000000000e+00,9.832427960638474573e-01,9.852402913672430040e-01,9.274849621196442628e-01,9.307343981434244018e-01,9.900069797418983297e-01,2.220446049250313081e-16,1.160457830365415610e+00,1.082245744211004279e+00,9.731405609768953857e-01,8.434447799621671571e-01,9.782280763118436084e-01,5.985306352230977955e-01,9.022512951890828692e-01,5.209797696928785138e-01,1.000000000000000000e+00
1.288875240201390104e+00,1.213350737542074231e+00,1.091852587327949875e+00,8.741019695983431870e-01,1.013649591240585401e+00,9.804247424563375946e-01,1.069299667794429531e+00,1.177186129884849830e+00,1.160457830365415610e+00,3.330669073875469621e-16,1.168834388653546164e+00,1.251066783479074962e+00,1.335529918023826479e+00,1.221652693816172031e+00,1.078519034537405163e+00,1.295324799843761809e+00,1.230060561920016005e+00,1.107064462795510407e+00
8.514053602845400581e-01,8.886386821474194786e-01,9.139087840265704976e-01,9.672873275978566276e-01,9.707272451606764330e-01,1.049197330183879728e+00,1.082961228834197431e+00,1.196689831052629049e+00,1.082245744211004279e+00,1.168834388653546164e+00,6.749891965154328766e-01,9.527540810618891909e-01,9.969864331756590481e-01,1.096335331015872994e+00,1.145789498530366490e+00,1.005349220637428598e+00,1.068106111763394317e+00,1.084701992094753376e+00
