# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
7.071928770527404762e-01,1.079929570567540908e+00,9.154915716590156238e-01,1.037378389351846453e+00,8.956473348757918451e-01,1.089089764797541715e+00,7.026003592570145839e-01,1.071636269458043023e+00,1.102821446204130140e+00,1.007405553999074721e+00,1.053683417873847228e+00,8.395826402415620393e-01,1.010210453085897742e+00,8.697186986069933567e-01,1.074885834049755795e+00,7.340743163279231931e-01,1.123151033986099945e+00,8.235097976032345057e-01
1.079929570567540908e+00,0.000000000000000000e+00,1.107084359601369972e+00,1.002359668083312227e+00,1.184089945564846147e+00,1.206395646069835959e+00,1.072652369258361826e+00,8.196407227968348641e-01,1.196493039695207150e+00,1.010235610173635612e+00,1.154535561030387125e+00,1.034599192527736911e+00,9.774044697609495236e-01,9.195415027659470386e-01,1.138507454505353733e+00,1.120961622208029418e+00,1.262352948037927192e+00,1.001747837137592967e+00
9.154915716590156238e-01,1.107084359601369972e+00,0.000000000000000000e+00,8.879907370142250400e-01,8.055418917646735011e-01,9.460373968647728393e-01,5.918042860652770187e-01,9.880889971407846861e-01,1.000000000000000000e+00,9.872207065722086172e-01,1.000000000000000000e+00,8.714138237578594737e-01,1.000000000000000000e+00,8.611890618068156478e-01,9.921879948109854075e-01,4.754489370354002542e-01,9.722384945269355594e-01,8.900022924698468563e-01
1.037378389351846453e+00,1.002359668083312227e+00,8.879907370142250400e-01,2.220446049250313081e-16,7.990817618186042415e-01,8.419604932557205323e-01,9.220585602169893980e-01,1.000000000000000000e+00,9.505047042931095147e-01,7.840342592826268220e-01,9.371865924304736417e-01,9.496601311397879774e-01,9.966696623263203714e-01,1.000000000000000000e+00,9.765131787410857855e-01,8.520933379695274645e-01,9.157467425059615529e-01,9.978675760685601359e-01
8.956473348757918451e-01,1.184089945564846147e+00,8.055418917646735011e-01,7.990817618186042415e-01,0.000000000000000000e+00,9.476640035553431929e-01,5.854182522239014252e-01,9.005328206082452436e-01,1.000000000000000000e+00,7.777051324772092933e-01,7.517446539339063261e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.750945534015235117e-01,5.326481401600569043e-01,9.718958042754208826e-01,9.698051488446037816e-01
1.089089764797541715e+00,1.206395646069835959e+00,9.460373968647728393e-01,8.419604932557205323e-01,9.476640035553431929e-01,1.110223024625156540e-16,9.187502463024445065e-01,1.000000000000000000e+00,4.864978933835359953e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.771377826765263119e-01,9.761763606113552649e-01,9.318930494835440115e-01,3.640901838727470530e-01,9.951573192871079332e-01
7.026003592570145839e-01,1.072652369258361826e+00,5.918042860652770187e-01,9.220585602169893980e-01,5.854182522239014252e-01,9.187502463024445065e-01,1.110223024625156540e-16,9.131438181057058845e-01,9.546185417154474662e-01,9.300459916900573054e-01,9.413085907847820177e-01,8.762691519769681969e-01,1.000000000000000000e+00,9.283854518719251159e-01,1.000000000000000000e+00,1.776069027931084232e-01,9.703190077128889257e-01,5.489623526280521526e-01
1.071636269458043023e+00,8.196407227968348641e-01,9.880889971407846861e-01,1.000000000000000000e+00,9.005328206082452436e-01,1.000000000000000000e+00,9.131438181057058845e-01,5.000000000000000000e-01,1.000000000000000000e+00,8.460684906409383643e-01,8.438689574749123068e-01,9.426184291660543169e-01,9.571436573632206013e-01,7.818000422063186017e-01,8.827774661258817046e-01,8.702140682674572858e-01,9.800399860950403941e-01,8.828102484038061748e-01
1.102821446204130140e+00,1.196493039695207150e+00,1.000000000000000000e+00,9.505047042931095147e-01,1.000000000000000000e+00,4.864978933835359953e-01,9.546185417154474662e-01,1.000000000000000000e+00,3.330669073875469621e-16,1.000000000000000000e+00,9.593722524017155306e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.294548632578566449e-01,8.563541153459774957e-01,1.000000000000000000e+00,3.669694185265305331e-01,1.000000000000000000e+00
1.007405553999074721e+00,1.010235610173635612e+00,9.872207065722086172e-01,7.840342592826268220e-01,7.777051324772092933e-01,1.000000000000000000e+00,9.300459916900573054e-01,8.460684906409383643e-01,1.000000000000000000e+00,2.220446049250313081e-16,6.262894507212477535e-01,9.951259072867416622e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.073063125454651212e-01,9.476138359365724462e-01,9.877176874120120464e-01,9.835765506786209311e-01
