# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.715757531645454748e-01,8.317995473290287212e-01,9.651162991940527291e-01,1.000000000000000000e+00,8.368717395102061030e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.665650348898043864e-01,9.306253497357340754e-01,9.352933401610870057e-01,8.835410188083286931e-01,9.765731629652064649e-01,9.762599233575891544e-01,8.355929395831083184e-01,2.426502633072061821e-01,8.652336616109039813e-01,9.181440905256443852e-01
9.715757531645454748e-01,0.000000000000000000e+00,1.172978682141211815e+00,1.000000000000000000e+00,2.738717187717741863e-01,9.862154832166101226e-01,9.040738349004651120e-01,1.846715270221898075e-01,9.387849487275385929e-01,9.395100053151483888e-01,8.808121429317797846e-01,4.626757922393975875e-01,4.347335137923179493e-01,1.000000000000000000e+00,8.849582115944628624e-01,9.875026268574524924e-01,8.928369468062588021e-01,4.533064117316601971e-01
8.317995473290287212e-01,1.172978682141211815e+00,1.110223024625156540e-16,1.290439556358233819e+00,1.174918961240274839e+00,1.245586423382441188e+00,1.131055730576238982e+00,1.153619439002253833e+00,1.254633118009987225e+00,1.261738409749627587e+00,1.082065172524913299e+00,1.206101646002184724e+00,1.150768373986759130e+00,1.044584825796530669e+00,1.285272847349355763e+00,1.125625845778520651e+00,1.330081010224715143e+00,1.194286260457346316e+00
9.651162991940527291e-01,1.000000000000000000e+00,1.290439556358233819e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.085172664031883061e-01,9.691902292549517961e-01,1.000000000000000000e+00,9.660108932127863257e-01,9.060107321057332408e-01,9.812868516708443956e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.592810430766050223e-01,1.000000000000000000e+00,9.795969858241144745e-01,1.000000000000000000e+00,9.530667892776385486e-01
1.000000000000000000e+00,2.738717187717741863e-01,1.174918961240274839e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.336456345261228140e-01,2.664456512304099745e-01,8.965927929036957567e-01,8.824793815578688694e-01,8.995116704911574335e-01,5.271033926007885340e-01,5.513463204977631094e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.805757781457106192e-01,5.065939111368260583e-01
8.368717395102061030e-01,9.862154832166101226e-01,1.245586423382441188e+00,9.085172664031883061e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.427351187401314947e-01,8.486065526194952469e-01,9.822964938958199665e-01,1.000000000000000000e+00,9.402574471446103477e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.641530720390258935e-01,8.683505201771417603e-01,4.640369706953855200e-01,9.873360560146277054e-01
1.000000000000000000e+00,9.040738349004651120e-01,1.131055730576238982e+00,9.691902292549517961e-01,9.336456345261228140e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.920675822080417205e-01,9.122676962244820054e-01,7.600949096490904333e-01,9.486788618395091133e-01,9.598023726268161138e-01,9.512136376490174516e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.735938492593674276e-01,1.000000000000000000e+00,6.305456497145025541e-01
1.000000000000000000e+00,1.846715270221898075e-01,1.153619439002253833e+00,1.000000000000000000e+00,2.664456512304099745e-01,9.427351187401314947e-01,8.920675822080417205e-01,-2.220446049250313081e-16,9.729408885696689824e-01,9.741194477008966457e-01,1.000000000000000000e+00,5.285804769498372302e-01,4.836789330108022256e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.947309215124554793e-01,6.179142601645390975e-01
9.665650348898043864e-01,9.387849487275385929e-01,1.254633118009987225e+00,9.660108932127863257e-01,8.965927929036957567e-01,8.486065526194952469e-01,9.122676962244820054e-01,9.729408885696689824e-01,-2.220446049250313081e-16,9.799063909467232714e-01,9.339387578977553783e-01,9.672606030256745147e-01,1.000000000000000000e+00,9.806495577307041689e-01,9.673883832466774191e-01,9.827661570561535553e-01,8.297494760806604086e-01,9.381411877679455280e-01
9.306253497357340754e-01,9.395100053151483888e-01,1.261738409749627587e+00,9.060107321057332408e-01,8.824793815578688694e-01,9.822964938958199665e-01,7.600949096490904333e-01,9.741194477008966457e-01,9.799063909467232714e-01,2.220446049250313081e-16,8.910567906165520746e-01,9.198748704315213853e-01,9.117377272835562874e-01,9.425710455317757308e-01,1.000000000000000000e+00,9.700984435428056107e-01,9.716883116391112907e-01,9.160948141957929725e-01
9.352933401610870057e-01,8.808121429317797846e-01,1.082065172524913299e+00,9.812868516708443956e-01,8.995116704911574335e-01,1.000000000000000000e+00,9.486788618395091133e-01,1.000000000000000000e+00,9.339387578977553783e-01,8.910567906165520746e-01,0.000000000000000000e+00,9.040607945019889513e-01,9.801480925968890645e-01,9.917074346419468833e-01,1.000000000000000000e+00,9.326314402444415563e-01,1.000000000000000000e+00,9.672446801434639863e-01
8.835410188083286931e-01,4.626757922393975875e-01,1.206101646002184724e+00,1.000000000000000000e+00,5.271033926007885340e-01,9.402574471446103477e-01,9.598023726268161138e-01,5.285804769498372302e-01,9.672606030256745147e-01,9.198748704315213853e-01,9.040607945019889513e-01,0.000000000000000000e+00,1.918819257587817129e-01,9.322339228647809062e-01,1.000000000000000000e+00,9.342757212876181550e-01,9.970727748204493146e-01,8.442918660891871596e-01
9.765731629652064649e-01,4.347335137923179493e-01,1.150768373986759130e+00,1.000000000000000000e+00,5.513463204977631094e-01,1.000000000000000000e+00,9.512136376490174516e-01,4.836789330108022256e-01,1.000000000000000000e+00,9.117377272835562874e-01,9.801480925968890645e-01,1.918819257587817129e-01,0.000000000000000000e+00,9.556008446585835259e-01,1.000000000000000000e+00,9.517754908646630652e-01,9.980660484105055019e-01,7.307853840188116568e-01
9.762599233575891544e-01,1.000000000000000000e+00,1.044584825796530669e+00,8.592810430766050223e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.806495577307041689e-01,9.425710455317757308e-01,9.917074346419468833e-01,9.322339228647809062e-01,9.556008446585835259e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.664471418358907773e-01,1.000000000000000000e+00,9.772410335694605710e-01
8.355929395831083184e-01,8.849582115944628624e-01,1.285272847349355763e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.641530720390258935e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.673883832466774191e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.330669073875469621e-16,8.528895325195219312e-01,3.847113369496441004e-01,1.000000000000000000e+00
2.426502633072061821e-01,9.875026268574524924e-01,1.125625845778520651e+00,9.795969858241144745e-01,1.000000000000000000e+00,8.683505201771417603e-01,9.735938492593674276e-01,1.000000000000000000e+00,9.827661570561535553e-01,9.700984435428056107e-01,9.326314402444415563e-01,9.342757212876181550e-01,9.517754908646630652e-01,8.664471418358907773e-01,8.528895325195219312e-01,0.000000000000000000e+00,8.764654780173273263e-01,7.347725684653277911e-01
8.652336616109039813e-01,8.928369468062588021e-01,1.330081010224715143e+00,1.000000000000000000e+00,9.805757781457106192e-01,4.640369706953855200e-01,1.000000000000000000e+00,8.947309215124554793e-01,8.297494760806604086e-01,9.716883116391112907e-01,1.000000000000000000e+00,9.970727748204493146e-01,9.980660484105055019e-01,1.000000000000000000e+00,3.847113369496441004e-01,8.764654780173273263e-01,1.110223024625156540e-16,9.929097518783113197e-01
9.181440905256443852e-01,4.533064117316601971e-01,1.194286260457346316e+00,9.530667892776385486e-01,5.065939111368260583e-01,9.873360560146277054e-01,6.305456497145025541e-01,6.179142601645390975e-01,9.381411877679455280e-01,9.160948141957929725e-01,9.672446801434639863e-01,8.442918660891871596e-01,7.307853840188116568e-01,9.772410335694605710e-01,1.000000000000000000e+00,7.347725684653277911e-01,9.929097518783113197e-01,4.999999999999999445e-01
