# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.670524276304210076e-01,6.250932118287257921e-01,8.897715983304435028e-01,6.160288270901925767e-01,1.000000000000000000e+00,2.594788499728998277e-01,7.332774055470758778e-01,9.490019581216094791e-01,8.968773258809249471e-01,8.619090370896502762e-01,6.272081330393809440e-01,2.178068938962561818e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.956735167326126845e-01,9.982283068119255365e-01,5.388293260683461039e-01
8.670524276304210076e-01,0.000000000000000000e+00,9.345554486167042541e-01,1.000000000000000000e+00,5.559992725450684237e-01,9.740584862651632259e-01,7.604662388197399592e-01,4.571084244965895049e-01,9.616008415813889210e-01,9.598823889737104764e-01,1.000000000000000000e+00,9.424028609111171351e-01,7.918768398907201078e-01,9.406653783647397349e-01,8.451350853329264723e-01,8.125861957257498602e-01,9.489051000386028445e-01,8.091232934878832550e-01
6.250932118287257921e-01,9.345554486167042541e-01,0.000000000000000000e+00,9.257161359978266502e-01,7.683209843532918804e-01,9.814396370699404182e-01,6.176123351717406340e-01,7.914118968226027118e-01,1.000000000000000000e+00,9.599432867817548898e-01,6.659873603837767053e-01,7.891539232817360583e-01,6.007639723549300648e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.184280266216895194e-01,9.703083067932632977e-01,7.761026996934432542e-01
8.897715983304435028e-01,1.000000000000000000e+00,9.257161359978266502e-01,3.330669073875469621e-16,8.060419993603791244e-01,9.666929834090831619e-01,8.735897473563899451e-01,9.302232282885104508e-01,9.566488281633520607e-01,1.000000000000000000e+00,2.625767879107592240e-01,9.790726003694963930e-01,9.083460636179944148e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.235232691628021628e-01,9.280316096710184981e-01,9.425107352822980067e-01
6.160288270901925767e-01,5.559992725450684237e-01,7.683209843532918804e-01,8.060419993603791244e-01,0.000000000000000000e+00,9.522606593693905275e-01,5.121052959903411583e-01,3.748469227287061223e-01,9.348210829541182543e-01,9.621385472905609193e-01,8.002705312666429371e-01,8.836555237774788019e-01,6.256548427615521435e-01,9.672499481916095876e-01,9.708469621169467656e-01,5.269914799713717457e-01,9.268362102408872483e-01,7.238560092070800422e-01
1.000000000000000000e+00,9.740584862651632259e-01,9.814396370699404182e-01,9.666929834090831619e-01,9.522606593693905275e-01,0.000000000000000000e+00,9.747429054107863422e-01,9.633874756292952757e-01,5.192738686503786116e-01,9.523754822684243893e-01,9.872955853872055210e-01,9.709489250518418268e-01,9.602789814311134542e-01,9.909155700278506895e-01,6.744763484371143480e-01,9.327881140728133680e-01,4.480793256863979668e-01,7.602899811870607039e-01
2.594788499728998277e-01,7.604662388197399592e-01,6.176123351717406340e-01,8.735897473563899451e-01,5.121052959903411583e-01,9.747429054107863422e-01,2.220446049250313081e-16,7.036465632763664324e-01,9.736808602614646091e-01,9.708911425630465386e-01,8.439497182245114804e-01,7.357077733050638724e-01,3.008674278082148490e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.660182047857547971e-01,9.161735513365940609e-01,5.712055585325557239e-01
7.332774055470758778e-01,4.571084244965895049e-01,7.914118968226027118e-01,9.302232282885104508e-01,3.748469227287061223e-01,9.633874756292952757e-01,7.036465632763664324e-01,-2.220446049250313081e-16,9.012955523957484338e-01,9.234203484265982587e-01,9.982606605306841852e-01,8.334073360723703860e-01,7.106120855370590128e-01,8.745583625080577406e-01,8.717358112890296606e-01,7.133540813436300976e-01,9.855508520314159027e-01,8.014626973196505855e-01
9.490019581216094791e-01,9.616008415813889210e-01,1.000000000000000000e+00,9.566488281633520607e-01,9.348210829541182543e-01,5.192738686503786116e-01,9.736808602614646091e-01,9.012955523957484338e-01,0.000000000000000000e+00,8.548824936379068040e-01,9.604363690688969557e-01,9.705414160285883440e-01,1.000000000000000000e+00,7.261665499714633487e-01,4.618723453826301117e-01,9.725703929482648613e-01,4.105171249528514199e-01,8.918885693142861726e-01
8.968773258809249471e-01,9.598823889737104764e-01,9.599432867817548898e-01,1.000000000000000000e+00,9.621385472905609193e-01,9.523754822684243893e-01,9.708911425630465386e-01,9.234203484265982587e-01,8.548824936379068040e-01,3.330669073875469621e-16,1.000000000000000000e+00,9.598126807161690976e-01,1.000000000000000000e+00,8.788138684366850750e-01,8.652804813479653134e-01,1.000000000000000000e+00,8.488822832238280824e-01,9.662720873852694847e-01
8.619090370896502762e-01,1.000000000000000000e+00,6.659873603837767053e-01,2.625767879107592240e-01,8.002705312666429371e-01,9.872955853872055210e-01,8.439497182245114804e-01,9.982606605306841852e-01,9.604363690688969557e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.708153325002824019e-01,8.668221109662628265e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.791433344134489403e-01,9.503409921674004224e-01,9.263796318239122529e-01
6.272081330393809440e-01,9.424028609111171351e-01,7.891539232817360583e-01,9.790726003694963930e-01,8.836555237774788019e-01,9.709489250518418268e-01,7.357077733050638724e-01,8.334073360723703860e-01,9.705414160285883440e-01,9.598126807161690976e-01,9.708153325002824019e-01,1.110223024625156540e-16,6.200947064347537285e-01,9.768043548446022628e-01,9.737775763086573555e-01,6.744389312451605223e-01,1.000000000000000000e+00,6.998420985144471196e-01
