# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.447056759994221231e-01,1.143029019414907976e+00,9.922932487580335970e-01,9.049667063500692610e-01,9.351717052751952197e-01,9.918174198726880109e-01,9.523718751709028263e-01,9.905443822976396362e-01,9.551997692179824417e-01,1.187890330234165015e+00,1.097089742054619066e+00,1.000000000000000000e+00,7.288819788264964128e-01,1.000000000000000000e+00,1.154056318221951649e+00,1.000000000000000000e+00,9.649560800768891555e-01
9.447056759994221231e-01,-2.220446049250313081e-16,1.085491892929239865e+00,9.399034623479214368e-01,4.542287780491014448e-01,1.000000000000000000e+00,9.143638121290229570e-01,2.895273058407644706e-01,1.000000000000000000e+00,7.978558336501929693e-01,1.108719780224258988e+00,1.197294974182706362e+00,8.964195064311630823e-01,8.869163948588644208e-01,8.715810134550202593e-01,9.973267074407646815e-01,9.735401631114071197e-01,8.988114673758823558e-01
1.143029019414907976e+00,1.085491892929239865e+00,0.000000000000000000e+00,1.077648151501290563e+00,1.158625297618688155e+00,1.286071960706238304e+00,1.186077975588242461e+00,1.154309090207937372e+00,1.251471701706441175e+00,1.087992351153888926e+00,1.225982328671774368e+00,1.161193049178190329e+00,1.061814408283985767e+00,1.179769855128681044e+00,1.197981936604317621e+00,4.806109947341069555e-01,1.275363920435651277e+00,1.239500000697439930e+00
9.922932487580335970e-01,9.399034623479214368e-01,1.077648151501290563e+00,1.110223024625156540e-16,8.412235596752049016e-01,9.873068342920472418e-01,1.000000000000000000e+00,9.072770881938733156e-01,9.915837105596094769e-01,8.845608728951729338e-01,1.232843598003382724e+00,1.202073414264734241e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.943781834565491584e-01,1.081314126061113212e+00,1.000000000000000000e+00,9.744885873125760378e-01
9.049667063500692610e-01,4.542287780491014448e-01,1.158625297618688155e+00,8.412235596752049016e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.710328118710789269e-01,4.372499661580424579e-01,1.000000000000000000e+00,7.894868328781862177e-01,1.119739834432909920e+00,1.206607139482870350e+00,9.683759346839005966e-01,9.675764593964025773e-01,9.257604598604776136e-01,9.548324997123994740e-01,9.321841396636310062e-01,1.000000000000000000e+00
9.351717052751952197e-01,1.000000000000000000e+00,1.286071960706238304e+00,9.873068342920472418e-01,1.000000000000000000e+00,-4.440892098500626162e-16,9.998529194688557942e-01,1.000000000000000000e+00,9.938170022673086246e-01,9.044420772613819270e-01,1.339100722333159910e+00,1.276790770969043365e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.786247278896647250e-01,1.167818186303796413e+00,9.989901333393029770e-01,1.000000000000000000e+00
9.918174198726880109e-01,9.143638121290229570e-01,1.186077975588242461e+00,1.000000000000000000e+00,9.710328118710789269e-01,9.998529194688557942e-01,1.110223024625156540e-16,9.296617553272816803e-01,9.842324373650311875e-01,8.162324736055788232e-01,1.262743211200322069e+00,1.101004349885498002e+00,9.418671176897582820e-01,8.526231044809832182e-01,9.240641216954971204e-01,1.240198144144582848e+00,9.852338101397943859e-01,9.302177520458704274e-01
9.523718751709028263e-01,2.895273058407644706e-01,1.154309090207937372e+00,9.072770881938733156e-01,4.372499661580424579e-01,1.000000000000000000e+00,9.296617553272816803e-01,-2.220446049250313081e-16,9.493806492307150791e-01,6.557291737331649717e-01,1.199573392317912157e+00,1.186306362287371297e+00,9.052961080127704951e-01,8.796074603066496023e-01,9.150372834259882238e-01,9.634504872844157353e-01,9.281407473644293082e-01,8.896758554636685634e-01
9.905443822976396362e-01,1.000000000000000000e+00,1.251471701706441175e+00,9.915837105596094769e-01,1.000000000000000000e+00,9.938170022673086246e-01,9.842324373650311875e-01,9.493806492307150791e-01,0.000000000000000000e+00,8.215515361839186292e-01,1.297831882816478988e+00,1.214961634644501798e+00,9.073637061706096851e-01,1.000000000000000000e+00,7.819944824023433716e-01,1.082279079833751156e+00,9.587678709920651743e-01,1.000000000000000000e+00
9.551997692179824417e-01,7.978558336501929693e-01,1.087992351153888926e+00,8.845608728951729338e-01,7.894868328781862177e-01,9.044420772613819270e-01,8.162324736055788232e-01,6.557291737331649717e-01,8.215515361839186292e-01,3.330669073875469621e-16,1.126307001129737584e+00,1.164366327562866399e+00,1.000000000000000000e+00,9.476926512816085113e-01,9.137972393884647992e-01,1.107501686051592493e+00,1.000000000000000000e+00,1.000000000000000000e+00
