# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,9.773284019504095976e-01,9.549809409996947718e-01,7.584777746836671719e-01,1.000000000000000000e+00,3.780018235373368007e-01,8.623650637422549670e-01,8.596547878327065462e-01,7.951993127663725680e-01,1.000000000000000000e+00,-4.229818101938143116e-02,-5.388564863259448501e-02,6.058638807407241700e-01,8.949447994316920285e-01,2.682494493332775454e-01,8.528731954903645551e-01,1.221257159114697011e-02
1.000000000000000000e+00,0.000000000000000000e+00,9.071828061639375385e-01,8.986196556493249998e-01,3.020275205500180249e-01,9.574442469997784810e-01,9.279365577298949175e-01,1.161149386414922491e-01,8.575148334361919478e-01,8.301084569897474452e-01,9.392756730452744840e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.379332997711121944e-01,9.495007813402209784e-01,9.640942778210117581e-01,1.000000000000000000e+00
9.773284019504095976e-01,9.071828061639375385e-01,0.000000000000000000e+00,8.824683465947712468e-01,9.059961679699246595e-01,9.286266717575635266e-01,1.000000000000000000e+00,9.593505422991882581e-01,1.000000000000000000e+00,8.982367586824178129e-01,6.868141195375283559e-01,1.000000000000000000e+00,8.625129850622437200e-01,8.637152244630902365e-01,9.976410902396483094e-01,1.000000000000000000e+00,8.286876290399649569e-01,1.000000000000000000e+00
9.549809409996947718e-01,8.986196556493249998e-01,8.824683465947712468e-01,4.432894206585171193e-01,8.298242611136490421e-01,8.921741893191501571e-01,9.315958580825125512e-01,9.397149235657895616e-01,9.836102659964947037e-01,9.560563435749905858e-01,9.042629202063765526e-01,9.565789650436535840e-01,9.500457207238290902e-01,9.243928261197262852e-01,9.989785041290526468e-01,9.752202483695231461e-01,9.091934172939211134e-01,7.206302677153839653e-01
7.584777746836671719e-01,3.020275205500180249e-01,9.059961679699246595e-01,8.298242611136490421e-01,0.000000000000000000e+00,9.505537380528636948e-01,7.300055905431926950e-01,5.124304484627767442e-01,7.981257988231144074e-01,8.044183443874932671e-01,7.921514028357548032e-01,9.507664512506868171e-01,8.770317077861375932e-01,9.404320558327980972e-01,8.302507987395011391e-01,9.185409968271136538e-01,9.529239108217166798e-01,9.286469514124184865e-01
1.000000000000000000e+00,9.574442469997784810e-01,9.286266717575635266e-01,8.921741893191501571e-01,9.505537380528636948e-01,-2.220446049250313081e-16,9.722025746007306735e-01,9.796499095250842393e-01,5.371545000019217753e-01,9.720698224831411105e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.713513726648515423e-01,6.416268971978842384e-01,9.888274141801807193e-01,8.995497316184229986e-01,1.000000000000000000e+00
3.780018235373368007e-01,9.279365577298949175e-01,1.000000000000000000e+00,9.315958580825125512e-01,7.300055905431926950e-01,9.722025746007306735e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.267862068048953184e-01,6.726702156101386221e-01,9.988584091384009600e-01,1.645419112665900130e-01,-3.308875734644505240e-01,5.431817381019250490e-01,8.537108452657906632e-01,1.405698918775631912e-01,8.454357780425918456e-01,3.921789360976559724e-01
8.623650637422549670e-01,1.161149386414922491e-01,9.593505422991882581e-01,9.397149235657895616e-01,5.124304484627767442e-01,9.796499095250842393e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.694225713593347615e-01,9.948557724581221784e-01,8.572112781681069382e-01,1.000000000000000000e+00,9.372416250590299702e-01,8.692689798517284627e-01,8.257489807351807709e-01,9.372931189423033826e-01,9.516862077973502476e-01,8.538546784434760673e-01
8.596547878327065462e-01,8.575148334361919478e-01,1.000000000000000000e+00,9.836102659964947037e-01,7.981257988231144074e-01,5.371545000019217753e-01,9.267862068048953184e-01,8.694225713593347615e-01,0.000000000000000000e+00,8.995360787387549628e-01,8.890204493144292508e-01,1.000000000000000000e+00,8.418066614328196806e-01,9.320047580279692268e-01,2.660456809196372063e-01,1.000000000000000000e+00,9.369027210532920869e-01,1.000000000000000000e+00
7.951993127663725680e-01,8.301084569897474452e-01,8.982367586824178129e-01,9.560563435749905858e-01,8.044183443874932671e-01,9.720698224831411105e-01,6.726702156101386221e-01,9.948557724581221784e-01,8.995360787387549628e-01,1.110223024625156540e-16,6.714790693241474706e-01,8.762147560561066584e-01,8.462532734624265141e-01,9.431921607288610288e-01,8.428428216221266478e-01,9.040319754346011205e-01,1.000000000000000000e+00,8.221505236710653364e-01
