# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.544408735340939032e-01,1.000000000000000000e+00,9.847566555155282675e-01,9.232428259224784162e-01,1.000000000000000000e+00,9.111813926397471786e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.794496740472979912e-01,1.000000000000000000e+00,8.625309290939315865e-01,9.063530424098112936e-01,5.037623452545649805e-01,1.000000000000000000e+00,1.112796052830185012e-01,1.000000000000000000e+00,9.662269303989219349e-01
9.544408735340939032e-01,0.000000000000000000e+00,8.646783797756288914e-01,9.840454098936609606e-01,9.741295139586595431e-01,9.128495437831222192e-01,8.589662105123634372e-01,8.823926047254101457e-01,9.301872101470353149e-01,9.087897704360012874e-01,9.919241497973206867e-01,9.594976577715421673e-01,1.000000000000000000e+00,9.435064681200056036e-01,9.819625414772100713e-01,9.609492748969170606e-01,9.778889043900996780e-01,8.113264374408668544e-01
1.000000000000000000e+00,8.646783797756288914e-01,-2.220446049250313081e-16,9.752440339027979022e-01,1.000000000000000000e+00,9.726880218600809647e-01,9.698107442223016239e-01,8.768419077911424608e-01,9.341768875771916392e-01,9.071673184085321529e-01,7.003427185300012958e-01,9.813829112438352542e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.700723485025058990e-01,1.000000000000000000e+00,9.880098435189720307e-01,9.799275870993283677e-01
9.847566555155282675e-01,9.840454098936609606e-01,9.752440339027979022e-01,1.110223024625156540e-16,8.754422611428134271e-01,9.855253584580334625e-01,9.821820949157432645e-01,8.966982501685565321e-01,9.700584339119510124e-01,9.457712046594093369e-01,7.321153854727374677e-01,9.675459990686776646e-01,1.000000000000000000e+00,9.621352084070334820e-01,9.742626772454130446e-01,9.996885894072680134e-01,8.779387743008774114e-01,8.637807824529180056e-01
9.232428259224784162e-01,9.741295139586595431e-01,1.000000000000000000e+00,8.754422611428134271e-01,0.000000000000000000e+00,9.836143857887011954e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.809158778530291611e-01,9.114464316012503842e-01,8.808703921886151811e-01,1.000000000000000000e+00,8.903187406876509336e-01,9.375295333663318242e-01,1.000000000000000000e+00,9.331415262399331834e-01,1.000000000000000000e+00,9.919250609999836765e-01
1.000000000000000000e+00,9.128495437831222192e-01,9.726880218600809647e-01,9.855253584580334625e-01,9.836143857887011954e-01,-2.220446049250313081e-16,9.689169184717744132e-01,9.603584143114863858e-01,8.170354682341738339e-01,8.484005826638363335e-01,1.000000000000000000e+00,9.346524500995194717e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.632327724858868123e-01,1.000000000000000000e+00,9.706605443080955631e-01,8.859679183485720255e-01
9.111813926397471786e-01,8.589662105123634372e-01,9.698107442223016239e-01,9.821820949157432645e-01,1.000000000000000000e+00,9.689169184717744132e-01,0.000000000000000000e+00,9.608578851001309262e-01,1.000000000000000000e+00,6.503499786991546738e-01,9.826091042152913513e-01,6.607316326616665680e-01,9.288471363633646893e-01,9.536968900509430469e-01,1.000000000000000000e+00,3.019735707792986501e-01,9.783852299881736769e-01,4.736451110189999203e-01
1.000000000000000000e+00,8.823926047254101457e-01,8.768419077911424608e-01,8.966982501685565321e-01,1.000000000000000000e+00,9.603584143114863858e-01,9.608578851001309262e-01,1.110223024625156540e-16,8.786434756121269674e-01,9.091322664583787461e-01,8.868054249617187690e-01,9.783246402213127135e-01,9.731255851973656945e-01,1.000000000000000000e+00,8.927284728790466639e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.299989404976725105e-01
1.000000000000000000e+00,9.301872101470353149e-01,9.341768875771916392e-01,9.700584339119510124e-01,8.809158778530291611e-01,8.170354682341738339e-01,1.000000000000000000e+00,8.786434756121269674e-01,0.000000000000000000e+00,8.683860769493931819e-01,8.951756549805899299e-01,9.488832476921676973e-01,9.794460261417468061e-01,9.737392473017507655e-01,9.868854882259602279e-01,9.898941073941401880e-01,8.728924380499838431e-01,9.055867218609485736e-01
9.794496740472979912e-01,9.087897704360012874e-01,9.071673184085321529e-01,9.457712046594093369e-01,9.114464316012503842e-01,8.484005826638363335e-01,6.503499786991546738e-01,9.091322664583787461e-01,8.683860769493931819e-01,5.000000000000000000e-01,9.320407781968851335e-01,9.127641900716668699e-01,8.572706087041978007e-01,9.952339906043490281e-01,9.667717707688381346e-01,9.878833710785083211e-01,9.298526618367258800e-01,8.655522715510688414e-01
1.000000000000000000e+00,9.919241497973206867e-01,7.003427185300012958e-01,7.321153854727374677e-01,8.808703921886151811e-01,1.000000000000000000e+00,9.826091042152913513e-01,8.868054249617187690e-01,8.951756549805899299e-01,9.320407781968851335e-01,0.000000000000000000e+00,9.766645338642960805e-01,1.000000000000000000e+00,7.844183191805202959e-01,1.000000000000000000e+00,7.508696926049686082e-01,8.970933147841482214e-01,9.693899363924369794e-01
8.625309290939315865e-01,9.594976577715421673e-01,9.813829112438352542e-01,9.675459990686776646e-01,1.000000000000000000e+00,9.346524500995194717e-01,6.607316326616665680e-01,9.783246402213127135e-01,9.488832476921676973e-01,9.127641900716668699e-01,9.766645338642960805e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.607247981250576219e-01,9.725714856156106869e-01,4.019403732597600643e-01,9.942121623433607391e-01,5.324331648382758519e-01
9.063530424098112936e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.903187406876509336e-01,1.000000000000000000e+00,9.288471363633646893e-01,9.731255851973656945e-01,9.794460261417468061e-01,8.572706087041978007e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.744801920509230664e-01,1.000000000000000000e+00,8.982344385809838405e-01,9.436920779825842542e-01,8.270856190186950396e-01
5.037623452545649805e-01,9.435064681200056036e-01,1.000000000000000000e+00,9.621352084070334820e-01,9.375295333663318242e-01,1.000000000000000000e+00,9.536968900509430469e-01,1.000000000000000000e+00,9.737392473017507655e-01,9.952339906043490281e-01,7.844183191805202959e-01,9.607247981250576219e-01,9.744801920509230664e-01,2.220446049250313081e-16,1.000000000000000000e+00,5.860059051100182659e-01,9.707040207679794586e-01,9.767611736253601906e-01
