# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,1.271291918864070336e+00,9.457134443350450059e-01,1.000000000000000000e+00,9.825944784429894163e-01,9.793095242175348103e-01,9.767322597390468708e-01,1.000000000000000000e+00,6.542747585138923849e-01,8.945290540475614449e-01,9.257194119288911782e-01,9.206250233258623794e-01,6.226355798273688347e-01,1.000000000000000000e+00,8.500325684428380324e-01,9.985776003463165962e-01,1.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.050838088406440107e+00,6.228730704057774403e-01,7.395601928252325541e-01,9.840207699635145078e-01,9.342539704575270054e-01,6.883465508298178825e-01,9.878431909867045890e-01,9.126528192959696417e-01,8.673814374313078002e-01,9.968798872888280371e-01,9.865258747990600652e-01,3.963662560619861663e-01,1.000000000000000000e+00,9.048271105668296288e-01,8.324562985262122794e-01,7.185872835811584203e-01
1.271291918864070336e+00,1.050838088406440107e+00,0.000000000000000000e+00,1.177269150732988212e+00,1.268616153074058062e+00,1.129744222083582939e+00,1.127643438931463793e+00,1.063944547010478026e+00,1.060844023432923278e+00,1.259709451792860424e+00,1.260700953944541070e+00,1.147365067488937740e+00,1.038937093730959882e+00,1.068797535472729709e+00,1.375091291563020235e+00,1.075443625231072176e+00,1.081801936649671614e+00,9.825036235744575297e-01
9.457134443350450059e-01,6.228730704057774403e-01,1.177269150732988212e+00,0.000000000000000000e+00,8.609985987868943313e-01,9.903666761840550503e-01,9.895389852234198758e-01,7.301672103139746905e-01,1.000000000000000000e+00,9.671591613074150828e-01,7.484264010327734695e-01,1.000000000000000000e+00,9.259702053338777494e-01,7.290618260093643110e-01,1.000000000000000000e+00,9.682868108628753800e-01,8.864714786653462575e-01,7.848655432638359519e-01
1.000000000000000000e+00,7.395601928252325541e-01,1.268616153074058062e+00,8.609985987868943313e-01,0.000000000000000000e+00,9.625368984607518552e-01,1.000000000000000000e+00,8.783837410276600366e-01,9.916278462209596745e-01,7.973581626251547982e-01,9.249472368063355043e-01,6.502612327242680568e-01,9.370394356842626227e-01,1.000000000000000000e+00,9.525410806309111411e-01,1.000000000000000000e+00,9.448198970297270183e-01,8.482906382351703689e-01
9.825944784429894163e-01,9.840207699635145078e-01,1.129744222083582939e+00,9.903666761840550503e-01,9.625368984607518552e-01,0.000000000000000000e+00,9.539393384618980454e-01,8.882470934483522873e-01,9.403443642286309911e-01,8.852331255247520847e-01,1.000000000000000000e+00,8.348616961891865973e-01,9.679540928965787439e-01,8.922670864625485976e-01,9.665539890076382257e-01,8.652360167636370392e-01,4.541347894468369395e-01,9.090290726278930089e-01
9.793095242175348103e-01,9.342539704575270054e-01,1.127643438931463793e+00,9.895389852234198758e-01,1.000000000000000000e+00,9.539393384618980454e-01,1.110223024625156540e-16,9.908769914023176639e-01,1.000000000000000000e+00,9.112648316575872043e-01,9.256953854969236506e-01,7.032726338682548928e-01,9.136566160429565597e-01,9.540332639308650720e-01,1.000000000000000000e+00,9.707780009142279454e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.767322597390468708e-01,6.883465508298178825e-01,1.063944547010478026e+00,7.301672103139746905e-01,8.783837410276600366e-01,8.882470934483522873e-01,9.908769914023176639e-01,5.000000000000000000e-01,1.000000000000000000e+00,9.294620570447211794e-01,8.426991355821416008e-01,9.698822611885280498e-01,8.220022309189678467e-01,8.962524701743657118e-01,9.980975258752389223e-01,9.252018076298742510e-01,8.699008553889566731e-01,9.106179882145593041e-01
1.000000000000000000e+00,9.878431909867045890e-01,1.060844023432923278e+00,1.000000000000000000e+00,9.916278462209596745e-01,9.403443642286309911e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.813178723246644308e-01,1.000000000000000000e+00,5.437483726273022455e-01,9.352504213176842107e-01,9.726021280860711604e-01,8.865279002033903399e-01
6.542747585138923849e-01,9.126528192959696417e-01,1.259709451792860424e+00,9.671591613074150828e-01,7.973581626251547982e-01,8.852331255247520847e-01,9.112648316575872043e-01,9.294620570447211794e-01,1.000000000000000000e+00,4.440892098500626162e-16,9.822928598964502100e-01,7.713229499897753527e-01,9.510791286051136773e-01,7.942807262479113506e-01,9.598580343839412388e-01,8.827883784413885770e-01,9.662783303307403981e-01,1.000000000000000000e+00
