# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.142288029203761157e+00,6.440156630792976955e-01,8.739736448124040269e-01,9.633978425286052749e-01,7.569890245605364054e-01,3.224930100168917901e-01,8.154984033204546456e-01,9.785462313736802420e-01,9.437569294359480221e-01,9.832118205584154946e-01,1.093361344736975438e+00,2.972546207994742895e-01,8.520287342231578354e-01,9.816987596199656663e-01,1.173444341871052732e-01,9.780659510205587104e-01,9.523458059615105276e-01
1.142288029203761157e+00,-2.220446049250313081e-16,1.064348705988197752e+00,1.056453112076149115e+00,1.029981843034343258e+00,1.187217663132492440e+00,1.057293199265775696e+00,1.057239962009246748e+00,1.154613006614416237e+00,9.755535389525823442e-01,1.018105819016293712e+00,1.147153602019760577e+00,1.079573291785264733e+00,1.018298043531959740e+00,1.249685436397473426e+00,1.152479971110021095e+00,9.581859183137582114e-01,1.095644814279234547e+00
6.440156630792976955e-01,1.064348705988197752e+00,0.000000000000000000e+00,8.891993536173810053e-01,9.177263111096692905e-01,9.643652603839740767e-01,9.340901788911736281e-01,8.521769501638276623e-01,8.702695124981048025e-01,7.990457459336527402e-01,7.582901262505628015e-01,1.084374316357911816e+00,7.334731258443555335e-01,8.859072578125873898e-01,9.565107707972052564e-01,6.460406767489632607e-01,7.003872257225483011e-01,9.732734421575851558e-01
8.739736448124040269e-01,1.056453112076149115e+00,8.891993536173810053e-01,4.301211869287489553e-01,9.460044253883648224e-01,9.135349501433175368e-01,8.363168646332761469e-01,9.617187353186156251e-01,9.705591247811524713e-01,8.958509280485161819e-01,7.950056047457172426e-01,1.201402988810424066e+00,9.345203525301528646e-01,8.867921760080287319e-01,9.125456266531408733e-01,8.400208195122095267e-01,9.603744398858983233e-01,9.155026897180422729e-01
9.633978425286052749e-01,1.029981843034343258e+00,9.177263111096692905e-01,9.460044253883648224e-01,-2.220446049250313081e-16,8.978036181114856795e-01,8.446867687335295471e-01,5.242646058123080488e-01,9.703297286146926881e-01,9.896289579490017418e-01,8.934664200878992268e-01,1.067221154899460789e+00,9.477845773479605107e-01,9.260526762352743191e-01,9.519488916596750006e-01,9.570872058793721271e-01,9.357263923840956066e-01,1.000000000000000000e+00
7.569890245605364054e-01,1.187217663132492440e+00,9.643652603839740767e-01,9.135349501433175368e-01,8.978036181114856795e-01,2.220446049250313081e-16,9.082999037307976087e-01,8.916962304131003103e-01,9.136591045467733485e-01,1.000000000000000000e+00,9.662694064625273471e-01,1.235582874460089409e+00,8.810585871417534465e-01,8.491628505406648708e-01,9.183797205587266310e-01,8.894330655394656615e-01,6.983086026190339357e-01,9.867390639321520496e-01
3.224930100168917901e-01,1.057293199265775696e+00,9.340901788911736281e-01,8.363168646332761469e-01,8.446867687335295471e-01,9.082999037307976087e-01,1.110223024625156540e-16,8.203008626081278454e-01,9.506654002560437355e-01,8.403960280572257968e-01,8.366388465067693403e-01,9.721635686358933715e-01,4.413855324621490661e-01,7.072354761383119470e-01,9.562345917610293178e-01,2.911988949294518347e-01,9.634921862927865455e-01,6.822211978257866072e-01
8.154984033204546456e-01,1.057239962009246748e+00,8.521769501638276623e-01,9.617187353186156251e-01,5.242646058123080488e-01,8.916962304131003103e-01,8.203008626081278454e-01,0.000000000000000000e+00,8.491148499788698789e-01,7.470049781152670043e-01,8.663730183433429044e-01,1.005655614062999303e+00,7.939490382815324043e-01,8.848636038220092370e-01,8.211604974749652230e-01,9.452327091357759503e-01,9.748444847203133756e-01,1.000000000000000000e+00
9.785462313736802420e-01,1.154613006614416237e+00,8.702695124981048025e-01,9.705591247811524713e-01,9.703297286146926881e-01,9.136591045467733485e-01,9.506654002560437355e-01,8.491148499788698789e-01,0.000000000000000000e+00,8.284514472672225294e-01,9.676226640724547856e-01,1.175712819436624645e+00,1.000000000000000000e+00,9.681644701642490025e-01,4.365033818431753865e-01,9.886573866093302243e-01,9.461114629802344078e-01,9.897274941112684798e-01
9.437569294359480221e-01,9.755535389525823442e-01,7.990457459336527402e-01,8.958509280485161819e-01,9.896289579490017418e-01,1.000000000000000000e+00,8.403960280572257968e-01,7.470049781152670043e-01,8.284514472672225294e-01,1.110223024625156540e-16,8.419338044774804519e-01,1.090924630617907454e+00,8.185842918450343397e-01,8.920042561279933890e-01,9.711234308610222632e-01,9.699988885715752351e-01,9.550615779149403961e-01,9.636867395482388021e-01
