# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.307608537797681381e-01,8.818932650252175875e-01,9.448138022753609366e-01,6.126505469919132363e-01,9.662444456227009537e-01,8.905066338804364934e-01,9.169755981445082416e-01,9.166156693351966700e-01,1.000000000000000000e+00,9.808914954772084416e-01,8.338395142428111084e-01,8.570944871990828773e-01,9.616778863400583521e-01,9.100242049246174414e-01,4.151790822954477544e-01,8.138634728024615184e-01,8.297251604507129841e-01
9.307608537797681381e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.656092460307219127e-01,9.240007746350031859e-01,2.389324275538887710e-01,9.484335801352149486e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.956435319153213559e-01,1.000000000000000000e+00,7.737915067652729739e-01,8.857075444725701630e-01,9.411389904640540260e-01,9.068276575216865920e-01,6.995438065871490974e-01
8.818932650252175875e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.783806454730736846e-01,7.408909090365927153e-01,9.646487226693682970e-01,1.000000000000000000e+00,9.740559623572149217e-01,8.880176237134168593e-01,9.825219925484255379e-01,9.066386302309260570e-01,9.696721780189805351e-01,9.144639936581193673e-01,9.823480408520572915e-01,8.559808607902035238e-01,8.483300346069504450e-01,9.441886734480487986e-01
9.448138022753609366e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.382742985898735455e-01,7.596488823586853290e-01,4.468210042104546753e-01,1.000000000000000000e+00,9.934011285938323388e-01,1.000000000000000000e+00,9.874353199633463252e-01,1.000000000000000000e+00,9.779011441824044804e-01,1.000000000000000000e+00
6.126505469919132363e-01,1.000000000000000000e+00,9.783806454730736846e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.051209990381216208e-01,8.954192175707729184e-01,1.000000000000000000e+00,8.875062167455983753e-01,9.234566693867398701e-01,9.401725549084066769e-01,8.796356074195369468e-01,8.502446020138003657e-01,7.851863641577238040e-01,8.887343605884965303e-01,8.454767538227545565e-01,9.578014327559229990e-01,8.797333340488017184e-01
9.662444456227009537e-01,6.656092460307219127e-01,7.408909090365927153e-01,1.000000000000000000e+00,8.051209990381216208e-01,-2.220446049250313081e-16,9.615829548778482838e-01,9.235520104587349177e-01,8.224424194205056660e-01,8.124543147312208724e-01,1.000000000000000000e+00,9.840672660849700826e-01,1.000000000000000000e+00,8.701856206842761843e-01,1.000000000000000000e+00,8.881635791179709472e-01,6.286548276148020697e-01,9.723726841855475644e-01
8.905066338804364934e-01,9.240007746350031859e-01,9.646487226693682970e-01,1.000000000000000000e+00,8.954192175707729184e-01,9.615829548778482838e-01,5.000000000000000000e-01,9.635407842892982355e-01,9.382569896267586307e-01,9.076030045016878489e-01,9.159025294340399359e-01,9.002959698276140621e-01,8.357476906077494494e-01,9.640660245850387611e-01,6.629646751777309444e-01,7.658644647816630346e-01,8.795247145012823342e-01,9.234862234315148743e-01
9.169755981445082416e-01,2.389324275538887710e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.235520104587349177e-01,9.635407842892982355e-01,0.000000000000000000e+00,9.488409338127498094e-01,1.000000000000000000e+00,9.730408512717363401e-01,6.407327942563472156e-01,9.779983061564854196e-01,8.283439023161547343e-01,9.962837130998647428e-01,9.155455654998795323e-01,9.263274061074270316e-01,5.749479741356389173e-01
9.166156693351966700e-01,9.484335801352149486e-01,9.740559623572149217e-01,9.382742985898735455e-01,8.875062167455983753e-01,8.224424194205056660e-01,9.382569896267586307e-01,9.488409338127498094e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.261703235450661209e-01,1.000000000000000000e+00,9.279288824082853049e-01,1.000000000000000000e+00,9.864001287136761054e-01,9.405231693351240319e-01,9.172026389723293427e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.880176237134168593e-01,7.596488823586853290e-01,9.234566693867398701e-01,8.124543147312208724e-01,9.076030045016878489e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.869581277219420246e-01,9.499990981850172655e-01,1.000000000000000000e+00,8.690633188005094656e-01,1.000000000000000000e+00,9.801687380462379418e-01,8.646580589850857423e-01,1.000000000000000000e+00
9.808914954772084416e-01,1.000000000000000000e+00,9.825219925484255379e-01,4.468210042104546753e-01,9.401725549084066769e-01,1.000000000000000000e+00,9.159025294340399359e-01,9.730408512717363401e-01,9.261703235450661209e-01,9.869581277219420246e-01,-2.220446049250313081e-16,9.453070674842206644e-01,8.020328734822148586e-01,1.000000000000000000e+00,8.855242699526361116e-01,9.579760014693498027e-01,1.000000000000000000e+00,9.429363148846963139e-01
