# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.370079459666590616e-01,4.922687022888442288e-01,9.612132639025580128e-01,9.274435623937056228e-01,9.932412696640684491e-01,2.858300125802761826e-01,8.327817967225712437e-01,1.000000000000000000e+00,8.845709037535375296e-01,8.458563945104459192e-01,3.805171789421887274e-01,2.953184810736201316e-01,6.263998698782661245e-01,1.000000000000000000e+00,2.267570776146380362e-01,9.978871258283843471e-01,3.585402925352721981e-01
8.370079459666590616e-01,0.000000000000000000e+00,8.569326490812652075e-01,7.884150703422976303e-01,6.758451440101369556e-01,9.474453430716288649e-01,8.181702719382116795e-01,4.651961968056770313e-01,9.748132996094529545e-01,3.948508319621718554e-01,4.944997407724028848e-01,8.759417083640297363e-01,8.414194362915706771e-01,9.409275072853267030e-01,1.000000000000000000e+00,8.039710331096685536e-01,9.439852426804817842e-01,9.351215646133981263e-01
4.922687022888442288e-01,8.569326490812652075e-01,0.000000000000000000e+00,8.592888372158443699e-01,9.635597773220396789e-01,9.179249057596592376e-01,5.103128982882201292e-01,8.670799942056611753e-01,8.977927279586533915e-01,8.537123895193849954e-01,8.520618820281300465e-01,5.058405316979117661e-01,5.989186365705816417e-01,8.944234427300876700e-01,9.550556062872608276e-01,5.029662324700409082e-01,9.713015863546318185e-01,5.409203789862266909e-01
9.612132639025580128e-01,7.884150703422976303e-01,8.592888372158443699e-01,0.000000000000000000e+00,8.667723736583272665e-01,1.000000000000000000e+00,9.399367777822309478e-01,9.153403530537222998e-01,1.000000000000000000e+00,7.482378004809233651e-01,6.608385875739761772e-01,9.018913213328553224e-01,9.187781682232122327e-01,9.812760720721001029e-01,1.000000000000000000e+00,9.657571278074613685e-01,9.783725099013323989e-01,9.109211164438035802e-01
9.274435623937056228e-01,6.758451440101369556e-01,9.635597773220396789e-01,8.667723736583272665e-01,4.957009529890565314e-01,1.082408775758436192e+00,9.320136764182214151e-01,7.488094853841351650e-01,1.058922547692088045e+00,7.356631877706161227e-01,6.481543251130146288e-01,9.918254007300933983e-01,8.810244111718210647e-01,1.004574810163835874e+00,1.091600094161635948e+00,6.567655406510216620e-01,1.025762332918824571e+00,9.010688493781180419e-01
9.932412696640684491e-01,9.474453430716288649e-01,9.179249057596592376e-01,1.000000000000000000e+00,1.082408775758436192e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.348724403011534623e-01,1.000000000000000000e+00,9.604665364279330042e-01,1.000000000000000000e+00,9.992496289877932369e-01,1.052840380887423821e+00,3.529613016536399250e-01,9.813949131550484539e-01,9.500728692125317565e-01,1.000000000000000000e+00
2.858300125802761826e-01,8.181702719382116795e-01,5.103128982882201292e-01,9.399367777822309478e-01,9.320136764182214151e-01,1.000000000000000000e+00,0.000000000000000000e+00,7.047076377676713133e-01,9.945830843170800906e-01,7.071489197095317536e-01,8.012216046809540471e-01,4.477654349546448254e-01,3.472519059998590008e-01,6.966107972558990280e-01,1.000000000000000000e+00,1.838426825311850754e-01,1.000000000000000000e+00,3.827025274679569655e-01
8.327817967225712437e-01,4.651961968056770313e-01,8.670799942056611753e-01,9.153403530537222998e-01,7.488094853841351650e-01,1.000000000000000000e+00,7.047076377676713133e-01,-2.220446049250313081e-16,1.000000000000000000e+00,5.016541289547151727e-01,5.274293505643061764e-01,9.363006363007556621e-01,8.151954656678123134e-01,9.759467216786557042e-01,1.000000000000000000e+00,8.641385008373744236e-01,9.889812483994090409e-01,8.980384814976412056e-01
1.000000000000000000e+00,9.748132996094529545e-01,8.977927279586533915e-01,1.000000000000000000e+00,1.058922547692088045e+00,4.348724403011534623e-01,9.945830843170800906e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.528603406956540622e-01,1.000000000000000000e+00,8.961018353653675828e-01,1.000000000000000000e+00,1.085242518274787349e+00,2.636684118710493907e-01,9.752899027060374371e-01,7.965110257982238595e-01,1.000000000000000000e+00
8.845709037535375296e-01,3.948508319621718554e-01,8.537123895193849954e-01,7.482378004809233651e-01,7.356631877706161227e-01,1.000000000000000000e+00,7.071489197095317536e-01,5.016541289547151727e-01,9.528603406956540622e-01,3.330669073875469621e-16,2.972931654667790857e-01,9.222532472934928949e-01,9.021876060712346046e-01,9.756269361978179289e-01,1.000000000000000000e+00,8.043326498318910112e-01,1.000000000000000000e+00,9.149329095887088759e-01
