# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.237544133303803306e-01,7.064006625702125008e-01,8.602598605551703415e-01,9.268970444872349779e-01,9.929737581680730951e-01,1.642747203146869284e-01,9.846105271705078987e-01,8.326644409525419954e-01,9.682817560397332102e-01,7.810934557723019367e-01,2.132867423573435728e-01,2.633566829609985671e-01,6.669231613150137239e-01,1.000000000000000000e+00,1.384003747885809155e-01,9.614681247263073827e-01,2.856360271829132547e-01
9.237544133303803306e-01,1.565737916701378796e-01,7.515605069344306610e-01,8.456300211135571177e-01,8.227005114307565092e-01,1.000000000000000000e+00,9.156470350411489711e-01,6.984799199586328999e-01,8.507303058111969074e-01,9.540517743616101498e-01,8.608096466174202099e-01,8.003781537314593741e-01,9.436750170145633554e-01,9.350371676277049460e-01,8.661494135301037733e-01,9.301746678303890459e-01,1.000000000000000000e+00,9.261514706451692280e-01
7.064006625702125008e-01,7.515605069344306610e-01,0.000000000000000000e+00,8.877486759200867716e-01,8.851053308871665859e-01,6.575391220273230086e-01,7.311893813779258844e-01,8.869401489704458186e-01,7.117626974446891186e-01,9.328499658833073749e-01,7.620923067692922936e-01,5.919163813359176185e-01,7.450394465401146693e-01,9.123859870017123619e-01,7.775618254586061928e-01,7.365095704657298459e-01,9.531724716347926840e-01,6.595780101541013352e-01
8.602598605551703415e-01,8.456300211135571177e-01,8.877486759200867716e-01,2.220446049250313081e-16,9.753938818777321274e-01,9.156370408499568958e-01,8.576296107637970678e-01,9.027172475594976708e-01,8.709403518529890142e-01,3.440480500079143300e-01,9.849999803816640309e-01,8.222643241498922562e-01,7.468955082304493676e-01,9.232277326377328341e-01,1.000000000000000000e+00,8.754898931348558122e-01,8.373998375303165487e-01,9.037731624427767230e-01
9.268970444872349779e-01,8.227005114307565092e-01,8.851053308871665859e-01,9.753938818777321274e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,4.508839873091340378e-01,9.818377634099898499e-01,9.352881155265061475e-01,8.823727942594408180e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.709608653336501138e-01,9.500178946983277584e-01,9.337245027595503233e-01,1.000000000000000000e+00,9.106003272941530780e-01
9.929737581680730951e-01,1.000000000000000000e+00,6.575391220273230086e-01,9.156370408499568958e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.513357955981674996e-01,6.827162154344745826e-01,8.674326826594825901e-01,1.000000000000000000e+00,9.955975971747784703e-01,9.303945415319807566e-01,1.000000000000000000e+00,3.995325950408247229e-01,1.000000000000000000e+00,9.990481555451153906e-01,1.000000000000000000e+00
1.642747203146869284e-01,9.156470350411489711e-01,7.311893813779258844e-01,8.576296107637970678e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.788053601068237963e-01,9.117274079959716282e-01,6.073059843964537796e-01,7.846085206066109041e-01,2.438101919432538178e-01,2.480552782706868520e-01,6.856891066719758010e-01,1.000000000000000000e+00,1.856571142383051098e-01,9.824602589419273446e-01,2.775475634684417825e-01
9.846105271705078987e-01,6.984799199586328999e-01,8.869401489704458186e-01,9.027172475594976708e-01,4.508839873091340378e-01,9.513357955981674996e-01,6.788053601068237963e-01,0.000000000000000000e+00,9.521675382260019749e-01,1.000000000000000000e+00,7.754019804785896586e-01,9.639787411388492933e-01,1.000000000000000000e+00,9.982677497192488092e-01,8.378368374810976071e-01,7.137144123042895583e-01,9.581565732852440620e-01,9.520329639274440758e-01
8.326644409525419954e-01,8.507303058111969074e-01,7.117626974446891186e-01,8.709403518529890142e-01,9.818377634099898499e-01,6.827162154344745826e-01,9.117274079959716282e-01,9.521675382260019749e-01,4.809905971710657369e-01,9.248815630023305978e-01,8.895927504047587142e-01,9.280536508511735283e-01,9.099225731960143282e-01,9.372064565994561169e-01,7.014011317554993408e-01,9.249186004813954032e-01,9.572519985228593598e-01,9.232963911908917964e-01
9.682817560397332102e-01,9.540517743616101498e-01,9.328499658833073749e-01,3.440480500079143300e-01,9.352881155265061475e-01,8.674326826594825901e-01,6.073059843964537796e-01,1.000000000000000000e+00,9.248815630023305978e-01,1.318280537312614964e-01,9.958227576101522649e-01,1.000000000000000000e+00,9.681830090969258951e-01,9.105511830843950882e-01,8.545257341054897093e-01,9.689286451967867864e-01,1.000000000000000000e+00,6.346630646554274335e-01
7.810934557723019367e-01,8.608096466174202099e-01,7.620923067692922936e-01,9.849999803816640309e-01,8.823727942594408180e-01,1.000000000000000000e+00,7.846085206066109041e-01,7.754019804785896586e-01,8.895927504047587142e-01,9.958227576101522649e-01,0.000000000000000000e+00,9.044374349839551241e-01,8.888705861739270020e-01,1.000000000000000000e+00,8.757680159066701941e-01,7.723178985079396375e-01,9.591948191614004804e-01,8.818679309267920541e-01
2.132867423573435728e-01,8.003781537314593741e-01,5.919163813359176185e-01,8.222643241498922562e-01,1.000000000000000000e+00,9.955975971747784703e-01,2.438101919432538178e-01,9.639787411388492933e-01,9.280536508511735283e-01,1.000000000000000000e+00,9.044374349839551241e-01,0.000000000000000000e+00,2.049118393459979925e-01,7.000579835451401500e-01,1.000000000000000000e+00,1.653862574508011551e-01,9.961121376267304539e-01,1.165149628278006055e-01
2.633566829609985671e-01,9.436750170145633554e-01,7.450394465401146693e-01,7.468955082304493676e-01,1.000000000000000000e+00,9.303945415319807566e-01,2.480552782706868520e-01,1.000000000000000000e+00,9.099225731960143282e-01,9.681830090969258951e-01,8.888705861739270020e-01,2.049118393459979925e-01,0.000000000000000000e+00,6.927886523246777895e-01,1.000000000000000000e+00,1.798786131438325775e-01,9.843440719196949740e-01,2.397818041294529356e-01
6.669231613150137239e-01,9.350371676277049460e-01,9.123859870017123619e-01,9.232277326377328341e-01,9.709608653336501138e-01,1.000000000000000000e+00,6.856891066719758010e-01,9.982677497192488092e-01,9.372064565994561169e-01,9.105511830843950882e-01,1.000000000000000000e+00,7.000579835451401500e-01,6.927886523246777895e-01,1.110223024625156540e-16,1.000000000000000000e+00,6.745258377168205088e-01,8.794607003067811402e-01,6.620038343606040598e-01
1.000000000000000000e+00,8.661494135301037733e-01,7.775618254586061928e-01,1.000000000000000000e+00,9.500178946983277584e-01,3.995325950408247229e-01,1.000000000000000000e+00,8.378368374810976071e-01,7.014011317554993408e-01,8.545257341054897093e-01,8.757680159066701941e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.384003747885809155e-01,9.301746678303890459e-01,7.365095704657298459e-01,8.754898931348558122e-01,9.337245027595503233e-01,1.000000000000000000e+00,1.856571142383051098e-01,7.137144123042895583e-01,9.249186004813954032e-01,9.689286451967867864e-01,7.723178985079396375e-01,1.653862574508011551e-01,1.798786131438325775e-01,6.745258377168205088e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.965050408008151006e-01
9.614681247263073827e-01,1.000000000000000000e+00,9.531724716347926840e-01,8.373998375303165487e-01,1.000000000000000000e+00,9.990481555451153906e-01,9.824602589419273446e-01,9.581565732852440620e-01,9.572519985228593598e-01,1.000000000000000000e+00,9.591948191614004804e-01,9.961121376267304539e-01,9.843440719196949740e-01,8.794607003067811402e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.856360271829132547e-01,9.261514706451692280e-01,6.595780101541013352e-01,9.037731624427767230e-01,9.106003272941530780e-01,1.000000000000000000e+00,2.775475634684417825e-01,9.520329639274440758e-01,9.232963911908917964e-01,6.346630646554274335e-01,8.818679309267920541e-01,1.165149628278006055e-01,2.397818041294529356e-01,6.620038343606040598e-01,1.000000000000000000e+00,1.965050408008151006e-01,1.000000000000000000e+00,0.000000000000000000e+00
