# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.644035024460422711e-01,6.700522487533639993e-01,9.487366026461859780e-01,9.244924805915690769e-01,9.418088545931460054e-01,5.922974983548858763e-01,9.103424074300554558e-01,8.624024487912365089e-01,7.734500086758496762e-01,nan,8.386251834197242516e-01,9.157363264483113774e-01,6.785325345664698915e-01,1.000000000000000000e+00,6.564936369662048854e-01,9.016089202146008175e-01,9.414172044718279730e-01
7.644035024460422711e-01,0.000000000000000000e+00,8.345959218656561207e-01,8.643065827707604454e-01,1.000000000000000000e+00,7.900782856726016323e-01,8.589226548103441328e-01,8.893366217734860468e-01,9.059009701535426506e-01,6.283039769715876854e-01,nan,1.000000000000000000e+00,9.884463058746378872e-01,9.827367511018982871e-01,9.787286011944886788e-01,8.763093118750298061e-01,9.285994864577333807e-01,1.000000000000000000e+00
6.700522487533639993e-01,8.345959218656561207e-01,4.280812689321982223e-01,9.833204717043551035e-01,1.000000000000000000e+00,9.743192633419188731e-01,8.218456438340807635e-01,8.613891614932781549e-01,9.406075982566906024e-01,8.817197168879347124e-01,nan,8.786577422660661885e-01,8.256476191453305802e-01,9.902119603632031364e-01,9.857029052055024110e-01,9.376714519865297914e-01,8.327808941846742696e-01,8.712105790416739826e-01
9.487366026461859780e-01,8.643065827707604454e-01,9.833204717043551035e-01,2.220446049250313081e-16,8.790538728860830542e-01,9.712270682656509724e-01,9.624321112168902070e-01,9.575730151768708787e-01,9.689813894716082787e-01,6.926110863835213127e-01,nan,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.480144019249072684e-01,9.754199898228633758e-01,9.758803290096366156e-01
9.244924805915690769e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.790538728860830542e-01,0.000000000000000000e+00,8.467958325304427714e-01,9.676803696360766205e-01,9.204170963100050118e-01,9.293327464153358086e-01,1.000000000000000000e+00,nan,9.491964484444992411e-01,9.345713929112824392e-01,8.845837014380502072e-01,1.000000000000000000e+00,8.513255029184605416e-01,1.000000000000000000e+00,8.440747051721542160e-01
9.418088545931460054e-01,7.900782856726016323e-01,9.743192633419188731e-01,9.712270682656509724e-01,8.467958325304427714e-01,0.000000000000000000e+00,9.376383705657673762e-01,7.847988781675184766e-01,2.888347329215575909e-01,9.998921630879321620e-01,nan,9.747625825084407225e-01,1.000000000000000000e+00,9.463185522976422792e-01,1.000000000000000000e+00,9.346328854382423001e-01,-4.509360935255402048e-02,1.000000000000000000e+00
5.922974983548858763e-01,8.589226548103441328e-01,8.218456438340807635e-01,9.624321112168902070e-01,9.676803696360766205e-01,9.376383705657673762e-01,5.000000000000000000e-01,9.261895406321734026e-01,9.299478576041126932e-01,6.965935812439902897e-01,nan,9.362148093501307944e-01,9.228598997995167696e-01,8.420130410604927951e-01,9.062288589803260130e-01,8.203807155249438487e-01,9.289701816624769126e-01,8.300795301138905735e-01
9.103424074300554558e-01,8.893366217734860468e-01,8.613891614932780438e-01,9.575730151768708787e-01,9.204170963100050118e-01,7.847988781675184766e-01,9.261895406321734026e-01,4.296828306151985744e-01,9.197291231710433834e-01,9.251707171494900628e-01,nan,9.626056973678331907e-01,9.751962698272368391e-01,9.504227176215631623e-01,9.658745905784726915e-01,9.250410012213694522e-01,9.199418224916611209e-01,9.546006401447642009e-01
8.624024487912365089e-01,9.059009701535426506e-01,9.406075982566906024e-01,9.689813894716082787e-01,9.293327464153358086e-01,2.888347329215575909e-01,9.299478576041126932e-01,9.197291231710433834e-01,0.000000000000000000e+00,9.643924533211900574e-01,nan,7.621445833476439002e-01,9.514313020523693654e-01,8.904524580226138575e-01,1.000000000000000000e+00,7.521073333730253774e-01,3.723674344173566464e-01,9.889048152782186074e-01
7.734500086758496762e-01,6.283039769715876854e-01,8.817197168879347124e-01,6.926110863835213127e-01,1.000000000000000000e+00,9.998921630879321620e-01,6.965935812439902897e-01,9.251707171494900628e-01,9.643924533211900574e-01,2.220446049250313081e-16,nan,1.000000000000000000e+00,9.937361448488889470e-01,9.566613209452491384e-01,7.912014539421921011e-01,7.590492657418815847e-01,9.867134957123785410e-01,1.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.386251834197242516e-01,1.000000000000000000e+00,8.786577422660661885e-01,1.000000000000000000e+00,9.491964484444992411e-01,9.747625825084407225e-01,9.362148093501307944e-01,9.626056973678331907e-01,7.621445833476439002e-01,1.000000000000000000e+00,nan,0.000000000000000000e+00,2.985682611840211331e-01,1.000000000000000000e+00,9.861734765820630022e-01,9.425764675717497321e-01,9.929198588234996459e-01,-9.124407876617235402e-02
9.157363264483113774e-01,9.884463058746378872e-01,8.256476191453305802e-01,1.000000000000000000e+00,9.345713929112824392e-01,1.000000000000000000e+00,9.228598997995167696e-01,9.751962698272368391e-01,9.514313020523693654e-01,9.937361448488889470e-01,nan,2.985682611840211331e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.968971203355362576e-01,8.098783654694259315e-01,1.000000000000000000e+00,5.039952183032990751e-01
6.785325345664698915e-01,9.827367511018982871e-01,9.902119603632031364e-01,1.000000000000000000e+00,8.845837014380502072e-01,9.463185522976422792e-01,8.420130410604927951e-01,9.504227176215631623e-01,8.904524580226138575e-01,9.566613209452491384e-01,nan,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.033169639989888644e-01,9.305440031535011647e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.787286011944886788e-01,9.857029052055024110e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.062288589803260130e-01,9.658745905784726915e-01,1.000000000000000000e+00,7.912014539421921011e-01,nan,9.861734765820630022e-01,8.968971203355362576e-01,1.000000000000000000e+00,3.330669073875469621e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.954148789854930790e-01
6.564936369662048854e-01,8.763093118750298061e-01,9.376714519865299025e-01,9.480144019249072684e-01,8.513255029184605416e-01,9.346328854382423001e-01,8.203807155249438487e-01,9.250410012213694522e-01,7.521073333730253774e-01,7.590492657418815847e-01,nan,9.425764675717497321e-01,8.098783654694259315e-01,9.033169639989888644e-01,1.000000000000000000e+00,5.000000000000001110e-01,9.334510529608666118e-01,9.521145733646740883e-01
9.016089202146008175e-01,9.285994864577333807e-01,8.327808941846742696e-01,9.754199898228633758e-01,1.000000000000000000e+00,-4.509360935255402048e-02,9.289701816624769126e-01,9.199418224916611209e-01,3.723674344173566464e-01,9.867134957123785410e-01,nan,9.929198588234996459e-01,1.000000000000000000e+00,9.305440031535011647e-01,1.000000000000000000e+00,9.334510529608666118e-01,0.000000000000000000e+00,8.380700131371048300e-01
9.414172044718279730e-01,1.000000000000000000e+00,8.712105790416739826e-01,9.758803290096366156e-01,8.440747051721542160e-01,1.000000000000000000e+00,8.300795301138905735e-01,9.546006401447642009e-01,9.889048152782186074e-01,1.000000000000000000e+00,nan,-9.124407876617235402e-02,5.039952183032990751e-01,1.000000000000000000e+00,9.954148789854930790e-01,9.521145733646740883e-01,8.380700131371048300e-01,-2.220446049250313081e-16
