# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.873552960576055471e-01,7.640093510958501088e-01,9.179141643623559554e-01,5.612869640791248171e-01,7.651186964032031801e-01,6.337761694341176311e-01,9.047273155989026261e-01,1.000000000000000000e+00,9.086679518843343573e-01,nan,7.386859876467843922e-01,7.451041279745427293e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.881836301159432345e-01,7.650743961879304944e-01
8.873552960576055471e-01,0.000000000000000000e+00,9.444414367093683094e-01,6.907341630532373156e-01,7.600416962037925828e-01,9.678803181467133809e-01,9.138480839897769048e-01,2.935417000680908828e-01,1.000000000000000000e+00,8.972934057436345867e-01,nan,8.832841777777460379e-01,9.223231373862377236e-01,8.629220268276557304e-01,9.534241104471866679e-01,9.258768336959284362e-01,9.543010406981461413e-01,8.594276364902975196e-01
7.640093510958501088e-01,9.444414367093683094e-01,1.110223024625156540e-16,9.708215798038772881e-01,8.544956498004611101e-01,7.589854187270876906e-01,7.369313048836071411e-01,8.966207406344227637e-01,9.654037720685446633e-01,9.040000680890363238e-01,nan,9.640191757069906942e-01,9.978399773320830723e-01,9.082955257445793906e-01,9.784809600226890280e-01,8.753551798600593958e-01,8.897843571726319345e-01,8.863765135260938122e-01
9.179141643623559554e-01,6.907341630532373156e-01,9.708215798038772881e-01,0.000000000000000000e+00,9.307339089030045587e-01,9.717235272974936722e-01,9.096564150084403000e-01,6.895543374148260796e-01,9.644084074107659443e-01,8.906426503683190221e-01,nan,9.633048077737261794e-01,9.158721461730960911e-01,9.550818589306580009e-01,9.838858564124802752e-01,1.000000000000000000e+00,9.727451585254095479e-01,9.829729861780921452e-01
5.612869640791248171e-01,7.600416962037925828e-01,8.544956498004611101e-01,9.307339089030045587e-01,0.000000000000000000e+00,9.230607670319118663e-01,9.048419677198922262e-01,7.459346946745556428e-01,1.000000000000000000e+00,9.103424158690123225e-01,nan,7.834382205764607310e-01,8.271216216581802616e-01,8.337165943068034490e-01,1.000000000000000000e+00,9.146094265640930532e-01,9.463310096118043857e-01,7.732235524292545570e-01
7.651186964032031801e-01,9.678803181467133809e-01,7.589854187270876906e-01,9.717235272974936722e-01,9.230607670319118663e-01,0.000000000000000000e+00,7.375005278521151730e-01,9.832010065655178987e-01,9.961651707925950339e-01,9.820548927868499867e-01,nan,9.763058952989800421e-01,9.745425274691874584e-01,8.585486897410483653e-01,9.460729603366000440e-01,9.906526549974399298e-01,8.921524464632307749e-01,1.000000000000000000e+00
6.337761694341176311e-01,9.138480839897769048e-01,7.369313048836071411e-01,9.096564150084403000e-01,9.048419677198922262e-01,7.375005278521151730e-01,2.220446049250313081e-16,9.222664899150960771e-01,1.000000000000000000e+00,9.144940395436587099e-01,nan,9.051196021876177777e-01,9.175920276446812851e-01,7.648678552418244347e-01,9.490317817638570519e-01,7.537308929225690068e-01,9.533758667644881557e-01,9.087682294581260756e-01
9.047273155989026261e-01,2.935417000680908828e-01,8.966207406344227637e-01,6.895543374148260796e-01,7.459346946745556428e-01,9.832010065655178987e-01,9.222664899150960771e-01,1.415852051807549583e-01,9.982587372489295507e-01,9.037529091886875587e-01,nan,8.985866689646943017e-01,8.771342185463182339e-01,9.238006818367238138e-01,9.878772452143703697e-01,9.607466493535974372e-01,9.943427250440605158e-01,7.977935052037175012e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.654037720685446633e-01,9.644084074107659443e-01,1.000000000000000000e+00,9.961651707925950339e-01,1.000000000000000000e+00,9.982587372489295507e-01,0.000000000000000000e+00,9.001036813325825614e-01,nan,1.000000000000000000e+00,8.972344983707715160e-01,1.000000000000000000e+00,9.446977224778945192e-01,9.863867918376213462e-01,9.705701611011220420e-01,9.646769028558804804e-01
9.086679518843343573e-01,8.972934057436345867e-01,9.040000680890363238e-01,8.906426503683190221e-01,9.103424158690123225e-01,9.820548927868499867e-01,9.144940395436587099e-01,9.037529091886876698e-01,9.001036813325825614e-01,3.875708734767572272e-01,nan,9.372545749496593581e-01,8.098848046206494899e-01,8.072778916273923855e-01,8.877469232315133851e-01,9.126912568735565667e-01,1.000000000000000000e+00,9.059914855507171794e-01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.386859876467843922e-01,8.832841777777460379e-01,9.640191757069906942e-01,9.633048077737261794e-01,7.834382205764607310e-01,9.763058952989800421e-01,9.051196021876177777e-01,8.985866689646943017e-01,1.000000000000000000e+00,9.372545749496593581e-01,nan,5.000000000000000000e-01,8.233800099387387217e-01,9.791415982784761329e-01,9.763569699048935124e-01,7.937414496830582644e-01,1.000000000000000000e+00,5.154510409306977126e-01
7.451041279745427293e-01,9.223231373862377236e-01,9.978399773320830723e-01,9.158721461730960911e-01,8.271216216581802616e-01,9.745425274691874584e-01,9.175920276446812851e-01,8.771342185463182339e-01,8.972344983707715160e-01,8.098848046206494899e-01,nan,8.233800099387387217e-01,1.110223024625156540e-16,9.363341256823232150e-01,9.887457717707940352e-01,6.761242827350781859e-01,1.000000000000000000e+00,7.677174732450962047e-01
1.000000000000000000e+00,8.629220268276557304e-01,9.082955257445793906e-01,9.550818589306580009e-01,8.337165943068034490e-01,8.585486897410483653e-01,7.648678552418244347e-01,9.238006818367238138e-01,1.000000000000000000e+00,8.072778916273923855e-01,nan,9.791415982784761329e-01,9.363341256823232150e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.798817400947309686e-01,9.770507722745079837e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.534241104471866679e-01,9.784809600226890280e-01,9.838858564124802752e-01,1.000000000000000000e+00,9.460729603366000440e-01,9.490317817638570519e-01,9.878772452143703697e-01,9.446977224778945192e-01,8.877469232315133851e-01,nan,9.763569699048935124e-01,9.887457717707940352e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.874778027877710862e-01,9.961212535804373491e-01,9.918306442489945862e-01
1.000000000000000000e+00,9.258768336959284362e-01,8.753551798600593958e-01,1.000000000000000000e+00,9.146094265640930532e-01,9.906526549974399298e-01,7.537308929225690068e-01,9.607466493535974372e-01,9.863867918376213462e-01,9.126912568735565667e-01,nan,7.937414496830582644e-01,6.761242827350781859e-01,8.798817400947309686e-01,9.874778027877710862e-01,0.000000000000000000e+00,9.962082084612499111e-01,7.965286077887645533e-01
9.881836301159432345e-01,9.543010406981461413e-01,8.897843571726319345e-01,9.727451585254095479e-01,9.463310096118043857e-01,8.921524464632307749e-01,9.533758667644881557e-01,9.943427250440605158e-01,9.705701611011220420e-01,1.000000000000000000e+00,nan,1.000000000000000000e+00,1.000000000000000000e+00,9.770507722745079837e-01,9.961212535804373491e-01,9.962082084612499111e-01,-2.220446049250313081e-16,1.000000000000000000e+00
7.650743961879304944e-01,8.594276364902975196e-01,8.863765135260938122e-01,9.829729861780921452e-01,7.732235524292545570e-01,1.000000000000000000e+00,9.087682294581260756e-01,7.977935052037173902e-01,9.646769028558804804e-01,9.059914855507171794e-01,nan,5.154510409306977126e-01,7.677174732450962047e-01,1.000000000000000000e+00,9.918306442489945862e-01,7.965286077887645533e-01,1.000000000000000000e+00,4.845024035596279255e-01
