# Bashkir,Buryat,Chuvash,Evenki,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,9.516710523140209377e-01,1.000000000000000000e+00,9.087279619867784097e-01,9.081588127426061252e-01,9.232463605062267709e-01,7.383158697856542219e-01,9.337627812658436666e-01,1.000000000000000000e+00,9.760082188304201045e-01,2.561581132621988388e-01,6.192428881001094121e-01,9.966535747753987318e-01,1.000000000000000000e+00,3.276547915670474653e-01,9.694915137325034182e-01,2.961701999002429586e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.191779227271664299e-01,3.863325271702680030e-01,7.870575585943559993e-01,8.255468787098210193e-01,6.558558677278030213e-01,9.666263043525767928e-01,6.383911404497686348e-01,8.518698477380266532e-01,1.000000000000000000e+00,9.127920471029663529e-01,8.156069453741512376e-01,9.545394649860186043e-01,9.156658412805398495e-01,1.000000000000000000e+00,9.629316929808982017e-01
9.516710523140209377e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.680787416803521284e-01,1.000000000000000000e+00,8.544647224416910269e-01,8.293100161111757185e-01,9.986368290323164310e-01,9.553047973095544210e-01,1.000000000000000000e+00,8.968306988714638273e-01,9.625090740882559226e-01,1.000000000000000000e+00,9.882682128269292265e-01,1.000000000000000000e+00,9.320912912644004900e-01,8.970533268102781621e-01,9.361229382868676563e-01
1.000000000000000000e+00,6.191779227271664299e-01,9.680787416803521284e-01,1.110223024625156540e-16,5.999054258856389987e-01,8.043847065999560897e-01,7.942237400021426863e-01,6.802364613630836887e-01,9.573526820656083069e-01,7.423981164646966668e-01,9.779173321745261438e-01,9.526104044055703213e-01,9.630471339591132329e-01,1.000000000000000000e+00,9.253825958224446424e-01,8.726118298104472704e-01,9.260677317258773078e-01,8.275668130695617020e-01
9.087279619867784097e-01,3.863325271702680030e-01,1.000000000000000000e+00,5.999054258856389987e-01,0.000000000000000000e+00,8.463291185505537051e-01,8.336308606592646164e-01,4.866277144503188268e-01,1.000000000000000000e+00,6.657358043981376206e-01,8.187000306558347429e-01,9.033557103649538789e-01,8.877961267662909384e-01,7.911344737731856869e-01,9.523690321501473433e-01,8.031248307500074013e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.081588127426061252e-01,7.870575585943559993e-01,8.544647224416910269e-01,8.043847065999560897e-01,8.463291185505537051e-01,0.000000000000000000e+00,7.782575466887037274e-01,8.623215721330008687e-01,9.545171060281395503e-01,8.235415134244971069e-01,9.324620548325119884e-01,9.267252012178130993e-01,9.165750277852047212e-01,1.000000000000000000e+00,6.258758901804581942e-01,9.363279976570074714e-01,8.210354944198861027e-01,9.083500119892833347e-01
9.232463605062267709e-01,8.255468787098210193e-01,8.293100161111757185e-01,7.942237400021426863e-01,8.336308606592646164e-01,7.782575466887037274e-01,1.110223024625156540e-16,7.835466404465722956e-01,8.729002581858931187e-01,6.886792679693567454e-01,9.017476835259121692e-01,8.571567559045907281e-01,8.983661440288378541e-01,1.000000000000000000e+00,8.241893539507680888e-01,8.825716200357616170e-01,9.224152899588540233e-01,8.965239518306851174e-01
7.383158697856542219e-01,6.558558677278030213e-01,9.986368290323164310e-01,6.802364613630836887e-01,4.866277144503188268e-01,8.623215721330008687e-01,7.835466404465722956e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.295313802528674341e-01,9.822481063346688579e-01,7.375542571407533998e-01,7.517824018088743454e-01,1.000000000000000000e+00,7.001851427697483032e-01,5.814065277867435100e-01,1.000000000000000000e+00,8.066027146311509632e-01
9.337627812658436666e-01,9.666263043525767928e-01,9.553047973095544210e-01,9.573526820656083069e-01,1.000000000000000000e+00,9.545171060281395503e-01,8.729002581858931187e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.998346604127045234e-01,7.501351592385543388e-01,8.462987155900759673e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.557904399489761005e-01,9.545741184176069760e-01,1.000000000000000000e+00,9.667602918610037621e-01
1.000000000000000000e+00,6.383911404497686348e-01,1.000000000000000000e+00,7.423981164646966668e-01,6.657358043981376206e-01,8.235415134244971069e-01,6.886792679693567454e-01,8.295313802528674341e-01,9.998346604127045234e-01,1.110223024625156540e-16,9.391992435072727963e-01,9.527547447233603028e-01,9.313820198518486526e-01,8.483642717720494275e-01,7.571855600559055377e-01,9.815297585284423754e-01,1.000000000000000000e+00,9.428262478577885686e-01
9.760082188304201045e-01,8.518698477380266532e-01,8.968306988714638273e-01,9.779173321745261438e-01,8.187000306558347429e-01,9.324620548325119884e-01,9.017476835259121692e-01,9.822481063346688579e-01,7.501351592385543388e-01,9.391992435072727963e-01,0.000000000000000000e+00,9.608715103583024275e-01,1.000000000000000000e+00,8.449184861132582602e-01,1.000000000000000000e+00,9.545575290291111736e-01,8.143526758698846901e-01,9.259646282451258203e-01
2.561581132621988388e-01,1.000000000000000000e+00,9.625090740882559226e-01,9.526104044055703213e-01,9.033557103649538789e-01,9.267252012178130993e-01,8.571567559045907281e-01,7.375542571407533998e-01,8.462987155900759673e-01,9.527547447233603028e-01,9.608715103583024275e-01,-2.220446049250313081e-16,4.493875769439882317e-01,9.596509965416011312e-01,9.584498328418470381e-01,4.310524547812202290e-01,9.787911238893756138e-01,3.360136142248740798e-01
6.192428881001094121e-01,9.127920471029663529e-01,1.000000000000000000e+00,9.630471339591132329e-01,8.877961267662909384e-01,9.165750277852047212e-01,8.983661440288378541e-01,7.517824018088743454e-01,1.000000000000000000e+00,9.313820198518486526e-01,1.000000000000000000e+00,4.493875769439882317e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.418796650563341366e-01,5.590191316847235026e-01,9.657504860069899832e-01,5.472410671371773505e-01
9.966535747753987318e-01,8.156069453741512376e-01,9.882682128269292265e-01,1.000000000000000000e+00,7.911344737731856869e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.483642717720494275e-01,8.449184861132582602e-01,9.596509965416011312e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.682544973830104151e-01,9.699901753028551399e-01,9.795675782442440083e-01,8.875579095792027751e-01
1.000000000000000000e+00,9.545394649860186043e-01,1.000000000000000000e+00,9.253825958224446424e-01,9.523690321501473433e-01,6.258758901804581942e-01,8.241893539507680888e-01,7.001851427697483032e-01,7.557904399489761005e-01,7.571855600559055377e-01,1.000000000000000000e+00,9.584498328418470381e-01,9.418796650563341366e-01,8.682544973830104151e-01,0.000000000000000000e+00,7.835302267428995160e-01,8.682980960423307693e-01,1.000000000000000000e+00
3.276547915670474653e-01,9.156658412805398495e-01,9.320912912644004900e-01,8.726118298104472704e-01,8.031248307500074013e-01,9.363279976570074714e-01,8.825716200357616170e-01,5.814065277867435100e-01,9.545741184176069760e-01,9.815297585284423754e-01,9.545575290291111736e-01,4.310524547812202290e-01,5.590191316847235026e-01,9.699901753028551399e-01,7.835302267428995160e-01,2.220446049250313081e-16,9.484129620963079876e-01,4.692444569756248907e-01
9.694915137325034182e-01,1.000000000000000000e+00,8.970533268102781621e-01,9.260677317258773078e-01,1.000000000000000000e+00,8.210354944198861027e-01,9.224152899588540233e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.143526758698846901e-01,9.787911238893756138e-01,9.657504860069899832e-01,9.795675782442440083e-01,8.682980960423307693e-01,9.484129620963079876e-01,2.220446049250313081e-16,1.000000000000000000e+00
2.961701999002429586e-01,9.629316929808982017e-01,9.361229382868676563e-01,8.275668130695617020e-01,1.000000000000000000e+00,9.083500119892833347e-01,8.965239518306851174e-01,8.066027146311509632e-01,9.667602918610037621e-01,9.428262478577885686e-01,9.259646282451258203e-01,3.360136142248740798e-01,5.472410671371773505e-01,8.875579095792027751e-01,1.000000000000000000e+00,4.692444569756248907e-01,1.000000000000000000e+00,0.000000000000000000e+00
